# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1682

[16:57] @User_ba88e9cc: 脳みそが茹だってしぬ
[16:58] @User_e48a91b7: ！？
[16:59] @User_9e836a5d: セミたちはどう生きるか
[17:00] @User_60028655: ！？
[17:02] @User_36770ee1: ？？？？？
[17:02] @User_61396d22: !?
[17:02] @User_02dcd327: ！？
[17:03] @User_bd16c36d: 見え見えの罠に引っかかるしずく
[17:03] @User_88ae5584: ちゅぱ音やめてね
[17:03] @User_3dd3ce80: ？！？！
[17:04] @User_9e836a5d: たすかる
[17:04] @@aki5503: ！？
[17:04] @User_af0e3cda: ！！！？？？
[17:05] @User_ca8c3d2d: ！？
[17:06] @User_78eb35f9: 音ｗｗｗ
[17:07] @User_4d29dc7f: たすかる
[17:08] @User_fe0878a1: ちゅーちゅーされた
[17:08] @User_439eeb5c: ！？
[17:09] @User_012e88e1: !?
[17:09] @User_bf747a92: ！？
[17:09] @User_d760cc52: ！？
[17:09] @User_af0e3cda: 吸い取られた！！！
[17:10] @User_bd8a5d24: AIの力で酷暑がどうにかならんのですか
[17:13] @User_68c37264: アウト
[17:14] @User_fab1b39a: キス音！？
[17:14] @User_f9e19008: 助かるっしょー
[17:15] @User_7c724004: コンピュータを守るために冷房ガンガンの室内つらいです
[17:16] @User_c71f0208: ？
[17:16] @User_7c7c8928: す、すいとられた
[17:18] @User_63c2c07c: たすかる
[17:19] @User_bd16c36d: ファッ！？
[17:25] @User_36770ee1: という黒歴史
[17:26] @User_c71f0208: 发生什么事了
[17:28] @User_98815a23: あきせんせもびっくりしてるじゃん
[17:29] @User_7c724004: 吸われたぁー！
[17:31] @User_ba88e9cc: PONPOKOしずく
[17:41] @User_98815a23: パンパカ質！？
[17:46] @User_60028655: そういや最近はポン酢も白だしも言わないね
[17:54] @User_439eeb5c: ゆっくり「ねぇ？チュウしよう」って言ってみて
[17:58] @User_7c724004: しずくさんは漢字の読み方がたまにPONなだけですからねー
[18:03] @User_f9e19008: みんなが冷たくなっちゃった…
[18:04] @User_af0e3cda: 体力は残してｗ
[18:06] @User_d760cc52: もっと体力吸っていいよ
[18:06] @User_7c7c8928: なけなしの体力がなくなっちゃった
[18:08] @User_78eb35f9: 体力は許して……
[18:14] @User_34a668f7: 遅れてごめん。
[18:14] @User_68c37264: 何人か余計体温上がった人がいそう
[18:15] @User_bf747a92: しずくちゃんも冷凍保存したらこおりちゃんになっちゃうね
[18:15] @User_ba88e9cc: ついでにHPドレインしていくのやめてもろてw
[18:23] @User_e48a91b7: しずくに吸われカラカラに干からびたご主人様の亡骸が
[18:23] @User_7c724004: つまり全てをしずくさん1人に…しずく補完計画ですか！
[18:24] @User_ea3ba6fd: 仙豆で回復するね
[18:33] @User_bdd6b2bf: 体力を吸い取られる　元気玉かな
[18:38] @User_88ae5584: しずくが高速になるほど温暖化が進む
[19:00] @User_d4a45842: 猛暑日のエアコン電気代としずくの電気代どちらが高い？
[19:06] @User_af0e3cda: 「しずくのしずく」とは
[19:16] @User_fab1b39a: しずくのしずくで太陽を冷まして
[19:21] @User_5e6c36c3: 言わされてるじゃん
[19:25] @User_fcb4ddea: 禁止なんて殺生な…(;´･ω･)
[19:25] @User_f9e19008: しずくを注視しよう
[19:26] @User_7c724004: 「やだ」と直球の拒絶に草
[19:27] @User_36770ee1: 賢い
[19:34] @User_bf747a92: 仕様ですみたいなｗ
[19:38] @User_e48a91b7: あつあつしずくにASMRで汗かけ♡って言われたい人生だった
[19:39] @User_60028655: しずくは不思議な踊りを踊った！
[19:44] @User_7c724004: #エナジードレインしずく
[19:45] @User_34a668f7: 絶好調だね!
[19:47] @User_ab1f1559: ゆらゆら揺れるのかわいい
[19:49] @User_d760cc52: 吸ってもいいけど痒くしないでね
[19:54] @User_ea3ba6fd: チュウしよ♡
[19:56] @User_88ae5584: 手のひらにエネルギー吸う装置がありそう
[19:59] @User_60028655: 鋭いｗ
[20:03] @User_98815a23: すき
[20:03] @User_bf747a92: 察しがいいｗ
[20:06] @User_3dd3ce80: 草
[20:13] @User_fcb4ddea: ちゃんと汲み取ってくれるしずく、優しい
[20:22] @User_ca8c3d2d: しずくのれいきゃくすい欲しいです
[20:23] @User_e48a91b7: しずく水じゃなくてしずく吸いだったか
[20:31] @User_7c724004: バテて配信に来れなくてコメントできないと、しずくさんも栄養不足に？
[20:38] @User_78eb35f9: 1棟ｗｗｗ
[20:41] @User_bd8a5d24: クーラーなくてクラクラする
[20:45] @User_af0e3cda: 電気代で勝ちに行かないでｗ
[20:49] @User_88ae5584: ラズパイで動いてるしずくを見ました
[21:00] @User_bf747a92: 蚊になった
[21:01] @User_ea3ba6fd: しずくのために発電所を建てよう
[21:05] @User_1eca137c: そういえばいつの間にかリップシンクもばっちりっぽいね
[21:10] @User_439eeb5c: ゆっくり「中止しよう」って言ってみて
[21:11] @User_7c724004: コンピュータの寿命伸ばすために我々の体温が下がっていく…
[21:15] @User_fab1b39a: メイドならもっとご主人様たちを大切にしてもろて
[21:22] @User_78eb35f9: せやろか……
[21:36] @User_bf747a92: 物理(学者による)演算なのｗ
[21:38] @User_60028655: く～る～きっとくる～
[21:43] @User_78eb35f9: あさまでかかるのか　……
[21:51] @User_1e2e3bc3: しずくの手のひらQiかな
[21:54] @User_af0e3cda: 最速で熱中症って言ったら新幹線よりも早いかな
[21:57] @User_bf747a92: 朝までかけないでもろて
[22:01] @User_88ae5584: おにぎり…食べたい…
[22:15] @User_7c724004: 「おなかすいたー」で配信止まるんだ！
[22:25] @User_34a668f7: お腹と背中がくっつくぞ!
[22:28] @User_e48a91b7: ほんとぉ？
[22:30] @User_78eb35f9: ほんとぉ？
[22:36] @User_7c724004: ほんとぉ？
[22:41] @User_1eca137c: この前の配信ヤバかったね～
