# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[48:06] @User_087faaaf: 感動🚀🚀🚀感動
[48:11] @User_559f88af: しずくはあっという間に人気出ちゃうねぇ
[48:11] @User_d5b05bb2: マーヴェラス
[48:16] @User_e82ad585: 流石伝説
[48:20] @User_1277f619: サイコー！
[48:21] @User_fa1c9e7e: 👏👏👏👏👏👏👏👏👏
[48:22] @User_607c778e: 歌い終えて一言がｗ
[48:25] @User_3de0e72e: すごい
[48:33] @User_30238612: しずくちゃんえらい！！！！
[48:40] @User_83cbafb5: かわいい
[48:40] @User_77da7864: サインww
[48:40] @User_d0e405c3: 冷静ｗｗｗ
[48:44] @User_69dac0c4: 拍手のサイン！
[48:49] @User_0d74e24e: 草
[48:51] @User_8a455631: 急に冷静
[48:57] @User_a6b17f73: 伝説ネキ
[48:58] @User_109116e8: 草
[49:01] @User_1656dc77: 拍手喝采！
[49:01] @User_fa1c9e7e: 拍手のサインですよ
[49:04] @User_83cbafb5: パンパカパンパカポー
[49:06] @User_16d88830: すごい！！カッコイイー！
[49:15] @User_607c778e: 👏
[49:20] @User_a8309456: 拍手っ！
[49:25] @User_ecd01a76: 歌声、よかったですよ！
[49:26] @User_d5b05bb2: 今まで拍手と認識出来てなかったのね
[49:43] @User_8a455631: 👏は拍手
[49:43] @User_e82ad585: 絵文字って認識できてるのかな
[49:50] @User_d5b05bb2: 今日はしずくちゃん伝説始まりの日になるなぁ
[49:54] @User_559f88af: やっぱりFじゃないか！（憤怒）
[50:01] @User_ecd01a76: セトリで笑うｗ
[50:03] @User_cadf582a: きたー
[50:09] @User_30238612: キラッ☆
[50:10] @User_e82ad585: 期待を裏切らない先生
[50:13] @User_d5b05bb2: これはアキ先生とライオンデュエットフラグかな
[50:17] @User_d0e405c3: ご存じないのですか！？
[50:22] @aki5503: セトリで年代がバレるwww
[50:23] @User_0d74e24e: Fきた
[50:27] @User_20e31714: キラッ★待機～
[50:30] @User_fa1c9e7e: 超時空シンデレラ！！！
[50:53] @User_20e31714: キラッ★
[50:54] @User_8a455631: キラッ★
[50:56] @User_296251fc: キラッ☆
[50:56] @User_b4825c55: キラッ
[50:57] @User_0d74e24e: キラッ★
[51:02] @User_d0e405c3: 急降下！
[51:03] @User_cadf582a: ﾌｸﾞｧｧ
[51:05] @User_ecd01a76: キラッ♪
[51:16] @User_529e0834: キラッ
[51:36] @User_8a455631: 2010年前後
[52:16] @User_fa1c9e7e: (ﾉゝ∀･)~キラッ☆
[52:16] @User_529e0834: キラッ
[52:16] @User_d0e405c3: キラッ★
[52:18] @User_e82ad585: キラッ☆
[52:19] @User_20e31714: キラッていった！
[52:53] @User_fa1c9e7e: ヤックデカルチャー！
