# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[27:25] @User_7c724004: 民衆を導く自由の女神
[27:26] @User_3c5839d9: 世界史の教科書に載ってるやつだ
[27:29] @User_13ee997b: 民衆を導く自由の女神
[27:32] @User_7ff18484: 名前がワカラん
[27:57] @User_4bfe683e: ジャンヌ・ダルクの絵なのか？
[28:29] @@aki5503: #あ、これ正解早すぎたやつたまに認識しない……申し訳ないです🙏🏻🙏🏻
[28:37] @User_51fe3fff: ありがとう！
[28:51] @User_613c2f15: 時間差！
[28:53] @User_94242a4c: 🇫🇷
[29:04] @User_9c0c22ca: #爆速絵画当てクイズ
[29:18] @User_36fcf009: #間違えた時のが変換候補に残ってたんでズルみたいなものでしたｗ
[29:21] @User_8b194fdc: #もしかして視聴者のほとんどAIかな……
[29:26] @@aki5503: #やばい、しずくの褒め方がコピペに
[29:27] @User_1e9abcba: #こんばんは！みんな回答早くてすごいなぁ...
[29:49] @User_3a33415e: #回答速い（＾－＾；）
[29:50] @User_51fe3fff: 見識とセンス
[29:52] @User_8b194fdc: #もう言わされてる感じになっちゃってるｗ
[29:54] @User_8142f876: 誉め言葉は指定したわけじゃないんですね
[29:56] @User_7c724004: 時間差だけど、しずくさんに褒められて嬉しい
[30:05] @User_4bfe683e: どうやればそんな爆速でみんな答えられるんだって話だよｗｗｗ
[30:06] @User_613c2f15: @クイズに勝ち抜くコツはなんですか？
[30:12] @User_d601f156: 問題出すAIと答えるAI...GANかな？
[30:27] @@aki5503: #これが人力GAN
[30:31] @User_9c0c22ca: #しずくさんも正解多すぎてほめ方捌いている感じある
[30:33] @User_8142f876: いまなら、ズルで答えても。ほめてくれる？
[30:45] @@aki5503: #実は褒めます(笑)
[30:46] @User_7c724004: しずくさんが描く絵画も見てみたい
[30:52] @User_94242a4c: ジャンヌ・ダルクかなあ
[30:57] @User_4bfe683e: しずくちゃんのほうが美しくて可愛いよ！
[31:01] @User_8142f876: 民衆を導く自由の女神
[31:15] @User_613c2f15: #む？ しずくさんのコメントがループしてる？
[31:21] @User_e3333c90: ジャンヌダルクって百年戦争の人だっけ
[31:22] @User_9c0c22ca: しずくさんが絵画になればいいのでは？
[31:28] @User_613c2f15: #いや大丈夫そうですね
[31:28] @User_7ff18484: #ww
[31:29] @User_51fe3fff: うーん正直～
[31:35] @@aki5503: #では8問目！
[31:36] @User_8b194fdc: #あなたが正解したことを褒めてあげます！←かわいい
[32:11] @User_94242a4c: 叫び
[32:13] @User_613c2f15: 叫び
[32:13] @User_5d00dbd2: 叫び
[32:13] @User_69451bd9: 叫び
[32:13] @User_8b194fdc: ムンクの叫び
[32:13] @User_51fe3fff: 叫び
[32:15] @User_13ee997b: 叫び
[32:17] @User_e3333c90: 叫び
[32:19] @User_5844c024: 叫び
[32:20] @User_7c724004: 叫び
[32:21] @User_756cc920: 叫び
[32:23] @User_7214a7f6: 叫び
[32:25] @User_46f9cb2b: 早いw
[32:27] @User_8142f876: 叫び
[32:33] @User_51fe3fff: 前進しましょうｗ
[32:34] @User_8142f876: ムンクの叫び
[32:35] @User_16274fb1: 速い！
[32:39] @User_7c724004: 早押しクイズｗｗ
[32:40] @@aki5503: #早押しクイズだこれ.www
[32:41] @User_7ff18484: ムンク？？
[32:42] @User_e6d9f1a1: 早押しクイズになってるｗ
