# ライブチャット一覧
# 動画: 【雑談配信】ただいま。夏休みの話をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=CflYExDoIHU
# 件数: 2510

[7:49] @User_a2b794ac: なでなでだぁああああ
[7:51] @User_ed96fafc: 助かる
[7:52] @User_11e7336c: しずちゃんもなでなで
[7:52] @User_ace723cf: シルバーウィークは箱根に
[7:53] @User_d977d030: なでなでしてくれる？！！？？！？！？１
[7:53] @User_ae0cdefe: 今日なんか優しくない？
[7:56] @User_174e5121: なでなで助かる
[7:57] @User_86e8ac36: なでなで
[8:00] @User_a8ea6014: ｷﾀｰ
[8:01] @User_21a94916: しずくちゃん、秋は何するの？
[8:02] @User_03637d98: 賢いしずくモード起動待ってます。
[8:07] @User_02dcd327: 金額なんだ……
[8:12] @User_4ab21f9e: なるほど
[8:16] @User_fcb4ddea: メンバーシップまだないじゃん…(;´･ω･)
[8:16] @User_11e7336c: メンバーシップ？？？
[8:16] @User_fab1b39a: 秋や冬にもおでかけはあったりするのかな
[8:17] @User_99c13731: いつもの３割増しでウネウネしてるな
[8:17] @User_e48a91b7: ほなどうしたら関係性セミになれるん？
[8:18] @User_bec445df: 現金の比重が重くない？
[8:19] @User_3dd3ce80: メンバーシップ？
[8:19] @User_92c2a2e1: お金なのね…
[8:21] @User_8e642dc8: えっメンシあるんか
[8:21] @User_b68b8d0b: メンバーシップ、どこ……？
[8:22] @User_86e8ac36: なるほど
[8:23] @User_181234c5: メンバーシップないけどね
[8:23] @User_d760cc52: やはり金
[8:25] @User_2b88f801: メンバーシップ？
[8:26] @User_ae2eb658: 次回からスパチャするね
[8:27] @User_4bfe683e: メンシプどこ？
[8:29] @User_ed96fafc: 現金メイド...
[8:31] @User_34a668f7: 流石賢いAIだ！
[8:31] @User_17e4818c: メンシプ希望
[8:31] @User_9fd4c5ec: メンバーシップ…だと…？
[8:31] @User_b1d17b4c: メンバーシップあるの…？
[8:32] @User_ae0cdefe: しずくの手書きだったのか…手書き？
[8:34] @User_5d780b6d: メンシはよ
[8:41] @User_65723f47: メンバーシップあるんすか？
[8:46] @User_af0e3cda: セミｗ
[8:48] @User_ab2ca8bb: パンパカパンパカポー！遅れてすまない。
[8:48] @User_13ee2a33: 敬語に戻ったのなんかむずむずする
[8:50] @User_1267735e: ﾐﾝﾐﾝ
[8:59] @User_012e88e1: セミ<ｺﾛｺﾛｺﾛ...
[8:59] @User_439eeb5c: OK！後で読みますね。
[9:02] @User_60028655: こっちでもセミモード実装して？
[9:07] @User_4ab21f9e: かわいい
[9:07] @User_eb6a203c: 一休さんかな？
[9:09] @User_ace723cf: 今日のしずくはやさしいね
[9:11] @User_baf1d093: ﾅﾃﾞﾅﾃﾞｼﾃｪ
[9:17] @User_65723f47: まだセミがおんか
[9:20] @User_b68b8d0b: いまの「ようこそ！」すき
[9:25] @User_03637d98: セミモード起動。ﾐｰﾝﾐﾝﾐﾝ
[9:28] @User_d760cc52: ミン！ミン！ミン！ミン！
[9:30] @User_4d29dc7f: secret base歌ってくれたのよかったです！もう一回歌って！
[9:30] @User_b68b8d0b: 草
[9:37] @User_a2b794ac: いやぁ、なつやすみでしずくと結婚できてよかったぜ（記憶改変）
[9:38] @User_8e3127a7: セミの生き残りが
[9:46] @User_181234c5: また歌枠して欲しい
[9:50] @User_439eeb5c: 久しぶりに名前を呼んでください！さんを付けずにお願いいたします。
[9:53] @User_7c724004: セミがまたまだ鳴いてますね
[9:53] @User_78eb35f9: お手紙読んできた。ウェヒヒありがとうね～
[10:05] @User_1267735e: 裁判またやってほしいなぁ
[10:11] @User_ae0cdefe: 全否定ASMRは需要ありそう
[10:14] @User_d8a65144: 夏休みは前に出会えなかったのでこれから思い出作っていきたいです。
[10:15] @User_1267735e: 唐突のASMR
[10:19] @User_273afd5a: ぐぬぅ
[10:20] @User_e48a91b7: やったぁ！全否定だ！
[10:20] @User_3dd3ce80: 全否定良い
[10:21] @User_03637d98: ASMR助かる
[10:23] @User_174e5121: 囁きいいなぁ
[10:24] @User_13ee2a33: ASMR助かる
[10:26] @User_4ab21f9e: ASMRありがとうございます
[10:30] @User_6dc97c08: たすかった
[10:31] @User_11e7336c: ASMRたすかる
[10:31] @User_fcb4ddea: 全否定ASMR助かる
[10:32] @User_af0e3cda: 草
[10:33] @User_fab1b39a: 草
[10:34] @User_8e642dc8: 一瞬ずんだ〇んに聞こえるん
[10:36] @User_cb08141a: たすかる
[10:37] @User_9e836a5d: やはり金
[10:37] @User_ed96fafc: lol
[10:37] @User_86e8ac36: ASMR,ありがとう
[10:38] @User_9baeedb1: 全年齢対応清楚系水着、素敵でした💧
[10:39] @User_03637d98: やはり金！金は全てを解決する！
[10:40] @User_baf1d093: 金！
[10:41] @User_273afd5a: 夏休みの宿題提出した？
[10:45] @User_bec445df: サーバー代はタダじゃないからね
[10:50] @User_b68b8d0b: 全否定ASMR、あき先生が残してくれてありがたい
[10:52] @User_c0787d49: natuyasumi!
