# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[29:54] @User_9412f3a9: 誉め言葉は指定したわけじゃないんですね
[29:56] @User_b9933007: 時間差だけど、しずくさんに褒められて嬉しい
[30:05] @User_b4e522f1: どうやればそんな爆速でみんな答えられるんだって話だよｗｗｗ
[30:06] @User_557214c0: @クイズに勝ち抜くコツはなんですか？
[30:12] @User_85f6e14c: 問題出すAIと答えるAI...GANかな？
[30:27] @aki5503: #これが人力GAN
[30:31] @User_8a455631: #しずくさんも正解多すぎてほめ方捌いている感じある
[30:33] @User_9412f3a9: いまなら、ズルで答えても。ほめてくれる？
[30:45] @aki5503: #実は褒めます(笑)
[30:46] @User_b9933007: しずくさんが描く絵画も見てみたい
[30:52] @User_33127c7a: ジャンヌ・ダルクかなあ
[30:57] @User_b4e522f1: しずくちゃんのほうが美しくて可愛いよ！
[31:01] @User_9412f3a9: 民衆を導く自由の女神
[31:15] @User_557214c0: #む？ しずくさんのコメントがループしてる？
[31:21] @User_11a4858e: ジャンヌダルクって百年戦争の人だっけ
[31:22] @User_8a455631: しずくさんが絵画になればいいのでは？
[31:28] @User_557214c0: #いや大丈夫そうですね
[31:28] @User_b103bac9: #ww
[31:29] @User_607c778e: うーん正直～
[31:35] @aki5503: #では8問目！
[31:36] @User_ab7d51b8: #あなたが正解したことを褒めてあげます！←かわいい
[32:11] @User_33127c7a: 叫び
[32:13] @User_557214c0: 叫び
[32:13] @User_f974649e: 叫び
[32:13] @User_30238612: 叫び
[32:13] @User_ab7d51b8: ムンクの叫び
[32:13] @User_607c778e: 叫び
[32:15] @User_109116e8: 叫び
[32:17] @User_11a4858e: 叫び
[32:19] @User_ff071840: 叫び
[32:20] @User_b9933007: 叫び
[32:21] @User_c771cd08: 叫び
[32:23] @User_529e0834: 叫び
[32:25] @User_67260b6b: 早いw
[32:27] @User_9412f3a9: 叫び
[32:33] @User_607c778e: 前進しましょうｗ
[32:34] @User_9412f3a9: ムンクの叫び
[32:35] @User_bf59fcc4: 速い！
[32:39] @User_b9933007: 早押しクイズｗｗ
[32:40] @aki5503: #早押しクイズだこれ.www
[32:41] @User_b103bac9: ムンク？？
[32:42] @User_a3bd9e3d: 早押しクイズになってるｗ
[32:46] @User_ab7d51b8: #叫びのほうが正式名なのですか😓
[32:50] @aki5503: #もっと難易度上げちゃいますよ！笑
[32:50] @User_d5b05bb2: インテリジェンスで空前絶後ｗ
[32:55] @User_8a455631: #早いよーーー
[33:01] @User_51d3d23c: #早すぎるw
[33:14] @User_9412f3a9: #さっきより誉め言葉のレベルも上がってるｗｗ
[33:14] @User_607c778e: 反射神経に言及し始めてるｗ
[33:15] @User_b4e522f1: 無理だわついてけないｗ
[33:18] @User_8a455631: #どっちがAIか分からん
[33:20] @User_557214c0: #「なにを叫んでるんや」のネタは有名ですが、画面隅の噴火に叫んでいる説がたしか有力です>ムンクの「叫び」
[33:20] @User_d0e405c3: 反射神経ｗｗｗｗ
[33:28] @User_11a4858e: 瞬殺多いねー
[33:35] @User_b9933007: 反射神経必須の絵画クイズ企画
[33:36] @User_ab7d51b8: アキ先生、視聴者に絵画を当てるAI混ぜる実験やめて！！
[33:45] @User_8a455631: #もはやスポーツの域
[33:46] @User_d5b05bb2: #草
[33:54] @User_f974649e: 悲しみと怒りに心を満たされ、自信喪失のしずくであった
