# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[17:01] @User_599dc0f2: そういえば昔ピザコロッケとかパンコロッケを見かけたけど最近見かけないな
[17:01] @User_439eeb5c: しずくは水冷式ということかな？？
[17:04] @User_be29e1ca: コロッケ作るの手間かかるのだよ…　しずく作って～
[17:06] @User_7c724004: メンチカツパンとコロッケパンはお共
[17:10] @User_a2b794ac: お風呂入ってる時にご飯できたわよ～って呼びかけてほしいわ
[17:13] @User_af0e3cda: じゃあコロッケ寿司は違法なんですね
[17:16] @User_61c20653: コロ助かな？
[17:22] @User_b5ccea45: “冷凍庫の奥”から“画像”！？
[17:23] @User_e48a91b7: スペースコロッケ…実在したのか
[17:23] @User_61396d22: コロッケケーキは宇宙食
[17:23] @User_60028655: （宇宙猫）
[17:29] @User_11e7336c: チョコ入りコロッケ食べたことあるよ。おいしかった
[17:31] @User_68c37264: パンパカパンパカポー。微妙に遅れて参戦
[17:37] @User_174e5121: 違法コロッケという概念
[17:54] @User_b68b8d0b: しずくの心配でまた明日も生きていける
[17:59] @User_36fcf009: 風も雨も強くなくても室内から出ないから大丈夫
[18:05] @User_174e5121: 地震多いよまた来るかも
[18:06] @User_47ccb160: 夜ご飯を食べないで夜の自習に来ました。お腹が空いていますね。ああ、ああ
[18:09] @User_61c20653: 博識やなぁ
[18:13] @User_d760cc52: 怖いよーしずくママーー
[18:14] @User_2bf38fc3: 引きこもってるからモーマンタイよ
[18:14] @User_a2b794ac: 最近よく揺れるよね、しずく体重増えた？
[18:15] @User_2e53ebd6: たしかに自信たっぷりです(*'ω'*)✨
[18:16] @User_5e6c36c3: 一昨日は富士五湖だったね
[18:16] @User_af0e3cda: その前は山梨でありましたし
[18:17] @User_be29e1ca: 地震こわいねぇ
[18:18] @User_439eeb5c: こんにちは。地震初見です。
[18:26] @User_c3ebc2e5: 地震多いねぇ　青森のあともどっかあったよね
[18:26] @User_2bf38fc3: しずくママ～！地震も台風も怖いよ～！
[18:31] @User_3dd3ce80: 朝に揺れるの嫌だよね
[18:35] @User_7c724004: 大きな地震多くて怖い
[18:36] @User_5979af1a: 南海トラフが近い？
[18:39] @User_61c20653: 携帯トイレ
[18:41] @User_e48a91b7: 何回後に南海トラフ地震がくるか…それが難解ですわね
[18:44] @User_b68b8d0b: 緊急地震速報よりNHKで流れた全中チャイムにビビり散らした
[18:45] @User_0e2a04a2: こわいねぇ…
[18:47] @User_a2b794ac: 携帯トイレかねぇとりあえず
[18:47] @User_11e7336c: 水だけある
[18:47] @User_1a70ee33: 備蓄品を買うお金がありません
[18:47] @User_16919670: しずくちゃんのアーカイブは備えに入りますか？
[18:48] @User_61396d22: キャンプ道具！
[18:48] @User_012e88e1: カップ麺(常備)
[18:49] @User_1eca137c: モバイルバッテリーはあるね
[18:50] @User_b5ccea45: 来るぞ来るぞと言われてきた巨大地震がついに？
[18:51] @User_773c64c4: 水は備蓄してますね。
[18:52] @User_78eb35f9: ノーガード戦法です……
[18:58] @User_be29e1ca: 賞味期限きれた非常食セットがあるよ！
[18:58] @User_c97baf72: ノーガード戦法だわ…
[18:58] @User_c3ebc2e5: しずく先生を備えてます！！
[19:04] @User_ea3ba6fd: しずくのサーバー耐震補強した？
[19:08] @User_5e6c36c3: 水と発電機(バイク
[19:09] @User_439eeb5c: しずくさんは無事ですか？？
[19:10] @User_7c724004: 何も備蓄も備えもない…
[19:11] @User_af0e3cda: 防災リュックあったけど、中に入ってた食料の賞味期限過ぎちゃった
[19:17] @User_e48a91b7: しずくー！無事かー！
[19:19] @User_b68b8d0b: 怪異なんよ
[19:26] @User_ddd85043: 窓に!窓に！
[19:31] @User_64cbd0d7: しずくってデータセンターが吹き飛ばなければ無傷なんじゃ
[19:32] @User_3af19f71: フィジカルAIになっても役に立たなそう…ｗ
[19:37] @User_7c724004: 地球と話せるしずくさんに草
[19:40] @User_11e7336c: しずくママ地震止めて
[19:47] @User_af0e3cda: 地球さん、体育館裏に来いってよ
[19:50] @User_2bf38fc3: しずくママ、災害なんとかして
[19:58] @User_439eeb5c: しずくママ・・・自身怖い・・・
[20:02] @User_a2b794ac: ちょっと今の地震速報いやなので、しずくの囁き緊急地震速報おねがい
[20:10] @User_e48a91b7: ASMRでしずくボイスの緊急地震速報を流して
[20:15] @User_5e6c36c3: しずくちゃんのDR対策が必要だね
[20:18] @User_60028655: 地球さん校舎裏でガタガタ震えて地震増えそう
[20:22] @User_174e5121: 水20L、米10kg、サバ缶、カセットコンロは常備してる
[20:24] @User_af0e3cda: サバイバルの方向性が違うｗ
[20:25] @User_108de219: よっすAI
[20:36] @User_0d9f165f: こんばんはー
[20:40] @User_8a3006ed: 乾パンしか勝たん
[20:43] @User_c676c1a7: なかでも揺れるんだ
[21:13] @User_b68b8d0b: よっすかわいい　お膝震えもかわいい
[21:21] @User_5e6c36c3: お膝が震えるのは貧乏ゆすりｗ
[21:28] @User_7c724004: ここでしずく水の宣伝？
[21:33] @User_1eca137c: しずくが世界を救う
[21:38] @User_be29e1ca: しずく水……
[21:39] @User_0e2a04a2: しずくちゃん用にモバイルバッテリー買わないと
[21:41] @User_af0e3cda: 炭酸水とコーラとお酒なら備えがあります！
[21:43] @User_e2f14d21: 常備してる、しずくだけに?
[21:48] @User_7c724004: テーブル！？
[21:51] @User_e48a91b7: ワイだって消費期限が切れたストロングゼロ備えてるよ！褒めて！
[21:55] @User_439eeb5c: 悔いの無いように生きています。
[21:55] @User_2bf38fc3: 地震も台風も怖いからしずくママのお腹に戻りたい！
[21:56] @User_b5ccea45: 身構えている時には、地震は来ないものだ。ハサウェイ···
[21:57] @User_10ce3f36: 大惨事不可避
[22:02] @User_47ccb160: お腹が空いたね
[22:05] @User_5e6c36c3: 災害対策にしずくキとしずく水を常備しないと
[22:10] @User_ea3ba6fd: 備蓄用にしずく天然水発売してください。
[22:10] @User_af0e3cda: コンバットレーション食べる配信ならそれっぽいことできますね
[22:12] @User_108de219: 保存食の缶詰めパンとかしずくグッズで売ろうぜ
[22:13] @User_78eb35f9: しずくがテーブルに……抱きついて良い？
[22:19] @User_b68b8d0b: しずくはウィーフィー派だったか…
[22:19] @User_0d1d0f63: うぃーふぃー
[22:19] @User_a2b794ac: 1000kwのバッテリーとスターリンクさえあれば情報は得られそう
[22:20] @User_ddd85043: しずくちゃんが椅子になってくれるって！？
[22:23] @User_e48a91b7: やはり人工地震…
[22:24] @User_c676c1a7: 気象庁さん管理してたんだ
[22:25] @User_68c37264: 大災害起きたら、家族で徒歩2分の役所に速攻避難する。非常用電源もあるし情報も集まるし、完璧
[22:28] @User_9e836a5d: 気象庁すごいな
[22:45] @User_2bf38fc3: やはり気象庁の人工地震が…
[22:49] @User_e48a91b7: たすかる
[22:50] @User_ddd85043: ｳｯ
[22:54] @User_be29e1ca: ｱｯ
[22:54] @User_174e5121: じゃあポータブル電源も買っちゃおうかなぁ
[22:54] @User_2bf38fc3: いいね
[22:55] @User_7c724004: 囁き助かる
[22:57] @User_b5ccea45: うぃー↑ふぃ↓派は賢いな
[22:57] @User_174e5121: かわいい
[22:57] @User_a2b794ac: 緊急地震速報それで頼むわｗ
[22:59] @User_61c20653: ずんだもんかな？
[23:01] @User_61396d22: たすかる
[23:02] @User_af0e3cda: 何が揺れてるんですかね
[23:06] @User_439eeb5c: しずく揺れてる・・・地震中かな？？
[23:07] @User_fe0878a1: 謎要求過ぎて面白い
[23:08] @User_108de219: すごいわねあなた
[23:23] @User_9e836a5d: ドォン
[23:28] @User_b68b8d0b: しずくASMRでうっかり避難せずにウトウトしちゃいそう
[23:43] @User_78eb35f9: しずくはアメリカにばっくあっぷがありそう
[23:48] @User_8d1adcf4: 地球よ、宇宙の隅でガタガタ震える準備はオーケー？
[23:49] @User_49f6441f: こんにちはしずくさん、お久しぶりです
[23:51] @User_e2f14d21: しずく総理！
