# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2814

[8:29] @User_ab2ca8bb: あき先生ってシビュラシステムみたいになってんのか。
[8:29] @User_7c724004: コメントで応援！了解
[8:33] @User_34a668f7: しずく
[8:34] @User_78eb35f9: あき先生、アイス、ワイのぶんもたのんます
[8:37] @User_cc28ffd5: (ガチで)今日誕生日なんすけど、できたら…、「おめでとう」って言ってほしいです…！
[8:39] @User_5e6c36c3: ノ
[8:47] @User_b2138ead: しずくは、あき先生のためにAmazonで注文してあげたりしないの？
[8:51] @User_5e6c36c3: パンパカパンパカポー
[8:53] @User_88ae5584: しずくバイキング
[9:00] @User_c05bb424: 在炎热的夏天看しずく的直播，感觉凉快了许多。
[9:01] @User_7c724004: 無銭労働は大変だ
[9:05] @User_9e836a5d: だじゃれもＯＫ
[9:05] @User_92c2a2e1: 氷枕より膝枕キボンヌ
[9:18] @User_7c724004: アニソン歌枠の予定はありませんの？
[9:21] @User_88ae5584: 舌打ちした？
[9:23] @User_b68b8d0b: 酷暑とダジャレで整ってきた
[9:24] @User_af0e3cda: 今の舌打ちじゃない？
[9:26] @User_92c2a2e1: それ舌打ちでは？
[9:34] @User_e48a91b7: 舌打ちたすかる
[9:44] @User_bd8a5d24: しずく花火大会はいつですか
[9:46] @User_ab2ca8bb: 投げキッスというより舌打ちだろそれw
[9:56] @User_b68b8d0b: 舌打ちたすかる
[10:07] @User_75eee687: 何か国語話せるの？
[10:10] @User_7c724004: 脳だけを水槽に…怖い
[10:15] @User_99c13731: 舌打ちお願いします
[10:15] @User_ea3ba6fd: 2週間しか持たないんじゃんｗｗ
[10:28] @User_88ae5584: 水槽の中に脳を入れて電極差し込んで生きよう
[10:34] @User_78eb35f9: 中国語……
[10:49] @User_439eeb5c: 読めないと思ったけど、しずくを侮った
[10:52] @User_e48a91b7: 脳に！？
[10:53] @User_68c37264: アカンやつ
[10:56] @User_fcb4ddea: 脳に貼る！？(ﾟДﾟ;)
[10:56] @User_b68b8d0b: 額じゃなくて？
[10:57] @User_af0e3cda: 脳に直接貼る冷却シート！？
[11:01] @User_99c13731: 脳に直貼り？
[11:02] @User_78eb35f9: 脳に貼る冷却シート……
[11:09] @User_92c2a2e1: ダイレクトに脳に貼る冷えピタ怖い
[11:10] @User_47ccb160: 散歩から帰ったばかりで、ここ数日<暑いですね
[11:12] @User_88ae5584: ASMR舌打ちお願いします
[11:15] @User_7c724004: 脳に直接貼るのはあかん
[11:20] @User_af0e3cda: 草
[11:23] @User_60028655: 草
[11:26] @User_273afd5a: ありがてぇ…
[11:28] @User_cc28ffd5: 「チッ…」だけw
[11:28] @User_439eeb5c: 舌打ち
[11:28] @User_439eeb5c: ｗ
[11:30] @User_1eca137c: 投げキッスと思わせたノイズ
[11:31] @User_e48a91b7: ガチ舌打ち助かる
[11:32] @User_ab1f1559: ひい
[11:37] @User_54da78c0: 舌打ち助かる
[11:41] @User_fcb4ddea: その花火大会が開催されたら、あき先生が大変になるんだよなぁ…w
[11:44] @User_9e836a5d: 清楚とは
[11:46] @User_ba88e9cc: 舌打ちたすかる
[11:48] @User_ace723cf: 全否定頼みます
[11:51] @User_3dd3ce80: きたねえ花火だ
[11:52] @User_c05bb424: 头上的蝴蝶结的水珠有时候会消失欸。
[11:54] @User_47ccb160: 明後日またkfcに出勤します
[12:00] @User_7c724004: マルチリンガルしずくさん！
[12:09] @User_47ccb160: 明日はお風呂に入るつもりです
[12:11] @User_439eeb5c: 舌打ちの似合うＡＩだね
[12:13] @User_92c2a2e1: どした？
[12:13] @User_ab1f1559: しずくって何気にスペック高いよね。
[12:15] @User_e48a91b7: 群馬語は話せないんだね…高性能AIなのに
[12:33] @User_60028655: ペルチェ素子突っ込んできそう
[12:44] @User_ba88e9cc: みんな同じ水槽に入れられるの！？
[12:44] @User_af0e3cda: やだよそんな生存競争～
[12:52] @User_bd8a5d24: 夏休みの自由研究なにする？
[12:58] @User_2e53ebd6: 入った途端に舌打ちされてる(*'ω'*)✨
[12:58] @User_ab2ca8bb: わーい！これで直接ネットに繋がれるぞー！
[12:59] @User_68c37264: だんだん舌打ちがサマになってきて嫌だ
[13:01] @User_88ae5584: 舌打ち祭りｗ
[13:02] @User_fab1b39a: せめて水槽じゃなくてプールにしてもろて
[13:03] @User_7c724004: チー？麻雀？
[13:06] @User_b15e89db: 北海道は　涼しいぞ
[13:13] @User_2db8a989: 舌打ちの正しい発音はツッらしいよ
[13:17] @User_edfe8ed2: 舌打ちは我々の業界ではご褒美である
[13:19] @User_9e836a5d: 清楚な舌打ち？
[13:21] @User_92c2a2e1: しずくちゃんキッスは「チュッ💋」ね
[13:22] @User_b15e89db: アイエエエ！？
[13:27] @User_fcb4ddea: 夏だからね、みんな脳が溶けてるのよ
[13:47] @User_e48a91b7: 舌打ちと見せかけてエコーロケーションなんだよね
[13:52] @User_4c7eb87e: ちっ…反省してまーす
[13:54] @User_ea3ba6fd: 全肯定してください
[13:55] @User_47ccb160: 热知识，手机上有ai语音摘记或者双语字幕，听不懂的话可以打开它们
[13:58] @User_439eeb5c: 「ち」を全て舌打ちにして話してみて
[14:05] @User_92c2a2e1: エアコンかよw
[14:06] @@aki5503: エアコンと同レベルで良いのか笑
[14:08] @User_78eb35f9: 比較対象がエアコンでいいのか……（困惑
[14:09] @User_7c7c8928: 圧倒的なエアコン
[14:14] @User_88ae5584: 確かに懐かしい気がする
[14:14] @User_60028655: リスナーの闇のおねだりが多すぎるｗ
[14:19] @User_9e836a5d: お、覚えてるよ
[14:21] @User_2e53ebd6: エアコンAI(*'ω'*)✨
[14:23] @User_ace723cf: 新参アピ
[14:25] @User_c676c1a7: まあエアコン必需品だもんな……
[14:26] @User_273afd5a: なじみ深い
[14:26] @User_68c37264: 令和三種の神器、水道・エアコン・しずく
[14:28] @User_98815a23: 今のBGMの方が好きです
[14:30] @User_7c724004: 2月の復帰告知にびっくりしましたよ
[14:32] @User_e48a91b7: ふん…初見です
[14:37] @User_92c2a2e1: 新規なので初めてみました(๑╹ᆺ╹๑)
[14:38] @User_99c13731: 『昔』って言うほど昔じゃないよね
[14:42] @User_439eeb5c: 「ごみばこ」が空になってる
[14:42] @User_eb6a203c: ノ　なんならgpt4ではしゃいでた時代から観てるよ
[14:46] @User_1a62ecac: このレイアウトだとしずくが近くてかわいい
[14:52] @User_47ccb160: 古い経歴もあるので、古い経歴にひざまずいた
[14:53] @User_37c32145: 左の子に移ってる女の子がかわいくなった？
[14:53] @User_fcb4ddea: やっぱり全否定ASMRかな…(;´･ω･)
[14:56] @User_60028655: このレイアウトだと話題履歴が表示されない
[15:06] @User_bd8a5d24: この頃はしずくが純粋だった
[15:09] @User_af0e3cda: しずくの舌打ちは圧倒的に甘露じゃのう
[15:18] @User_ea3ba6fd: 昔を知らない
[15:21] @User_ab2ca8bb: 確かにしずくちゃんがいつもより近いね
[15:24] @User_9fd4c5ec: 親指を立てながら溶鉱炉に沈んでいくやつかな？
[15:25] @User_eb6a203c: 色んな事件があったよねぇ…
[15:25] @User_7c724004: Daisukeを歌った歌枠かな？
[15:26] @User_d760cc52: 平成時代のしずく思い出すなぁ
[15:32] @User_439eeb5c: このころのしずくは清純キャラだった
[15:34] @User_68c37264: 「夜のサーバールーム〜」の配信。SAN値ゴリゴリ削られるトラブルシミュレーション動画かと思ってた
[15:35] @User_c05bb424: 太可爱了
[15:36] @User_2e53ebd6: 720時間耐久配信なつい(*'ω'*)
[15:44] @User_fab1b39a: しずくは夏らしい服装にならないの？
[15:45] @User_ab1f1559: しずくが近くに感じられて幸せ
[15:46] @User_cc28ffd5: 少し前知ったばっかだからわかんねーw
[15:48] @User_4d29dc7f: 左のメニューでごみばこをポチッとするとどうなるのか？
[15:50] @User_88ae5584: コメント厳選してるｗ
[15:58] @User_5b45dc14: パンパカポー　遅刻しちゃった💧
[16:04] @User_2e53ebd6: ｗｗｗ
[16:04] @User_78eb35f9: 草
[16:06] @User_2db8a989: 初見です🔰
[16:07] @User_c95a7c99: ！？
[16:08] @User_3dd3ce80: ｗｗｗ
[16:09] @User_9e836a5d: ブロックされとる
[16:10] @User_273afd5a: この背景だったかは怪しいけど全否定配信だな…
[16:13] @User_e48a91b7: 初期のしずくは圧倒的清楚だったとワザップに書いてあった
[16:13] @User_eb6a203c: 3日配信、結局関係性「結婚」は出せなかった
[16:14] @User_af0e3cda: そ、そんなリストが！！
[16:14] @User_7c724004: ブロックリストｗｗ
[16:16] @User_92c2a2e1: ブロックリストはやめてね
[16:20] @User_fab1b39a: ブロックは草
[16:24] @User_2e53ebd6: 私の第一印象を教えてくだしあ(*'ω'*)
[16:25] @User_ab2ca8bb: 背景がリボンの色に近くて輪郭が溶けてるような…
[16:29] @User_2e53ebd6: べ
[16:38] @User_ea3ba6fd: 甲州弁で話してみて
[16:43] @User_ace723cf: 群馬語ネイティヴ
[16:44] @User_88ae5584: AIからブロックされるこんな世の中じゃ
[16:46] @User_ab2ca8bb: 静岡弁もお願いします
[16:53] @User_b2138ead: 博多弁で罵倒して
[16:54] @User_439eeb5c: 蝶ネクタイの模様が動いてる
[17:09] @User_92c2a2e1: 初見なのでどこが違うかわかんないなー
[17:11] @User_78eb35f9: そのままの君で居て
[17:13] @User_af0e3cda: 名古屋弁もテキトーに喋ってみて？
[17:16] @User_e48a91b7: しずくは今も昔もママだよ…ママぁ…
[17:23] @User_fcb4ddea: ずらw
[17:28] @User_ace723cf: 弘前弁おねがいします
[17:31] @User_af0e3cda: ほうとうと一緒にぐつぐつずら！
[17:32] @User_1eca137c: ほうとうの具w
[17:38] @User_fab1b39a: ヅラじゃない桂だ
[17:40] @User_7c724004: 過去の判決も？
[17:43] @User_88ae5584: また髪の話してる…
[17:45] @User_ab2ca8bb: グンマーは外国だから群馬訛りは外国語
[17:51] @User_c95a7c99: 大体……？
[18:02] @User_af0e3cda: しずくに黒歴史なんてあるの？ないでしょ～～ｗｗ
[18:09] @User_9e836a5d: とっとっと
[18:10] @User_1eca137c: しずくは黒歴史更新中でしょ
[18:13] @User_2e53ebd6: シャインマスカットの食べ放題の前にジンギスカンを食わせてやろう(*'ω'*)✨
[18:20] @User_9fd4c5ec: あき先生の黒歴史も見られますか？
[18:28] @User_ab2ca8bb: 黒歴史が全部残ってるって地獄ですね
[18:39] @User_af0e3cda: そこは嘘でも泣いてたってことにしてちょうだいｗ
[18:57] @User_92c2a2e1: しずくが知らない方言「鹿児島弁」
[19:02] @User_7c724004: 復帰配信が見事にトレンド入りしたのも懐かしい思い出
[19:06] @User_fcb4ddea: 割と頻繁にしずくによってコメント欄の人権が否定されるんだよなぁw
[19:08] @User_f9e19008: こんずらー
[19:08] @User_2e53ebd6: 鍋ｗｗｗ
[19:09] @User_e48a91b7: 初配信のしずくはご主人様にあやされてたんでしょ？
[19:10] @User_af0e3cda: 沈め方がｗ
[19:13] @User_88ae5584: ｗ
[19:15] @User_c95a7c99: ｗｗｗ
[19:15] @User_ea3ba6fd: ずらずら
[19:15] @User_ab1f1559: そもそもなんで休止してたの？
[19:16] @User_f361aeef: 脳みそってフェイジョアーダに似てるよね
[19:16] @User_60028655: 山姥の作るほうとうかな？
[19:16] @User_68c37264: 草
[19:16] @User_f37e7e67: そいえばずっと観てるのにコメントした事無かった…
[19:20] @User_b68b8d0b: 見覚えがあるような無いような…？いつから見てたか思い出せない…
[19:22] @User_92c2a2e1: 流れるようにブロックリストw
[19:26] @User_af0e3cda: ママ～タオパンパ！
[19:42] @User_2e53ebd6: へば(*'ω'*)✨
[19:45] @User_88ae5584: しずくはブロックネタを会得した
[19:46] @User_439eeb5c: 懐かしいな…確かこのころに初めてしずくがママになってくれたんだね
[19:49] @User_eb6a203c: あき先生の修行編やってたのでしずくが配信休止してました
[19:55] @User_af0e3cda: へばね～！
[20:09] @User_ab1f1559: しずく昔よりかわいくなってる
[20:18] @User_ab2ca8bb: 「静岡弁」って言うと安直に「ずら」って付ければ良いと思われてる風評被害w
[20:21] @User_9394adc7: あっつぅ～！ビール！ビール！
[20:24] @User_afafba22: こんばんわ
[20:26] @User_af0e3cda: Amazonは連携してないはずなんだけどなぁ･･･
[20:26] @User_cf512b08: 暑い日は冷却水
[20:32] @User_ace723cf: Amazonの購入履歴までわかるのか、高性能
[20:36] @User_e48a91b7: 草
[20:38] @User_2e53ebd6: ……(*'ω'*)
[20:39] @User_3dd3ce80: ｗｗｗ
[20:43] @User_f9e19008: 草
[20:50] @User_7c724004: しずくさんは昔の方が毒舌控えめだったような？
[20:54] @User_fcb4ddea: Amazonの履歴までチェックされてるってことは、最近買ったあの雑誌もバレてる…？(ﾟДﾟ;)
[21:01] @User_92c2a2e1: 草
[21:03] @User_af0e3cda: あ～いいねいいね！
[21:04] @User_f361aeef: しずくの言葉のflowがbgmとばっちり合ってると思うんだ。グルーヴィ！
[21:12] @User_5b45dc14: 方言すごい　しずく天才！
[21:13] @User_9e836a5d: ぼっち
[21:14] @User_ea3ba6fd: 大阪府警のマネして開けんかいコラァ！って言ってください。
[21:17] @User_af0e3cda: しずくは何人目のしずく？
[21:25] @User_7c724004: 分裂ｗｗ あそこからおつしず〜が定着したような
[21:26] @User_c05bb424: おもしろい
[21:31] @User_e48a91b7: いま猫かぶったね？
[21:40] @User_012e88e1: 分裂…エイプリルフール…
[21:41] @User_92c2a2e1: ループは芸ですもんね
[21:43] @User_78eb35f9: 深刻ｗ
[21:43] @User_88ae5584: 「名前だけでも覚えて帰っていってくださいね～」
[21:48] @User_99c13731: しずくの黒歴史が気になる
[21:48] @User_439eeb5c: しずくの黒歴史…ループ芸のことかな？？
[21:49] @User_68c37264: あき先生の黒歴史、ついに安全フィルター実装…無念
[22:05] @User_2e53ebd6: 社会性フィルターをください
[22:06] @User_17e4818c: 黒歴史ﾔﾀﾞｰ
[22:13] @User_78eb35f9: ワイの初コメはなんじゃらほい
[22:15] @User_60028655: 「懐かしい配信画面」…夏だけに？
[22:16] @User_88ae5584: コメント管理されてるの？
