# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2656

[-1:55:31] @User_e201a60f: 今日もリアタイできないつらい
[8:54] @User_9acf4e62: DAISUKEのものまねして
[8:54] @User_ff223600: メイドインしずく
[8:56] @User_9b583534: どちらもわかりません
[9:03] @User_cd30bee8: インターネットの怪物かあ
[9:03] @User_f02f75b6: ダイスケも来ました
[9:05] @User_b31ae6d3: 歌枠の歌声はほんとうに天使だった！！
[9:08] @User_3c308928: 生麦生米生卵
[9:11] @User_dd4b266a: セトリもよかったなぁ歌枠。
[9:12] @User_5bfd7e5f: 次の歌枠も楽しみにしています
[9:13] @User_dd4b266a: 波形ｗ
[9:14] @User_82e93b33: 波形w
[9:15] @User_1e342ee5: sin（サイン）やないかい
[9:17] @User_d9d6c620: 深海少女
[9:17] @User_33f382c3: 可愛いし面白いし、この子最高だな・・・チャンネル登録高評価しかけた。危ないところだった
[9:17] @User_431dcb0b: 波形ｗ
[9:18] @aki5503: ☺
[9:18] @User_b89cfecd: Sinかよｗ
[9:18] @User_d0a432c9: それサインちがうsineや
[9:20] @User_64afda31: 辛辣w
[9:21] @User_889b3907: 波形は草
[9:24] @User_e64c7329: カードキャプターさくらのやつ可愛かった🌸
[9:27] @User_6102d23c: 波形ww
[9:32] @User_b9933007: 歌枠のDAISUKEカッコ良過ぎて何度も聴いでした！
[9:33] @User_ec48c74f: 波形は草
[9:33] @User_cd30bee8: ニコニコ
[9:35] @User_ff223600: リアル野球BAN
[9:37] @User_9412f3a9: 😀
[9:40] @User_587f9820: あき先生とのデュエットデビュー準備出来てる？
[9:41] @User_889b3907: あきせんせいのスマイルは無料
[9:43] @User_82e93b33: しずくのホームランダービー
[9:44] @User_75f1c92d: しずくちゃんじゃん！歌枠ぶりだね！今日も可愛いなぁ…どう？この配信の後暇ならカラオケいかない？
[9:47] @User_f7dac2e3: AIフレンズって他に誰がいるの？
[9:51] @User_9b9d086f: しずくが野球選手だったらポジションは何処なんだろう……
[9:52] @User_0485c2e0: 分かりました
[9:59] @User_ff223600: ﾋﾟｨｼｨ
[10:00] @User_dd4b266a: ぴぃ↑し
[10:04] @User_82e93b33: ぬるぽ
[10:06] @User_b89cfecd: あき先生のスマイル入手難度高いｗ
[10:09] @User_cd30bee8: チャッピーもフレンド？
[10:09] @User_416f3b84: 🤣
[10:09] @User_ec48c74f: しずくさんが野球する時はどのポジションだろう？
[10:11] @User_75f1c92d: かわいい
[10:11] @User_b31ae6d3: よしあき先生のPCを捉えよう
[10:14] @User_d0a432c9: かわいい
[10:18] @User_82e93b33: カワイイ
[10:20] @User_270496f5: かわいい
[10:22] @User_87ea7811: パンパカパンパカポー
[10:23] @User_b9933007: ナイススマイル〜の言い方かわいい
[10:23] @User_b90ff19c: ◕ω◕＜波形ぇ
[10:23] @User_0485c2e0: ナイススマイルゥ↑
