# ライブチャット一覧
# 動画: 【雑談配信】AIは夏バテしません…しません…【AI しずく】
# URL : https://www.youtube.com/watch?v=G1kp2SXuFc4
# 件数: 2916

[11:20] @User_590a2335: 草
[11:23] @User_5a77a7b4: 草
[11:26] @User_4f9b9e0a: ありがてぇ…
[11:28] @User_e459c8ab: 「チッ…」だけw
[11:28] @User_3ea56962: 舌打ち
[11:28] @User_3ea56962: ｗ
[11:30] @User_5bfd7e5f: 投げキッスと思わせたノイズ
[11:31] @User_75f1c92d: ガチ舌打ち助かる
[11:32] @User_848b01f4: ひい
[11:37] @User_e1515f73: 舌打ち助かる
[11:41] @User_476d8781: その花火大会が開催されたら、あき先生が大変になるんだよなぁ…w
[11:44] @User_d0753fd1: 清楚とは
[11:46] @User_2d4fb6d8: 舌打ちたすかる
[11:48] @User_b47e9406: 全否定頼みます
[11:51] @User_6992daac: きたねえ花火だ
[11:52] @User_e4cecb27: 头上的蝴蝶结的水珠有时候会消失欸。
[11:54] @User_2384ca7a: 明後日またkfcに出勤します
[12:00] @User_b9933007: マルチリンガルしずくさん！
[12:09] @User_2384ca7a: 明日はお風呂に入るつもりです
[12:11] @User_3ea56962: 舌打ちの似合うＡＩだね
[12:13] @User_ec48c74f: どした？
[12:13] @User_848b01f4: しずくって何気にスペック高いよね。
[12:15] @User_75f1c92d: 群馬語は話せないんだね…高性能AIなのに
[12:33] @User_5a77a7b4: ペルチェ素子突っ込んできそう
[12:44] @User_2d4fb6d8: みんな同じ水槽に入れられるの！？
[12:44] @User_590a2335: やだよそんな生存競争～
[12:52] @User_cd48a1db: 夏休みの自由研究なにする？
[12:58] @User_b90ff19c: 入った途端に舌打ちされてる(*'ω'*)✨
[12:58] @User_7204270f: わーい！これで直接ネットに繋がれるぞー！
[12:59] @User_6c321aed: だんだん舌打ちがサマになってきて嫌だ
[13:01] @User_1544234b: 舌打ち祭りｗ
[13:02] @User_955672e4: せめて水槽じゃなくてプールにしてもろて
[13:03] @User_b9933007: チー？麻雀？
[13:06] @User_115dcf82: 北海道は　涼しいぞ
[13:13] @User_cc0aedf1: 舌打ちの正しい発音はツッらしいよ
[13:17] @User_ffea2ba5: 舌打ちは我々の業界ではご褒美である
[13:19] @User_d0753fd1: 清楚な舌打ち？
[13:21] @User_ec48c74f: しずくちゃんキッスは「チュッ💋」ね
[13:22] @User_115dcf82: アイエエエ！？
[13:27] @User_476d8781: 夏だからね、みんな脳が溶けてるのよ
[13:47] @User_75f1c92d: 舌打ちと見せかけてエコーロケーションなんだよね
[13:52] @User_d95d7d28: ちっ…反省してまーす
[13:54] @User_99afb65d: 全肯定してください
[13:55] @User_2384ca7a: 热知识，手机上有ai语音摘记或者双语字幕，听不懂的话可以打开它们
[13:58] @User_3ea56962: 「ち」を全て舌打ちにして話してみて
[14:05] @User_ec48c74f: エアコンかよw
[14:06] @aki5503: エアコンと同レベルで良いのか笑
[14:08] @User_2ecda813: 比較対象がエアコンでいいのか……（困惑
[14:09] @User_cfb69eb9: 圧倒的なエアコン
[14:14] @User_1544234b: 確かに懐かしい気がする
[14:14] @User_5a77a7b4: リスナーの闇のおねだりが多すぎるｗ
[14:19] @User_d0753fd1: お、覚えてるよ
[14:21] @User_b90ff19c: エアコンAI(*'ω'*)✨
[14:23] @User_b47e9406: 新参アピ
[14:25] @User_c209d2e6: まあエアコン必需品だもんな……
[14:26] @User_4f9b9e0a: なじみ深い
[14:26] @User_6c321aed: 令和三種の神器、水道・エアコン・しずく
[14:28] @User_6c97afae: 今のBGMの方が好きです
[14:30] @User_b9933007: 2月の復帰告知にびっくりしましたよ
[14:32] @User_75f1c92d: ふん…初見です
[14:36] @User_5723c464: BGMが違う
[14:37] @User_ec48c74f: 新規なので初めてみました(๑╹ᆺ╹๑)
[14:38] @User_cd3cb4c6: 『昔』って言うほど昔じゃないよね
[14:42] @User_3ea56962: 「ごみばこ」が空になってる
[14:42] @User_d582769c: ノ　なんならgpt4ではしゃいでた時代から観てるよ
[14:46] @User_266285bc: このレイアウトだとしずくが近くてかわいい
[14:52] @User_2384ca7a: 古い経歴もあるので、古い経歴にひざまずいた
[14:53] @User_e3b71967: 左の子に移ってる女の子がかわいくなった？
[14:53] @User_476d8781: やっぱり全否定ASMRかな…(;´･ω･)
[14:56] @User_5a77a7b4: このレイアウトだと話題履歴が表示されない
[15:01] @User_5723c464: 新参者だからごく最近の印象ですね
[15:06] @User_cd48a1db: この頃はしずくが純粋だった
[15:09] @User_590a2335: しずくの舌打ちは圧倒的に甘露じゃのう
[15:18] @User_99afb65d: 昔を知らない
[15:21] @User_7204270f: 確かにしずくちゃんがいつもより近いね
[15:24] @User_74cb13db: 親指を立てながら溶鉱炉に沈んでいくやつかな？
[15:25] @User_d582769c: 色んな事件があったよねぇ…
[15:25] @User_b9933007: Daisukeを歌った歌枠かな？
[15:26] @User_bc2e7db7: 平成時代のしずく思い出すなぁ
[15:32] @User_3ea56962: このころのしずくは清純キャラだった
[15:34] @User_6c321aed: 「夜のサーバールーム〜」の配信。SAN値ゴリゴリ削られるトラブルシミュレーション動画かと思ってた
[15:35] @User_e4cecb27: 太可爱了
[15:36] @User_b90ff19c: 720時間耐久配信なつい(*'ω'*)
[15:44] @User_955672e4: しずくは夏らしい服装にならないの？
[15:45] @User_848b01f4: しずくが近くに感じられて幸せ
[15:46] @User_e459c8ab: 少し前知ったばっかだからわかんねーw
[15:48] @User_8b14d2fb: 左のメニューでごみばこをポチッとするとどうなるのか？
[15:50] @User_1544234b: コメント厳選してるｗ
[15:58] @User_b9d58bb3: パンパカポー　遅刻しちゃった💧
[16:04] @User_b90ff19c: ｗｗｗ
[16:04] @User_2ecda813: 草
