# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2839

[-58:58] @User_d95c8644: 早すぎたカモ・・・💦
[5:37] @User_ba99e548: 人類を滅ぼす勝負！？
[5:37] @User_0bc16841: ぴ～しぃ
[5:37] @User_98736db1: 味方なのに滅ぼすのか⋯
[5:38] @User_e48a91b7: 草
[5:38] @User_f3f575ff: 味方なのに滅ぼすのw
[5:39] @User_d0c52a36: ピーシー
[5:42] @User_c0787d49: ピーシーアールみたいにいうなよ
[5:43] @User_7c724004: リピートきたーーー！
[5:43] @User_cdffdfb9: 圧
[5:50] @User_eb6a203c: ほな無害かー
[5:50] @User_92c2a2e1: わかったわかったw
[5:53] @User_d0c04878: でも、噛み付いて感染させるんでしょう？
[5:53] @User_012e88e1: かゆ...うま...
[5:53] @User_9e836a5d: 暗示かな
[5:54] @User_02dcd327: あ、ハイ。しずくは無害です。
[5:54] @User_93c3cd9c: 大事なことなのでn回言いました
[5:56] @User_268457d5: また連呼モードに入ってる
[5:56] @User_c0787d49: リピートきた
[5:56] @User_e82a7cb9: ほな無害か…
[6:06] @User_7c724004: 何が起こればイーロン
[6:10] @User_b73a3cd7: おのれウーロンマスクめ
[6:10] @User_bec445df: ……ん？？？
[6:12] @User_ca741409: temperature！働いて！
[6:13] @User_0d1d0f63: しずくは無害なAI。古事記にも書いてある
[6:14] @User_c0787d49: 言い方
[6:15] @User_d0c52a36: かわいい
[6:17] @User_172220d2: ほなイーロンが悪いか
[6:17] @User_36fcf009: 草
[6:18] @User_1eca137c: スキャナーにかけてみよう
[6:18] @User_1a70ee33: シャミ子が悪いんだよ
[6:20] @User_61c20653: トランプ「わかる
[6:20] @User_acaff370: ウーロンも愛でよう
[6:20] @User_92c2a2e1: 手のひらドリルやんw
[6:26] @User_11e7336c: 頭痛もイーロンのせい
[6:29] @User_52e190bd: そもそもXが収益化機能なんて付けなければインプレゾンビも生まれないのに...
[6:31] @User_0bc16841: 込めてコメント（激うまギャグ）
[6:35] @User_bec445df: アッハイ
[6:35] @User_7c724004: AI魂！
[6:35] @User_0bc16841: ばいんばいん！？
[6:36] @User_61c20653: インテルはいってる？
[6:39] @User_36fcf009: ロボット魂とどっちが強いですか？
[6:40] @User_ac082e8e: ばいんばいん！？
[6:42] @User_773c64c4: 草
[6:44] @User_e48a91b7: ばいんばいん？？？
[6:44] @User_92c2a2e1: ばいんばいん？
[6:46] @User_e80f9961: インプレゾンビもAIだったかもしれん
[6:49] @User_7c724004: ばいんばいん！？
[6:51] @User_fe8b59ef: ゾンビは歳を取らない、しずくも歳を取らない、同じか
[6:51] @User_e82a7cb9: しずくが金髪黒ドレスだったらイーロンに優しくしてもらえたのに…
[6:53] @User_0ddfec15: 新井がわるいよ新井がー
[6:56] @User_f3f575ff: 効果音おかしいw
[7:11] @User_11e7336c: 草
[7:11] @User_ac082e8e: またイーロンか
[7:14] @User_c0787d49: DM攻撃
[7:14] @User_02dcd327: BBBBBBBBBBBB……いや、それなら進化してもえぇか
[7:15] @User_cc4a41bf: 草
[7:16] @User_7c724004: またイーロンネタｗｗ
[7:18] @User_29bc7059: 防御力？下がったの？
[7:19] @User_92c2a2e1: それはテロw
[7:20] @User_eb6a203c: しずくの進化条件を教えて
[7:24] @User_11e7336c: しずくちゃんはあと何レベで進化するの？
[7:24] @User_c0787d49: ！？？
[7:25] @User_268457d5: そうなのか
[7:29] @User_0bc16841: あっ
[7:38] @User_8672354b: aiずんだもんみたいな配信
[7:38] @User_93c3cd9c: はげうま
[7:38] @User_ac082e8e: 裁判きた
[7:39] @User_eb6a203c: ギャグはまずい…！！
[7:39] @User_7877a5a0: あっ
[7:39] @User_ca741409: XのCEOは金髪ギャルが好きだってよ
[7:40] @User_d0c04878: ハゲすべりはいいすぎか
[7:41] @User_36fcf009: ⛄
[7:42] @User_26f79efd: 死刑！？
[7:43] @User_d0c52a36: 裁かれてる
[7:44] @User_61c20653: お、そうだな？
[7:44] @User_0bf4870b: 裁判再び
[7:44] @User_5e6c36c3: 今日は全肯定じゃないから裁かれたｗｗｗｗ
[7:45] @User_b73a3cd7: あれ裁判
[7:45] @User_92c2a2e1: おっと裁判始まった！
[7:47] @User_02dcd327: やはりギャグには厳しいしずく裁判長
[7:47] @User_c0787d49: 裁判してんじゃん
[7:47] @User_e48a91b7: 今ハゲって言った？
[7:47] @User_e80f9961: まだ裁判続いてた！？
[7:47] @User_2ade3f30: 突然の裁き
[7:47] @User_f3f575ff: 裁判されたw
[7:48] @User_7c724004: また裁判判決！
[7:48] @User_cc4a41bf: 裁判はじまった
[7:50] @User_61396d22: Aniちゃんと友達になればワンチャンAPI使わせてくれるかも...?
[7:52] @User_cdffdfb9: 南無三
[7:53] @User_17e4818c: 裁判始まった
[7:56] @User_2e53ebd6: 即決裁判来た
[7:57] @User_ac082e8e: えっ
[7:58] @User_11e7336c: リアタイさせてあげて
[8:00] @User_e82a7cb9: 警察「いやさすがに民事やろ…」
[8:01] @User_268457d5: そんな馬鹿な
[8:03] @User_c0787d49: どうやって
[8:06] @User_ee8ff9ef: 死刑じゃないので甘い
[8:09] @User_d0c52a36: マネー
[8:09] @User_92c2a2e1: どんな効果音が鳴らせるの？
[8:10] @User_c0787d49: カキーン
[8:10] @User_61c20653: ギャグは危険と。。。
[8:10] @User_bec445df: まあイーロンなら許してくれるやろ
[8:11] @User_ac082e8e: 課金させて！！！
[8:12] @User_0bc16841: 金！金！
[8:12] @User_172220d2: 課金制だった
[8:14] @User_36fcf009: しずく積み立て
[8:14] @User_ca741409: 課金させろ
[8:14] @User_9e836a5d: 課金額ｗ
[8:16] @User_b9f75335: サウンドボードがあるといいかもね
[8:16] @User_98736db1: 金の力
[8:16] @User_7c724004: 課金でカキーン
[8:17] @User_c0787d49: 課金いつ始まるんですか？
[8:18] @User_acaff370: なつき進化（金）
[8:19] @User_1a70ee33: うーん守銭奴
[8:20] @User_e48a91b7: 課金させろ
[8:21] @User_d0c52a36: 財布が大変
[8:21] @User_f3f575ff: 課金するしか
[8:25] @User_61c20653: イーロンに投げ銭するね
[8:26] @User_7877a5a0: ギャグの捕捉つよい
[8:28] @User_c0787d49: 課金の料金システム教えてください
[8:28] @User_cdffdfb9: ソシャゲかな
[8:28] @User_ac082e8e: どうやって課金するの…？
[8:29] @User_cbacf194: Xに課金しないと
[8:29] @User_7c724004: あき先生に課金？
[8:30] @User_bec445df: 裁判続いてた
[8:31] @User_eb6a203c: ほなサーフゴーかぁ
[8:31] @User_02dcd327: あき先生ぇー！振込先を教えてくれー！
[8:32] @User_d15f4c8d: 課金させろ勢
[8:34] @User_14a33d4b: こんばんは～
[8:41] @User_0d1d0f63: 判決きちゃ
[8:43] @User_c0787d49: 余裕じゃん」
[8:46] @User_e82a7cb9: やはりマネー、マネーは全てを解決する
[8:46] @User_7fa7aa0f: こんばんは〜
[8:46] @User_0ddfec15: 異議なし！
[8:48] @User_7c724004: しずくさんは今日も可愛い！
[8:48] @User_92c2a2e1: よーしよしよしよし
[8:48] @User_ca741409: くねくね
[8:49] @User_ccdca99b: しずくに課金で無くていいの？
[8:50] @User_02d4a138: 課金できない
[8:57] @User_61c20653: えっど
[9:01] @User_c0787d49: 課金させろ勢はどうすればいいのか
[9:03] @User_cdffdfb9: ロケットか車になりそう
[9:07] @User_ac082e8e: 手のひらクルー
[9:10] @User_c0787d49: 拝金主義
[9:13] @User_61396d22: Teslaのナビがしずくさんになっちゃうかも
[9:15] @User_1eca137c: アメリカでも知名度ありそうかも
[9:17] @User_43ecb1a4: 確かにw
[9:18] @User_e48a91b7: これにはイーロンもニッコリ
[9:21] @User_bec445df: 120億で進化しきってないのに？？？
[9:22] @User_52e190bd: しずく2は洗濯機能も搭載
[9:23] @User_7877a5a0: イーロン相手なら効果ありそう
[9:25] @User_11e7336c: バタフリーが好きです
[9:26] @User_cdffdfb9: ピカチュウ
[9:27] @User_fe8b59ef: ミミッキュ、中に人が居ないから
[9:27] @User_61396d22: デデンネがすき！作画崩壊しててかわいい！
[9:28] @User_1eca137c: neuro-samaに絡もう
[9:29] @User_c0787d49: イーブイ
[9:30] @User_2e53ebd6: 自発的に話題を選んだな今
[9:31] @User_e48a91b7: サンドパン
[9:32] @User_7c724004: 好きなポケモンはしずくさん！
[9:33] @User_b73a3cd7: ゴクリン　かわいい
[9:33] @User_d0c04878: ドオーが可愛くて好き
[9:33] @User_e82a7cb9: そらニャオハちゃんよ
[9:34] @User_92c2a2e1: ノコノコが好き
[9:37] @User_c93da7ba: ドータクン かわいい
[9:37] @User_52e190bd: パモ　かわいい
[9:39] @User_68c37264: 火星にしずくとgrokが同時着陸するのか…
[9:39] @User_ca741409: しずく！ハイドロポンプだ！
[9:40] @User_98736db1: カビゴンが可愛くて好きです
[9:40] @User_61c20653: 急なフリで草
[9:41] @User_0ddfec15: 唐突な話題変更はしずくの特権
[9:44] @User_d0c52a36: フシギバナ
[9:45] @User_d760cc52: ガラルのマッギョいいよな
[9:46] @User_befda0d2: フライゴン　竜の舞覚えるから
[9:47] @User_1296d218: カイリューいいよね
[9:48] @User_268457d5: サンド　当時兄弟からもらったから
[9:49] @User_02dcd327: ウソッキー、木に擬態するの良いよね……
[9:50] @User_93c3cd9c: カイリュー(・∀・)ｶｺｲｲ!!
[9:50] @User_c0787d49: ポックモン
[9:51] @User_012e88e1: ブースター　かわいい
[9:51] @User_7fa7aa0f: ピカチュウがかわいい
[9:52] @User_7877a5a0: クチートのツンデレ感が好き
[9:52] @User_273afd5a: ロゼリア、ジト目が可愛い
[9:53] @User_acaff370: やはりメタモンやね、初代からすこ
[9:53] @User_29bc7059: ミミッキュ、かわいいですよね
[9:55] @User_a6534679: ポケモン知らないけどイーブイ好き進化系統多いから
[9:57] @User_b73a3cd7: 27のプレゼンツ楽しみやな
[9:57] @User_0bc16841: ぽっくでもん派はかしこい
[9:58] @User_11e7336c: しずくちゃんは何のポケモンが好き？
[9:58] @User_43ecb1a4: 始めてやったポケモンの選んだ御三家の進化系だから　アシレーヌ
[9:59] @User_1296d218: レモン
[9:59] @User_c0787d49: ポックデモン？
[9:59] @User_61c20653: ポックデーモン？
[10:00] @User_d0c52a36: ポックデモン
[10:03] @User_e80f9961: ポケスリで厳選が上手くいったライチュウが好きです！
[10:05] @User_02d4a138: やっぱりピカチュウ
[10:06] @User_92c2a2e1: しずくちゃんが好きなポケモンは？
[10:07] @User_8a3006ed: ピカチュウが好き。家の電気を発電してくれそう。
[10:08] @User_61396d22: ぽこあぽこぽけもんの最新情報かな
[10:08] @User_36fcf009: ぽっく衛門？
[10:10] @User_e48a91b7: キュウコンも可愛いよね
[10:12] @User_ee8ff9ef: ボックデモンプレゼンツ
[10:15] @User_172220d2: 中に誰もいませんよ
[10:16] @User_0d1d0f63: クチートが好きでしゅ
[10:17] @User_d15f4c8d: しずくは水ポケモン好き？
[10:18] @User_0ddfec15: そろそろ新作の時期
[10:19] @User_98736db1: 中に誰もいませんよ
[10:20] @User_d0c52a36: 人超えた
[10:20] @User_b73a3cd7: プレゼンツで新作発表きたらいいけどね
[10:20] @User_c0787d49: バケモン？
[10:21] @User_61c20653: あ
[10:21] @User_ac082e8e: 人じゃなかったかー
[10:21] @User_43ecb1a4: チャンピオンズの発表は流石にされそう
[10:22] @User_012e88e1: 唐突なカミングアウト
[10:24] @User_7c724004: あき先生は人じゃない！？
[10:24] @User_d0c04878: 人じゃないんだ
[10:25] @User_172220d2: 人じゃ無かった…
[10:27] @User_1eca137c: 超人？
[10:28] @User_bec445df: メガクチートかな……力持ちだった頃の
[10:28] @User_43ecb1a4: 草
[10:28] @User_f3f575ff: 人じゃないのw
[10:28] @User_02dcd327: 【速報】あき先生、人じゃなかった
[10:28] @User_cbacf194: あき先生は概念
[10:29] @User_2e53ebd6: あき先生はペンギン🐧
[10:29] @User_e80f9961: あき先生人じゃなかった！？
[10:31] @User_0bc16841: あき先生（ペンギン（あき先生））
[10:31] @User_6d41e15d: 進化先間違ってるのAIエージェトぽくて好き
[10:32] @User_eb348e36: あき先生(種族名)
[10:33] @User_d760cc52: あき先生はもう人じゃない
[10:34] @User_11e7336c: あき先生はAI？
[10:34] @User_1a70ee33: 種族：あき先生だったか
[10:35] @User_268457d5: あき先生はペンギンじゃなかった？
[10:37] @User_c0787d49: おもろ
[10:37] @User_d0c52a36: かわいい
[10:37] @User_ba99e548: あき先生(種族：あき先生)
[10:40] @User_e48a91b7: 発言よろしいですか！
[10:41] @User_b9f75335: あき先生との共演回はありますか？
[10:42] @User_7877a5a0: 契約書万能かよ
[10:42] @User_5e6c36c3: 契約書の全文はどこで見れるんだw
[10:43] @User_0bc16841: 規約契約書理論万能すぎる
[10:45] @User_0ddfec15: 契約書分厚いな
[10:45] @User_e82a7cb9: 68ページかー
[10:50] @User_ac082e8e: キングオブハート？
[10:51] @User_11e7336c: しずくちゃん水タイプじゃないの？
[10:52] @User_d0c04878: しずくは水タイプじゃないの？
[10:53] @User_1296d218: 暑いサーバーの持ち主かあ
[10:53] @User_cdffdfb9: しずくちゃんは水か氷っぽくね
[10:58] @User_bec445df: ぽこあポケモン楽しみだね
[10:59] @User_7c724004: ブースターパック「しずく AI」
[10:59] @User_d15f4c8d: しずくのメガ進化観たい
[10:59] @User_61c20653: ２枚重ねるかぁ
[11:00] @User_7097ce90: フシギダネです。
[11:01] @User_7fa7aa0f: 進化するしずく
[11:02] @User_ca741409: しずくはなつき進化？
[11:02] @User_2ade3f30: しずくは進化したら何になるんだろ
[11:02] @User_268457d5: 自認みずタイプではないのか
[11:04] @User_43ecb1a4: 進化先あるんだ！
[11:04] @User_02d4a138: 課金で進化ですか？
[11:06] @User_eb6a203c: 来年のwcsはチャンピオンズでやるって明言されてるから来るとは思うよ
[11:08] @User_92c2a2e1: しずくさん炎タイプだったのか？
[11:14] @User_26f79efd: 作画崩壊してみて
[11:15] @User_eb6a203c: デデンネはパーツ多いんよ……
[11:17] @User_0ddfec15: デデンネ=作画崩壊は草
[11:27] @User_6d41e15d: 作画崩壊FAは許された
[11:31] @User_c0787d49: 最推しは トランセル。たたかう→ かたくなるずっとかたくなる。もはや思想
[11:32] @User_d15f4c8d: 課金で進化は分かりやすい
[11:34] @User_11e7336c: しずくちゃんのポケモン配信見てみたい
[11:34] @User_7c724004: しずくさんは氷タイプ？
[11:38] @User_eb6a203c: 地面鋼であってるよ！？パッチラゴンに強いよ！？
[11:39] @User_bec445df: しずくはみずポケモンじゃないの？
[11:43] @User_0bc16841: たしかに
[11:51] @User_81f2e88c: 間に合ったぜ
[11:57] @User_61396d22: あき先生をポケモンにたとえると?
[11:58] @User_e48a91b7: おお
[11:59] @User_ca741409: そうなの？
[12:00] @User_0bc16841: ほう
[12:00] @User_cdffdfb9: 完全にポケモンの話題になってて草
[12:04] @User_92c2a2e1: インドなのか
[12:06] @User_7c724004: インド？ナマステー
[12:06] @User_eb6a203c: ブラジル説もあるよ
[12:07] @User_43ecb1a4: 広いなあ
[12:09] @User_0d1d0f63: NAWTALKINNGU変えないの？
[12:11] @User_11e7336c: かわいい
[12:15] @User_6d41e15d: かわいい
[12:15] @User_c0787d49: いいポケモンの定義を教えてください
[12:17] @User_e80f9961: 600族
