# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[9:49] @User_78eb35f9: なりすましか
[9:49] @User_64cbd0d7: じゃあ中身あき先生じゃねーか！
[9:51] @User_3d9820ae: 中の人アキ先生やんw
[9:51] @User_11e7336c: あき先生が裏で入力してるのか
[9:54] @User_fe0878a1: つまりあき先生がこの時代にしずくさんを作り上げている世界線
[9:56] @User_8cc3813f: 時空の歪味……ゆがあじ……
[9:57] @User_4bfe683e: 手作りのしずくって考えるとなんかいい響きｗ
[9:59] @User_98815a23: トリビアもまだやってたよね
[10:01] @User_36770ee1: ルールベースチャットボットで草
[10:01] @User_ea3ba6fd: スマホって知ってる？
[10:12] @User_b73a3cd7: ダーウィンガ来たという番組は2006あたりから開始していましたぞ
[10:23] @User_4bfe683e: しずくが僕のエルメスになってくれませんか？
[10:26] @User_5e6c36c3: ちなみに2006年の7月はニコニコ漫画は未サービスイン
[10:30] @User_2e53ebd6: すいようびすいようび
[10:35] @User_f2710215: 3年後にビットコインを購入することを忘れないでください
[10:41] @User_36770ee1: nVidiaを期待できないならCore 2 Duoを出したIntelを期待していいんですか？
[10:44] @User_98815a23: DSはみんな持ってた
[10:47] @User_7c724004: 海外だとブラックベリーって携帯端末流行ってるらしいけど知ってる？
[10:50] @User_fab1b39a: TwitterみたいなSNSのなかったころってなにやって過ごしてたか思い出せないや
[10:57] @User_52e190bd: ぷにぷにの星で遊んでた俺
[11:00] @User_ba88e9cc: まだブラウン管だからwii買った
[11:05] @User_af0e3cda: プリキュアってスプラッシュスターが最新だよね
[11:05] @User_ab2ca8bb: ジョン・タイターって2000年頃じゃなかったっけ？
[11:06] @User_9e836a5d: ブラウン管まだ残ってる
[11:06] @User_78eb35f9: テレビ　地デジになるってよ
[11:07] @User_36770ee1: 液晶ですね
[11:09] @User_64cbd0d7: me at the zooとかいう動画を出してるサイトが多分これから先人気になりますよ
[11:10] @User_f25e6884: 実際の商品だよ記念パピコ（
[11:11] @User_2bf38fc3: 十年後にはアメリカがイランに攻め込むらしい
