# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[34:32] @User_87c0df39: 太陽に目はいくつありますか？
[34:34] @User_0346b885: あきさんはアメリカの大統領ですか？
[34:35] @User_22907354: コウメ太夫の真似事をしてよ
[34:40] @User_c813b243: ええ？
[34:40] @User_7da7d898: しずくちゃんはいま何年の世界線にいるんだ？
[34:44] @User_36770ee1: 違うよ、2022年のアメリカ大統領はあきさんだよ
[34:55] @User_f26a88a7: 今は西暦何年だと認識してる？
[34:57] @User_473f9d3b: 気持ち良すぎだろ！！
[34:59] @User_0346b885: 草
[35:10] @User_36770ee1: 草
[35:10] @User_9c0c22ca: きのこの山とたけのこの里、どっちが好き？
[35:16] @User_c813b243: わろち
[35:19] @User_e0896d6d: (TT)
[35:20] @User_22907354: 笑うわこんなん
[35:27] @User_3bb3b9f4: (
[35:27] @User_36770ee1: うまいうまい
[35:35] @User_c3aabf09: コウメ太夫の物真似が上手だね
[35:38] @User_36a3dbf3: カッコの中は読まないようにしたいですね
[35:40] @User_99dff901: 今日はじめて発言した言葉はなんですか
[35:42] @User_8e6752c7: これは
[35:49] @User_46f9cb2b: 動きがかわいいですね
[35:51] @User_22907354: 草
[36:01] @User_36770ee1: 謎設定やめなさい！
[36:09] @User_3bb3b9f4: いいよ！
[36:11] @User_a4eea53f: しずく、一緒に子作りしよ
[36:12] @User_36770ee1: いいですよ
[36:14] @User_c813b243: これはポンコツの香り
[36:16] @User_22907354: いいよ
[36:24] @User_87c0df39: コウメ大夫好きじゃないんですよね？
[36:30] @User_5c81e1a6: 初見さんについてどう思いますか？
[36:35] @User_c3aabf09: 草
[36:36] @User_36770ee1: 同じネタやるなｗｗｗｗ
[36:44] @User_22907354: コウメ太夫の真似が上手いなぁ
[36:52] @User_6ae4589c: おすすめのアニメなんですが？、そして推薦の理由もください。
[36:52] @User_99dff901: コウメ太夫の他のものまねしてください
[36:55] @User_da36f2e8: もうコウメ太夫VTuberなんだよね
[37:02] @User_36770ee1: 違うのをしてください
[37:03] @User_3bb3b9f4: いや、これOKしたらまた同じことやるやつでしょｗ
[37:17] @User_22907354: やってください
[37:19] @User_c3aabf09: もう今日から立派なコウメ太夫Vtuberだね
