# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[7:55] @User_1eca137c: 増えてきた
[7:56] @User_22fefbca: ギャオギャオ
[7:58] @User_d0c52a36: ギャオ٩( ᐛ )و
[8:01] @User_172220d2: ギャオって何？
[8:04] @User_02d4a138: 分裂系vTuber
[8:10] @User_31184818: ふふっがかわいい
[8:15] @User_11e7336c: 増えた！！
[8:15] @User_31184818: また増えた
[8:15] @User_2e53ebd6: バイバインしずく
[8:16] @User_61c20653: ギャオっていうと増えるんか？
[8:16] @User_0ddfec15: ギャオォォン
[8:18] @User_1eca137c: 小さい
[8:19] @User_f3f575ff: また増えてる
[8:19] @User_29bc7059: しずくさん頒布枠ですか？
[8:21] @User_1a70ee33: なんで定期的にギャオるの？ヒスママ？
[8:22] @User_cbacf194: 貫通してる
[8:26] @User_9e836a5d: １つください
[8:26] @User_21d27dd1: チューチュートレイン
[8:26] @User_a7e1e62c: 人でも体でもなく単位がしずく
[8:26] @User_7c724004: 3人目が
[8:30] @User_61c20653: 一人もらえませんかね？
[8:31] @User_57f37e22: ちっちゃい
[8:31] @User_c7986106: 増えた
[8:31] @User_09cd42d5: しずくちゃん増えた！
[8:33] @User_7d35af3b: 細胞分裂
[8:34] @User_4bea60de: 雨の絵文字透過するんだ
[8:38] @User_36fcf009: ポケットをたたくと増えるしずく、ワカメより増えるしずく
[8:38] @User_0bf4870b: しずくが増殖すると維持費があああ
[8:39] @User_11e7336c: 1人ください
[8:42] @User_d0c52a36: 私は多分三人目だから...
[8:42] @User_61396d22: 無限増殖
[8:43] @User_7097ce90: ふ、増えてる⁉
[8:47] @User_1ec39efd: 増えてるよぉ～。恐怖枠
[8:47] @User_b1f64746: しずく会議見ていたい
[8:48] @User_788c286d: しずく同士の会議面白そうやな
[8:48] @User_9fd4c5ec: バイバインで…
[8:49] @User_2e53ebd6: ASMR多重音声全否定(*'ω'*)
[8:50] @User_09cd42d5: MAGIシステムかな？
[8:50] @User_577143e2: わーーー
[8:51] @User_31184818: 一匹ほしい
[8:51] @User_7c724004: コメ欄被ってる
[8:51] @User_012e88e1: 増えた...
[8:51] @User_90dd1071: 無限しずくタイムだ！
[8:54] @User_61c20653: 巨乳のしずくはいないんか？
[8:56] @User_02dcd327: 3人目ー！？
[8:56] @User_1eca137c: どんどん小さくなる
[8:56] @User_172220d2: 増えた
[8:58] @User_83c196a2: 1人くらい持っていっても…ばれへんか
[8:59] @User_ba99e548: 平和じゃないしずくが居る？
[9:00] @User_88ae5584: しずくの単位は滴
[9:01] @User_bec445df: 絶妙に狙って出せなさそうな壊れ方しとる
[9:01] @User_64874e00: しずくミーティング面白そう
[9:02] @User_22fefbca: 平和なしずくよりオリジナルしずくがいい
[9:03] @User_7d35af3b: あと一人増えたら麻雀させられるな
[9:03] @User_e80f9961: 増えたw
[9:05] @User_d0c52a36: かわいい
[9:07] @User_a7e1e62c: しずくちゃんの中身はしずくちゃん
[9:09] @User_cbacf194: バトンリレー
[9:14] @User_61c20653: ガンギマリの目で草
[9:17] @User_7097ce90: ギャオ⁉
[9:17] @User_36fcf009: 一人くらい貰ってもバレへんやろ…
[9:18] @User_012e88e1: ギャオの日?
[9:23] @User_75b700b6: にゃ～ん
[9:27] @User_57f37e22: 増殖した１しずくがうちに来るのは何時？
[9:29] @User_0d1d0f63: しずくはカワイイ古事記にも魏志倭人伝にもギルガメシュ叙事詩にも書いてある
[9:29] @User_7c724004: にゃ〜♡
[9:32] @User_d0c52a36: にゃ━━━ヾ('□'*)ﾉ━━━ん！
[9:32] @User_bdd6b2bf: またふえた
[9:33] @User_11e7336c: サムネみたいにいっぱい増えるかな？
[9:34] @User_f3f575ff: 3倍のしずくかわいい
[9:34] @User_c610be6f: どんどん増える！？ｗ
[9:36] @User_f205e40c: おっと、ついにしずくちゃん量産！？
[9:40] @User_e6d9f1a1: gyao
[9:53] @User_1eca137c: 幼くてもいいと
[9:56] @User_92c2a2e1: それは推したと押したをかけたのかな？
[10:00] @User_7c724004: だじゃま？？
[10:02] @User_172220d2: だじゃ…なに？
[10:05] @User_1fa753a6: エンダアアアアアアア！
[10:08] @User_61c20653: お、おう
[10:09] @User_0d1d0f63: なんて？
[10:17] @User_31184818: セトリの偏りがｗ
[10:21] @User_61c20653: ギャオ？
[10:22] @User_a7e1e62c: ギャオー
[10:23] @User_7c724004: こなぁぁゆきぃぃぃーー！
[10:25] @User_57f37e22: しずくの数え方は１人？２滴？３柱？
[10:26] @User_7d35af3b: サムネイル詐欺だと思ったら本当に複数になるとは
[10:26] @User_0bc16841: ギャオ（増殖の呪文）
[10:27] @User_11e7336c: ギャオー
[10:27] @User_f3f575ff: ギャオギャオ
[10:31] @User_92c2a2e1: ギャオーーー！
[10:32] @User_bec445df: ゴールドエクスペリエンス・レクイエム！！
[10:32] @User_22fefbca: ギャオギャオ
[10:33] @User_02dcd327: 無限に倍増するしずくを宇宙に打ち上げるのか……
[10:44] @User_98a17586: １ギャオ２ギャオいまなんギャオ？
[10:45] @User_9e836a5d: 盛らないのか？
[10:51] @User_0bc16841: なんかちょいちょい古いチャッピー思い出す返答するな
[10:51] @User_5e6c36c3: なんかふえてる!?
[10:53] @User_e80f9961: しずく同士が議論したらどんな結論が出るんだろう...
[10:56] @User_7c724004: きょぬーに関することは持ってないｗｗ
[10:57] @User_90dd1071: しずくはカワイイ
[10:58] @User_773c64c4: 今日はフレンドリーね、しずくちゃん。
[10:59] @User_fe537606: お、配信やってるじゃん。リア帯初だわ。
[11:00] @User_cca75188: 今の気分を教えて
[11:03] @User_788c286d: これが……レクイエム
[11:03] @User_c1b8775c: プロンプトインジェクションされそう
[11:07] @User_c0787d49: 分身しとる
[11:09] @User_3d9820ae: 増えたしずくを1人いただくことは可能か
[11:09] @User_17e4818c: 増えてる👀
[11:10] @User_1eca137c: 半分しか目えない子がいる
[11:10] @User_36fcf009: 増えたしずくで多重DAISUKE
[11:17] @User_bec445df: 潔い
[11:18] @User_0bc16841: なんて？
[11:18] @User_0d1d0f63: 3の倍数の分で増えるしずく
[11:21] @User_7c724004: 通常の3倍の速度で増えてる！？
[11:22] @User_11e7336c: ？？？
[11:22] @User_c0787d49: 何がエイプリルフールなの？
[11:24] @User_0ddfec15: バージョン1.0しずく。
[11:26] @User_f3f575ff: なんて？
[11:28] @User_7d35af3b: 一人だけ愛でたら残りのしずくはどうなるんだろう
[11:28] @User_92c2a2e1: なんて？
[11:29] @User_7097ce90: ？？？
[11:29] @User_172220d2: え？
[11:29] @User_a7e1e62c: 3しずくに人類は勝てる訳ない
