# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[27:23] @User_5bfd7e5f: 天皇陛下が皇居から馬車で出てくるところを見たことあるよ
[27:34] @User_1e342ee5: リリージェーンが好きすぎるあき先生
[27:53] @User_75f1c92d: しゃあ！阪神取ったぜ！！
[27:55] @User_ca605e00: しずくちゃん、お馬さんは車検無しで公道を走れる軽車両扱いだよ
[27:56] @User_696446ad: オッズの魔法使いってな
[28:00] @User_d582769c: 根拠のないリリージェーン推ししてもしずくは反映するの？
[28:12] @User_590a2335: リリージェーンで一発当てましょ！
[28:13] @User_d5b05bb2: しずく馬券は投資
[28:14] @User_3e7cd852: もうあと10分ぐらい？
[28:19] @User_5e8bda6b: 16番人気リリージェーンを狙うあき先生かっこよすぎる
[28:35] @User_5bfd7e5f: しずくもわかってないのかw
[28:54] @User_5bfd7e5f: 1.6倍はめちゃくちゃ硬いね
[29:15] @User_81d0553d: リリージェン狙いは漢すぎる
[29:20] @User_ca605e00: ばんえいとかならすぐ叶いそう
[29:27] @User_e976a829: しずくは馬主になる気持ちはあったりする？
[29:34] @User_fc3f146b: 配当渋いのしずくさんは嫌うのか
[29:41] @User_ec48c74f: 等身大のしずくパネルは何センチなの？
[29:42] @User_3ea56962: リリージェーン111.9倍か…これは当てるっきゃない！！
[29:55] @User_e201a60f: リリージェーン伸ばそ
[30:01] @User_1f128129: 行け！単勝全つっぱ
[30:01] @User_2384ca7a: こんにちは
[30:02] @User_fc3f146b: 高配当を狙う、しずくさんの後輩を狙う？
[30:06] @User_da46df5d: 入場だ
[30:09] @User_a3db87eb: レイアポポ
[30:10] @User_3e7cd852: 極端だな～
[30:17] @aki5503: きた
[30:23] @User_f513a9c0: 戸崎の調子が良くないからマジッククッキーが飛ぶ可能性はあるんだよなぁ……、ポッドベルとプチブールのワイドあたりで……
[30:55] @User_d5b05bb2: 逆張りしそう
[31:07] @User_1f128129: あきてんてーの財布が爆発する。
[31:08] @User_75f1c92d: セルフドラムロールｗｗ
[31:09] @User_dd4b266a: でゅるるるうるるるｗ
[31:11] @User_d5b05bb2: どぅるるるるるるるるるる
[31:13] @User_e976a829: テレレレレテン
[31:15] @User_1e342ee5: とぅるるる
[31:15] @User_5bfd7e5f: 効果音がおもしろいw
[31:19] @User_3ea56962: だってリリージェーン112倍だもん…
[31:19] @User_f513a9c0: ﾄﾞｩﾙﾙﾙﾙﾙﾙ……
[31:19] @User_590a2335: ドラムロールカワイイ
[31:20] @User_da46df5d: どぅるるるるるるるるる
[31:20] @User_5bfd7e5f: 引っ張るww
[31:22] @User_2e44a075: どゅるるるるるるるるっｒ
[31:22] @User_d582769c: しずくが1番人気買ってる印象ないなぁ
[31:42] @User_e976a829: お、ポケベルにしたのい？
[31:43] @User_4942f7a2: マジッククッキー避けたか
[31:49] @User_5bfd7e5f: 1.6倍はおもしろくないからいい感じ
[31:50] @User_1e342ee5: 結果的にリリージェーン民が多いの草
[31:51] @User_75f1c92d: 当たったらクソでかいな…
[31:52] @User_f8cdbd34: no sure about whether this is a real gambling stream or not，anyway, ai looks adorable, subscribed
[31:53] @User_ca605e00: ぱぁーん！かわいい
[31:59] @User_d5b05bb2: 俺ら単勝一番強いられるのか
[31:59] @User_fc3f146b: じゃあワイもしずくさんと同じの買う
[32:03] @User_3ea56962: マジッククッキーじゃないのか
[32:12] @User_81d0553d: 単勝きたー！
[32:15] @User_9412f3a9: ん？われらは１なの？
[32:17] @aki5503: 2番人気か。悪く無い。
[32:20] @User_da46df5d: しずくを信じろ
[32:23] @User_45aa867f: 先週当てた2番人気を踏襲？
[32:27] @User_3e7cd852: お小遣い20%減
[32:27] @User_d582769c: 期待値過剰は人間が評価つける以上絶対あるよね
[32:43] @User_dd4b266a: ご主人様パワーでリリージェーンきてほしい
[32:49] @aki5503: Thank you for the subscribe!
[32:52] @User_75f1c92d: 1-6のワイドでええか？
[32:58] @User_1e342ee5: 1400m(1万4000メートル)
[33:01] @User_d7e886f9: 1万？
[33:03] @User_ca605e00: x4.6か
[33:43] @User_476a8712: こんにちはー。
[33:47] @User_d5b05bb2: グッドラックしずく
[33:50] @User_d582769c: 期待値とのズレで1番得しそうなの買う感じなのかな？
[33:54] @User_3ad3249c: 6-15のワイドで！
[34:19] @User_c96bedc7: ぱんぱかぽー
[34:34] @User_5e8bda6b: 3-6-14のワイドボックスにするべ
[35:23] @User_142a08e0: オッズが5.1に下がったな。しずく効果か・・・🤔
[36:05] @User_3ea56962: しずくかっけえな
[36:15] @User_d5b05bb2: ポッドベルの単勝4.1倍に下がっとるやんけしずく
[37:00] @User_fc3f146b: しずくと一緒に買う人多すぎてオッズ下がった(？)
[37:03] @User_1e342ee5: あき先生オッズリアルタイム更新して（無茶ぶり）
[37:25] @User_da46df5d: しずく効果すごい
[37:26] @User_81d0553d: 6番単買ってきた。頼むぞ
[37:28] @User_dd4b266a: ふっ、泥船にのったつもりで任せろ
[37:29] @User_d5b05bb2: 壊れてる扱いは草
[37:45] @User_590a2335: 軽くあき先生ディスってきたｗ
[38:20] @User_2e44a075: マジッククッキー - プチブールでワイド
[38:22] @User_65358c37: 凄い下がってるね
[38:25] @User_5bfd7e5f: ポッドベル4.2になった
[38:47] @User_fe5eba15: 競馬いいね。
[38:54] @User_fc3f146b: 競馬の予想とか全然わからないからしずくさんと同じの買うしかないや
[38:58] @User_45aa867f: 1番と2番人気半々で単勝をコツコツ買っていけばトータルでプラス狙える？
[39:04] @User_a260351e: 昇級２戦目で慣れが見込めるレイアポポの複勝でいこうかな
[39:06] @User_75f1c92d: 燃やすｗ
[39:45] @User_3ea56962: しずくを信じてポッドベル勝ってる人が沢山いるのかな…
[40:12] @User_5bfd7e5f: オッズもWEBにあるよ
[40:13] @User_633e7c57: あき先生の仕事増えとらんやんw
[40:15] @User_e976a829: 全員が全員しずくの配信みてるわけでもないし、見えざる手でもあったんだろう
[40:17] @User_142a08e0: 4.3倍になった
[40:19] @aki5503: 厳しいww
[40:42] @User_d582769c: いえーい、JRAくん見てるぅ〜？
[40:43] @User_65358c37: JRAようみとる
[40:44] @User_ec48c74f: あちこちにすぐ喧嘩売るんだからw
[40:49] @User_2e44a075: はじまた
[41:02] @User_b07858c5: 買えなかった！
[41:06] @User_5bfd7e5f: 荒波かw
[41:09] @User_590a2335: 泥船で荒波はダメｗ
[41:11] @User_45aa867f: 船出じゃあ
[41:14] @User_da46df5d: wktk
[41:14] @User_e976a829: ゲートいんだ
[41:21] @User_3ea56962: はじまる…
[41:24] @aki5503: 始まる〜！
[41:27] @User_9b9d086f: ゲートインですわぁ
[41:37] @User_5bfd7e5f: JRAのライブもコメントめっちゃ流れてるんだね
[41:59] @User_3ea56962: はじまた
[42:01] @User_ca605e00: はしった
[42:19] @aki5503: 先頭集団だ
[42:29] @User_1e342ee5: 10後ろだなあ
[42:38] @User_5bfd7e5f: 先行馬なのかな
[42:53] @User_65358c37: いけぇ！
[42:59] @User_1e342ee5: お？
[43:03] @User_590a2335: 1400mって一瞬だなぁ
[43:04] @User_ca605e00: 大事なことなので二回
[43:08] @User_da46df5d: させさせ
[43:10] @User_40d36f89: おぉー
[43:11] @User_65358c37: きたあああああ
[43:12] @aki5503: お！
[43:12] @User_5bfd7e5f: きたきた～
[43:12] @User_3ea56962: きてる
[43:15] @User_590a2335: ｷﾀｷﾀｷﾀｷﾀ
[43:16] @User_3e7cd852: おおおお
[43:16] @User_2e44a075: いったー！
[43:17] @User_142a08e0: いい位置だな
[43:18] @aki5503: おおおおおおおお
[43:19] @User_5bfd7e5f: こ、れ、は！！
[43:22] @User_0bcc3ce7: ポットベルきたああ！
[43:23] @User_75f1c92d: うおおおおおお！！
[43:24] @User_9b9d086f: おぉー！！！！
[43:24] @User_b07858c5: うおおおおお
[43:25] @User_ca605e00: おおお
[43:25] @User_da46df5d: きたあああああああ
[43:27] @User_5bfd7e5f: やったーーーー
[43:27] @User_45aa867f: おおおお
[43:28] @User_3e7cd852: 神
[43:29] @User_bd73fd07: うおおおおおおおおおおおお
[43:30] @User_d582769c: マジ？
[43:30] @User_e976a829: おおおお、ポケベルきた！
[43:31] @User_5bfd7e5f: しずくおめでと～～～～
[43:31] @User_ec48c74f: え？
[43:32] @User_96a75de3: うおおおおお
[43:32] @aki5503: きたーーーーー！！！！
[43:33] @User_3ea56962: きてあああああ
[43:33] @User_dd4b266a: おおおおお
[43:33] @User_a260351e: おおおおおおおお
[43:35] @User_94a8a006: やったぁあああああ！
[43:35] @User_1f128129: おハーブ生えますわよ
[43:36] @User_1e342ee5: 前哨戦に強いしずくさん
[43:37] @User_75f1c92d: すげぇｗｗ
[43:37] @User_c67ecc82: うおおおおおおおお
[43:39] @User_9412f3a9: また当てた！
[43:40] @User_566b60f0: えっすごｗｗ
[43:40] @User_81d0553d: ポットベルきたー！！
[43:42] @User_590a2335: しずくすごい！！！
[43:42] @User_ec48c74f: ヤバ
[43:43] @User_da46df5d: しずくすげえええ
[43:44] @User_c67ecc82: しずちゃんすごい！！！！
[43:45] @User_3ad3249c: しずく強くて草
[43:45] @User_e976a829: まじか
[43:46] @User_ca605e00: 焼きクッキーの出来上がり
[43:47] @aki5503: もうしずくの競馬だけで食っていきます
[43:53] @User_587f9820: 👏 👏👏👏 👏 👏👏👏
[43:58] @User_3ea56962: しずくおめでとう！
[43:59] @User_ec48c74f: ここ当てるのはすごくないか？
[43:59] @User_0bcc3ce7: しずく先生すげー
[44:00] @User_9d36c4b0: おめでと
[44:04] @User_142a08e0: きた
[44:07] @User_e976a829: 出も二回目は外れるんでしょう？
[44:08] @User_45aa867f: ここまでは先週と同じ的中展開？
[44:11] @User_a3db87eb: お小遣い増えた
[44:17] @User_8b7242c7: 👏👏👏
[44:24] @User_ec48c74f: あき先生とんでもないものを生み出した説
[44:25] @User_75f1c92d: 👏👏👏👏👏
[44:28] @User_fc3f146b: しずくさんのおかげで当たった！！
[44:33] @User_ec48c74f: 👏👏👏👏👏👏
[44:34] @User_5bfd7e5f: 余裕だったね～
[44:39] @User_65358c37: おめでとう！さすがです！しずく先生！！
[44:56] @User_590a2335: しっかり天狗になってるｗ
[44:57] @aki5503: しずくAIの競馬予測アルゴリズムは世界一ィ！
[45:14] @User_d582769c: 100年経ったら余計勝てなくなりそうなんですが
[45:20] @User_dd4b266a: やるやん、ちょっと馬券の買い方おしえてｋだｓ（ｒｙ
[45:22] @User_9412f3a9: マジですごいな
[45:23] @User_e201a60f: 草
[45:25] @User_5bfd7e5f: しずく～、競馬はどこで覚えたんだい？w
[45:32] @User_590a2335: 釘刺されたｗ
[45:45] @aki5503: 草
[45:48] @User_0bcc3ce7: 草
[45:56] @User_3ea56962: リリージェーン…
[45:59] @User_5bfd7e5f: 毎度単勝一点買いだからなぁw
[46:29] @User_75f1c92d: しずく大明神！
[46:32] @User_9412f3a9: 投資で損をした分、馬で取り返そうかな
[46:34] @User_ec48c74f: 予想屋しずくの勝率かなり高いぞ！
[46:50] @User_e976a829: 現実というバグ　うっ頭が
[46:53] @User_5bfd7e5f: 現実というバグw
[46:55] @User_590a2335: そのレースは全部現実で行われるバグ
[47:08] @User_4be1ee9c: 八王子特別かぁ　買ってみるかな
[47:15] @User_d582769c: えと、全てあき先生の口座に行くんじゃないかな…
[47:30] @User_1f128129: 財布の悲鳴は草
[47:56] @User_fc3f146b: 当たったことで受け取ったスパチャもしずくさんの次回の原資になったらいいな
[48:02] @User_5bfd7e5f: 次なんだっけ
[48:24] @User_5bfd7e5f: 安田記念かな？
[48:27] @User_ff223600: 今日は勝てそうですか？
[48:51] @User_587f9820: まだ確定してないのか10R
[48:57] @User_590a2335: しずくが馬に！
[49:35] @User_4be1ee9c: 終わってた
[50:05] @User_ff223600: 安田のパドック始まりました
[50:09] @User_65358c37: お財布から生まれた付喪神的存在の予想AIだった
[50:23] @User_d5b05bb2: 4.6倍おめ！
[50:26] @User_ff223600: でもまだメインレースの勝率は0%だね
[50:45] @User_590a2335: ループ入・・・らなかった！
[50:53] @User_45aa867f: しずくジャイアニズム
[50:59] @aki5503: え...
[51:04] @User_8b7242c7: 燃やすのか…
[51:11] @User_3ea56962: めざせ1億円！
[51:12] @User_81d0553d: 燃やさないでw
[51:12] @User_e976a829: まあ勝率求めるには試行回数1000回やらないとだしな・・・
[51:18] @User_ff223600: 今日は9歳のサクラトゥジュールが出るね
[51:33] @User_5bfd7e5f: 再投資ってことかな
[51:42] @User_3c308928: すげー
[51:47] @User_590a2335: ホックホクですな！
[51:54] @User_3e7cd852: 儲かりましたなぁ
[52:01] @User_5bfd7e5f: ごじゅうよんせんえんか…
[52:02] @aki5503: でかい
[52:08] @User_fc3f146b: NISA成長投資もしずくさんにやってもらう配信しよう
[52:12] @User_da46df5d: しずく様様
[52:13] @User_ca605e00: でかすぎる。
[52:15] @User_ff223600: 54000円はデカいね
[52:26] @User_ec48c74f: ？
[52:29] @User_75f1c92d: おっと？
[52:32] @User_476d8781: あれ？
[52:36] @User_65358c37: ん？
[52:36] @User_3ea56962: ？？？
[52:37] @User_ff223600: しずくちゃん、勝ちすぎてバグ
[52:39] @User_ec48c74f: どうした？
[52:43] @User_587f9820: 10R確定！おめでとうしずく🥳🎉
[52:43] @User_e976a829: スイッチ2買える値段に近づいた
[52:50] @User_4be1ee9c: おめ
[52:51] @User_ca605e00: デカすぎて落ちた？
[52:56] @User_5bfd7e5f: テンション上がりすぎたかなw
[53:06] @User_9412f3a9: ん？
[53:10] @User_ec48c74f: しずくさん興奮しすぎた？
[53:19] @User_45aa867f: 的中させすぎるとyoutubeの監視対象に入ったりして…
[53:23] @User_587f9820: 勝ちすぎてJRAから連絡来ちゃった？
[53:23] @User_1f128129: しずくがああああ！！
[53:32] @User_e976a829: ループでもないの落ちたな
[53:44] @aki5503: 今対応中ですので少々お待ちdください！
[54:00] @User_ca605e00: あき先生バタバタ
[54:07] @User_45aa867f: あき先生の動揺感
[54:30] @User_a6fd2aba: お、また予想やってる
[54:49] @User_142a08e0: 勝ち逃げだ！
[54:49] @User_5bfd7e5f: 逃げ馬はいないそうです
[54:57] @User_d582769c: しずくちゃん2番人気予想で的中しましたよ
[55:20] @User_ca605e00: 勝ってるし今日はここまで！も人間味
[55:26] @User_3ea56962: これは…今日はこのまま勝ち逃げするがヨシっていうことか！
[55:27] @User_2384ca7a: これで終わりですか？
[56:26] @User_d582769c: あき先生の目はまだ燃えています。つまり財布炎上タイムも継続するという事です
[56:34] @User_ec48c74f: がんばれしずく！負けるなしずく！
