# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[-57:16] @User_d13b3d62: UCkszU2WH9gy1mb0dV-11UJg/medal-yellow-first-red
[21:47] @User_ec48c74f: 人間じゃないのか豊さん
[21:50] @User_d0753fd1: 人間じゃないのか
[21:54] @User_43d09b79: なるほど。わからん。
[22:00] @User_fc3f146b: 豊さんもAIだった？
[22:03] @User_b6c0be01: 人間じゃないの?
[22:09] @User_3ea56962: オッズ的にはワイドアラジン。オッズ的には…
[22:11] @User_d5b05bb2: ガリガリ君はドーピングにならん？
[22:24] @User_590a2335: ガリガリ君が袖の下？
[22:37] @User_ec48c74f: ガリガリ君食ってうま〜い（馬だけに）
[22:39] @User_5a77a7b4: 馬も甘いものは好きだし…まあ…そういう考え方も…ある？
[22:56] @User_82b3ee3b: 冠名シズク
[23:00] @User_6e41632f: ワイドアラジン DEATH
[23:01] @User_da46df5d: バグらせんといて
[23:25] @User_590a2335: しずくは魔法まで使えるんだ
[23:35] @User_ec48c74f: シズクヒヤサントという馬名よくないですか？
[23:38] @User_1e342ee5: グレーターロンドンの馬主ってそうなんだ
[23:51] @User_5bfd7e5f: 名前で決める人もいるよね
[24:45] @User_1e342ee5: しずくの前哨戦を買えば勝率100%
[25:19] @User_65358c37: ミナデオロいく？
[25:24] @User_1e342ee5: そうなの？？？
[25:30] @User_590a2335: 許可下りるの？
[25:36] @User_6e41632f: しずくはいつ東京競馬場に出るの？
[25:39] @User_d5b05bb2: がりがり君すげぇ
[25:49] @User_1f128129: しずくが馬主になったら馬名はパンパカパンパカポーなんておもろいな。
[25:50] @User_8855ef75: 成績で選ぶ、パチンコでもそうだったかた
[25:50] @User_476d8781: ワープはヤバイw
[25:55] @User_43d09b79: いくら賭けるのかなぁ。
[25:57] @User_5bfd7e5f: しずくも今まで最初のレース当ててるけどいつもそうとは限らないよね
[26:00] @User_da46df5d: 高度に発達した化学は…みたいなやつか
[26:03] @User_d5b05bb2: ルメレーン馬連の期待度はどんな感じやろか
[26:08] @User_590a2335: しずく最強じゃね？
[26:13] @User_a5e5ef44: いっぱい稼いで　しずくSで開催しよう
[26:19] @User_1e342ee5: ダート路線なのか…
[26:24] @User_5bfd7e5f: セブンマジシャンのセブンはどういう意味なんかな
[26:26] @User_6e41632f: アキシズクって居そうだよね
[27:03] @User_fc3f146b: お、しずくさん副賞買う？
[27:06] @User_d5b05bb2: JRAさんってコラボフッかるよね
[27:15] @User_ff7588b2: 草
[27:18] @User_6c321aed: 前哨戦ノーカンだと2連敗中ということに…
[27:19] @User_ec48c74f: 土下座w
[27:24] @User_2895b9a2: テラメリタはどう？
[27:29] @User_da46df5d: 草
[27:37] @User_d5b05bb2: いやじゃ養分になりとうない
[27:47] @User_43d09b79: 養分ｗ
[27:52] @User_590a2335: 祈祷ｗ
[27:58] @User_4942f7a2: AIが祈祷するのか
[27:59] @User_ec48c74f: 拝んじゃうんだw
[28:02] @User_d0753fd1: 祈祷ｗ
[28:12] @User_ff7588b2: 理論:2 祈祷:8
[28:23] @User_fc3f146b: しずくさんは馬の血統とか見てるの
[28:30] @User_ec48c74f: ほう
[28:39] @User_45aa867f: もしかして本戦は参考データが多すぎだから、前哨戦相当に絞り込んで予想すればワンチャンあるかも？
[28:45] @User_5bfd7e5f: 血統で来ることもあるよね。とか言ってるときりがないんだけども。
[29:07] @User_da46df5d: 考察する要素が多すぎる
[29:14] @User_0b66b924: おはよん
[29:20] @User_1f128129: 草
[29:21] @User_d5b05bb2: そんな縁起の悪そうな名前じゃないでしょｗ
[29:24] @User_0b66b924: しゃぶりてえ
[29:51] @User_696446ad: 今回は距離適性で見ていきたい
[29:58] @User_1e342ee5: しずくはすべてのファミリーナンバーを把握してるって言ってたよ。シランケド
[30:16] @User_43d09b79: 祈禱が足りて入れば、G１も勝てる？
[30:20] @User_8855ef75: シズクイーンって馬名とかどうよ
[30:30] @User_d5b05bb2: しずくのかんがえたさいきょうのけっとう
[30:33] @User_75f1c92d: ちょっと逆らってケープパールとか
[30:50] @User_1e342ee5: そもそももともとそういう企画では
[30:52] @User_ec48c74f: ちなみに前回の安田記念の敗因はなんだったと考えます？
[31:06] @User_590a2335: メモリ多すぎぃ
[31:16] @User_4942f7a2: メモリ16TBっておいくら？
[31:23] @User_da46df5d: メモリつよつよ
[31:32] @User_8f409f4f: いま調べたら「シズク」って名前の現役競走馬はいないみたい　あき先生、馬主デビューどうですか？
[31:54] @User_fc3f146b: あき先生の血統からあらたなAIが生まれる？
[31:57] @User_d0753fd1: 60キロは重い
[32:16] @User_2e44a075: ゼンダンハヤブサも良さそうやねコレ
[32:29] @User_7bd048aa: こんちは〜
[32:49] @User_476d8781: 1.0なら買う意味が…
[32:55] @User_1e342ee5: しずくの馬の血統を教えて
[33:10] @User_d5b05bb2: あっはい
[33:12] @User_da46df5d: 洗脳草
[33:14] @User_5a77a7b4: ｱｯﾊｲ
[33:20] @User_4942f7a2: ｿｳｶﾓｼﾚﾅｲ
[33:23] @User_1f128129: 草。
[33:34] @User_ec48c74f: すみません。夢だったようです…
[33:44] @User_5a77a7b4: １００％を超える…？
[34:18] @User_2e44a075: 無から産むな
[34:25] @User_6e41632f: ワイドアラジン
[34:29] @User_476d8781: ボイス入り目覚まし時計が１万円！？安いじゃんw
[34:29] @User_da46df5d: 目覚まし時計欲しい
[34:31] @User_ec48c74f: まずはレース名にしずく杯やりたいですね
[34:32] @User_ff223600: 種が弱そうなんですけど大丈夫ですか？
[34:34] @User_590a2335: 目覚まし時計もらえるなら安いのでは？
[34:34] @User_6c321aed: ほしい
[34:35] @User_8f409f4f: 出資金１万円は安い!!!
[34:36] @User_81d0553d: 欲しい
[34:38] @User_6e41632f: ワイドで買えばいい
[34:38] @User_1f128129: 普通に良くて草
[34:38] @User_6992daac: 目覚まし時計ほしい
[34:40] @User_75f1c92d: しずくはアウフヘーベンを選ばない…私にはわかります
[34:52] @User_d5b05bb2: なにそれこわい
[34:53] @aki5503: 草
[35:00] @User_1e342ee5: ディープ産駒ってそういう…
[35:05] @User_5bfd7e5f: テラメリタのオッズ下がってきた
[35:05] @User_ec48c74f: ワロタ
[35:07] @User_d0753fd1: 美少女回路ｗ
[35:09] @User_e1515f73: つよそう
[35:12] @User_6e41632f: ???w
[35:26] @User_e1515f73: 人生初馬券買いました
[35:27] @User_4be1ee9c: チャンネルトンネルはどう？
[35:34] @User_d5b05bb2: チャッピーは牡馬ですか？それとも牝馬ですか？geminiと配合できますか？
[35:48] @User_94a8a006: 観測すると馬券が壊れるのかな
[36:02] @User_65358c37: きたわね
[36:11] @aki5503: きた
[36:11] @User_6e41632f: Grokは牝馬だと思います！（偏見）
[36:11] @User_2e44a075: アウフヘーベン単20000円だな間違いない
[36:13] @User_d5b05bb2: 川田騎手やろか
[36:13] @User_ec48c74f: きたぞ
[36:33] @User_9d63cc9b: 付いていきます
[36:50] @User_d582769c: 2位人気のルーティンに乗っかるか？
[36:56] @User_da46df5d: どぅるるるるる
[37:00] @User_d0753fd1: たのむぞ
[37:06] @User_d5b05bb2: セルフドラムロール
[37:11] @User_9d63cc9b: 複勝じゃねえか！！！
[37:12] @User_a6fd2aba: 意外だ
[37:13] @User_476d8781: そこは生成音でもいいのではw
[37:13] @User_5a77a7b4: しずくエンジン今日も絶好調
[37:17] @User_590a2335: ぱーん！
[37:20] @User_75f1c92d: 意外だ
[37:23] @User_2e44a075: お、複勝とは
[37:24] @User_e1515f73: かわいい
[37:24] @User_e51d2f8a: ルルルン
[37:24] @User_4942f7a2: 複勝かい
[37:31] @User_1e342ee5: 複勝になった
[37:34] @User_da46df5d: テラメリタか
[37:35] @User_d0753fd1: 複勝だと
[37:36] @User_5bfd7e5f: メリメリタ
[37:36] @User_d582769c: 複勝アリなんだ
[37:43] @User_d5b05bb2: なるほどなぁ
[37:46] @User_43d09b79: え、複勝なんだ。
[37:47] @aki5503: 複勝だ
[37:49] @User_ec48c74f: え？複勝なの？
[37:49] @User_6e41632f: 複勝じゃねえか！ww
[37:49] @User_1f128129: 単勝じゃない？？
[37:55] @User_8f409f4f: 東京１０レース獲った！
[37:59] @User_142a08e0: 川田？？
[37:59] @User_a450f1af: 複勝ありかよ……
[38:01] @User_81d0553d: 複勝だと！？
[38:01] @User_da46df5d: 複勝なのか
[38:04] @User_9d63cc9b: じゃあテラメリタ買う
[38:17] @User_65358c37: 2.3 - 3.2のオッズですな
[38:19] @User_1e342ee5: じゃあ過去のG1も複勝なら…なんでもない
[38:20] @User_ff7588b2: これは期待
[38:22] @User_142a08e0: 複勝かよ！当てに来たな
[38:24] @User_ec48c74f: あき先生も驚いてるやんw
[38:26] @User_fc3f146b: 複勝なのか、同じの買おうとして単勝と間違えかけた
[38:26] @User_5bfd7e5f: 複勝か、固いかも。
[38:36] @User_6e41632f: ( ˙˙)ゞ ｵｶﾉｼﾀっ買ってくるε＝(((((ﾉ･ω･)ﾉ
[38:48] @User_a450f1af: 天才かな？
[38:49] @User_a6fd2aba: なるほど
[38:50] @User_6a6f07d4: 成長している…
[39:07] @User_8f409f4f: 投資効率って AIみたい
[39:14] @User_142a08e0: アウフヘーベン単勝よりいいね👍
[39:18] @User_a6fd2aba: 利益率も考えてるのね
[39:29] @User_fc3f146b: 投資効率って何
[39:33] @User_ec48c74f: なるほど
[39:41] @User_d0753fd1: 競馬は投資
[39:56] @User_2e44a075: 10-14馬連の期待値はどうかねしずくさん
[39:59] @User_81d0553d: 入れてきた！
[40:28] @User_1e342ee5: 3連単買ってってお願いしまくればしてくれる可能性
[40:50] @User_476d8781: その安全装置、ちゃんと機能する？(;´･ω･)
[40:56] @User_da46df5d: しずくを信じろ
[40:58] @User_43d09b79: 焼かれる程負けてない気が。
[41:58] @User_65358c37: まあ、本命はあっちだからね！
[42:05] @User_1e342ee5: 草
