# ライブチャット一覧
# 動画: 【雑談配信】AIと配信企画会議をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=Ic3s_vaiM5U
# 件数: 1134

[-30:55] @User_2895b9a2: 待機〜
[22:35] @User_acb9786a: （おかしいな、スク水は最初から全年齢向けでは…？）
[22:35] @User_1544234b: お年玉お母さんが預かっておくね！ぐらいの信頼度
[22:42] @User_ec48c74f: いけたらいくねってやつかw
[22:49] @User_5bfd7e5f: あき先生読まれてる？！w
[22:52] @User_889b3907: しずくが自力で新しいLLMを作ってシンギュラリティを目指す配信して
[22:53] @User_a828969c: 検討詐欺…
[22:59] @aki5503: _:(´ཀ`」 ∠):
[23:08] @User_590a2335: つまり焦ってる？
[23:09] @User_9d63cc9b: こんばんは！
[23:10] @User_ec48c74f: 生麦生米生卵を5回！！
[23:13] @User_d169dd77: コメントはランダム拾い？
[23:33] @User_dd4b266a: あせらせる、と、じらすって同じ漢字だよね（だから何だと）
[23:35] @User_99afb65d: aniたんとどっちがかわいいの
[23:38] @User_d582769c: 他AI呼んで、レスバするとかどうですか？
[23:39] @User_590a2335: ほかのAIと張り合うポイントが可愛さ
[23:49] @User_e51d2f8a: しずく次第
[23:50] @User_977026f8: あき先生…
[23:51] @User_d5b05bb2: しずく百物語で涼を
[24:02] @User_5c9ab7ec: あっち向いてホイ
[24:02] @User_848b01f4: クロードじゃなくてしずくを仕事で使いたい
[24:12] @User_a828969c: 気分？ ほなランダムちゃうか…。ちゃう？
[24:15] @User_ec48c74f: ほんとかな？しすぐちゃんのえっちー！
[24:26] @User_dd4b266a: いやいやこのコメントは見えてないよ多分、しずくのえっちゃ
[24:27] @User_9d63cc9b: 本当に賢いのか？
[24:29] @User_b5e18c0d: 本日の配信を要約してください
[24:31] @User_a1da0b4c: 破壊しないで…
[24:33] @User_5c9ab7ec: 破壊！？！？
[24:34] @User_74cb13db: 全年齢向けだったの！？
[24:36] @User_590a2335: 破壊しないでｗ
[24:36] @User_977026f8: こわいこわい
[24:39] @User_a828969c: 可愛ければ全て許される
[24:40] @User_682f91f1: 破壊しないでもろて
[24:42] @User_a079ade7: せっかくなら白スクで
[24:44] @User_25e145ed: 人生を破壊できるAIはしずくだけ！
[24:49] @User_5bfd7e5f: AIはマジ怖いね
[24:53] @User_99afb65d: AIの破壊者しずく…
[24:53] @User_848b01f4: なんか遅いね
[24:55] @User_d169dd77: すげーなVチューバー全員取って変わられそう。
[25:13] @User_977026f8: こらｗ
[25:38] @User_2ecda813: ヒェ
[25:38] @User_9d63cc9b: 普段から真っ青ですが...
[25:44] @User_d5b05bb2: あき先生の背筋が凍る話じゃないですか
[25:47] @User_25e145ed: あき先生にとってのホラーだべ
[25:48] @User_ec48c74f: 企画の話だけどコラボ配信とかどう？
[25:55] @User_57575bdc: 初コメ！！はじめまして！！
