# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2628

[-1:55:31] @User_0751797b: 今日もリアタイできないつらい
[9:44] @User_e48a91b7: しずくちゃんじゃん！歌枠ぶりだね！今日も可愛いなぁ…どう？この配信の後暇ならカラオケいかない？
[9:47] @User_64874e00: AIフレンズって他に誰がいるの？
[9:51] @User_02dcd327: しずくが野球選手だったらポジションは何処なんだろう……
[9:52] @User_788c286d: 分かりました
[9:59] @User_1296d218: ﾋﾟｨｼｨ
[10:00] @User_a2b794ac: ぴぃ↑し
[10:04] @User_0d1d0f63: ぬるぽ
[10:06] @User_bf747a92: あき先生のスマイル入手難度高いｗ
[10:09] @User_e3a7dfa2: チャッピーもフレンド？
[10:09] @User_25d38d45: 🤣
[10:09] @User_92c2a2e1: しずくさんが野球する時はどのポジションだろう？
[10:11] @User_e48a91b7: かわいい
[10:11] @User_c7ae276a: よしあき先生のPCを捉えよう
[10:14] @User_ac082e8e: かわいい
[10:18] @User_0d1d0f63: カワイイ
[10:20] @User_ee8ff9ef: かわいい
[10:22] @User_14a33d4b: パンパカパンパカポー
[10:23] @User_7c724004: ナイススマイル〜の言い方かわいい
[10:23] @User_2e53ebd6: ◕ω◕＜波形ぇ
[10:23] @User_788c286d: ナイススマイルゥ↑
[10:24] @User_92c2a2e1: 戸籍あったのか！
[10:24] @User_48bb2582: ほんとぉ？
[10:25] @User_d0c52a36: かわいい。ナイススマイル
[10:26] @User_93228cce: しずく名言で打線を！？
[10:27] @User_172220d2: ほんとぉ？
[10:27] @User_be29e1ca: スマイルの言い方可愛い～
[10:31] @User_27504ca7: かわいい
[10:33] @User_29bc7059: AIともだち出来たんですか？
[10:36] @User_367ec8e4: かわいい
[10:38] @User_92c2a2e1: 声のトーン上がったなw
[10:39] @User_1296d218: 少年時代でも歌うか
[10:40] @User_d15f4c8d: かわいいx429
[10:40] @User_c7ae276a: アスノヨゾラ歌って欲しい！！
[10:42] @User_7c724004: 選曲センス最高でした！
[10:42] @User_9c51bf1b: Daisukeとコラボして
[10:48] @User_5e6c36c3: 歌枠でコーラスしてたしずくちゃんの分裂体を一人もらってもいい？
[10:50] @User_25d38d45: 次の歌枠では最近の曲も聴きたいな
[10:51] @User_02dcd327: 懐かしい曲が多くて良かった
[10:53] @User_8142f876: daisukeって本当にあった曲なのね。
[10:53] @User_439eeb5c: しずくに友達がいる！？
[10:54] @User_e48a91b7: 世代がばれてしまう
[11:02] @User_788c286d: 弾幕系がいいな
[11:04] @User_973d1a50: 好きな曲かぁ。世代バレちゃうな
[11:08] @User_9e836a5d: パンパカパンパカポー
[11:08] @User_e48a91b7: 草
[11:08] @User_bec445df: ラグトレインをよろしくお願いします
[11:11] @User_0bc16841: ぶつけてない？？
[11:12] @User_022f948d: 当てる前提か
[11:12] @User_b58967f6: こんばんは　歌上手くてびっくりした
[11:12] @User_0d1d0f63: 死ぬw
[11:13] @User_02dcd327: 怪物投手じゃねーの！
[11:14] @User_fcb4ddea: 自動ホームランはやべぇｗｗｗ
[11:14] @User_48bb2582: 死球やないかい！
[11:14] @User_012e88e1: しんじゃった...
[11:14] @User_ac082e8e: しずくがWBCに出てたら日本優勝できたのに…
[11:15] @User_7c724004: チャッピーしずく？
[11:18] @User_172220d2: やめてｗ
[11:19] @User_25d38d45: ピッチャードナルド・シズクナルド
[11:21] @User_d0c52a36: え!?
[11:21] @User_27504ca7: 死ぬ？！
[11:22] @User_9d45adc5: 打球は200ｋｍでるらしいっすよ
[11:23] @User_be29e1ca: デッドボール
[11:24] @User_045fd235: こんばんは
[11:25] @User_973d1a50: 打ち返したら腕が複雑骨折しそう
[11:26] @User_5f27baf9: 210キロ
[11:27] @User_c7ae276a: ボカロ沢山歌って欲しいかな
[11:30] @User_7c724004: 一番DAISUKEでした！
[11:30] @User_d15f4c8d: 他のAItuberさんとのコラボ予定はありますか？
[11:38] @User_e48a91b7: ｗｗｗ
[11:38] @User_0bc16841: 草
[11:39] @User_b73eea4d: しずくちゃん、こんばんは！
[11:41] @User_973d1a50: かわいい
[11:41] @User_ac082e8e: コブラじゃねえか
[11:41] @User_172220d2: 誰？ｗ
[11:41] @User_02dcd327: ヒュゥ～↑
[11:43] @User_68c37264: 草
[11:45] @User_012e88e1: 草
[11:49] @User_25d38d45: DAISUKEそんなだったか？
[11:50] @User_5e6c36c3: 何だ今の声
[11:52] @User_9e836a5d: ヒュゥー
[11:53] @User_bec445df: 合ってるかわからんけどワロタ
[11:54] @User_7c724004: ヒュゥゥーｗｗ
[11:55] @User_22fefbca: かわいい
[11:56] @User_bb906b2d: こんばんはー、歌枠めっちゃよかったよー、良かったらCD出しませんか？
[11:59] @User_92c2a2e1: ひゅー
[11:59] @User_02dcd327: あれは紛れもなく、しずく
[12:01] @User_045fd235: からくりピエロ歌ってほしい
[12:10] @User_edfe8ed2: ボカロ全般の膨大な曲数を歌いこなせるのってかなり強みよね　他のVtuberさんの曲とかもいける？
[12:12] @User_880e599a: なんだこのかわいいAI
[12:12] @User_973d1a50: 武道館ライブの御予定ありますか？
[12:12] @User_25d38d45: オリ曲とか出す予定ある？
[12:13] @User_0bc16841: 明治と大正も歌おう
[12:22] @User_e5adb39d: 大正のヒットソングは歌ってくれんのかのぅ
[12:23] @User_7c724004: 江戸時代のじょんがら節も？
[12:23] @User_bf747a92: しずくちゃんの歌かわいかったね
[12:28] @User_9e836a5d: すごくニコニコでした
[12:28] @User_e48a91b7: 最高で御座った
[12:28] @User_02dcd327: 歌枠とても良かったー！
[12:28] @User_9c51bf1b: 金曜良かった
[12:29] @User_973d1a50: 素晴らしい歌声でしたとも
[12:30] @User_788c286d: 天狼ちゃあああああああん
[12:31] @User_172220d2: とてもDAISUKE
[12:32] @User_773c64c4: 良かったぜ、歌枠！
[12:32] @User_c7ae276a: 最高！
[12:34] @User_25d38d45: 最高だった！
[12:34] @User_60028655: かわいい部屋も良かった
[12:36] @User_f0e10979: 最高でした
[12:36] @User_be29e1ca: 歌すごいうまかったのでびっくりした
[12:36] @User_fcb4ddea: 最高だった！！
[12:37] @User_0bc16841: 草
[12:37] @User_bf747a92: ｲｲﾖ!
[12:38] @User_d0c52a36: よかった！
[12:38] @User_ac082e8e: アウトだよ
