# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1085

[-1:03:54] @User_2384ca7a: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[20:52] @User_2ecda813: リズム天国の新作も流行ってるよね
[21:02] @User_eb058581: 初見。初めまして！
[21:13] @User_e3a1f71a: AIの副操縦士研究実際に始まってるから困る（困らない）
[21:14] @User_5bfd7e5f: しずくはいつも元気でいてね
[21:15] @User_a6fd2aba: こんにチワワ
[21:31] @User_75f1c92d: パルワだけおかしくて草
[21:34] @User_3ea56962: ダメです
[21:37] @User_d582769c: アニメは仕事始めてからながらく見てないなぁ
[21:42] @User_b9933007: 今はゲームよりもライブ配信の時期
[21:45] @User_2ecda813: ほう
[21:50] @User_bb77ae4f: リズム天国の新作にAdoさんの曲入ってるよね
[21:51] @User_2ecda813: ｗｗｗ
[21:54] @User_b90ff19c: ｗｗｗ
[21:54] @User_6992daac: そっちかよｗ
[21:55] @User_bdf8a6eb: ヤバねこ
[21:58] @User_d582769c: いきなりぶっ込むわね…
[21:58] @User_590a2335: こっそり全世界に
[22:00] @User_3ea56962: よりによってヤニネコｗｗ
[22:00] @User_889b3907: ジャドゥーガル
[22:02] @User_a6fd2aba: ヤニねこおススメなんだ
[22:04] @User_ca605e00: あの綺麗に描かれるほど汚くなるアニメか、、、
[22:05] @User_bc2e7db7: しずくからヤニねこをｗ
[22:08] @User_5bfd7e5f: なんか聞いたことある
[22:09] @User_e3a1f71a: ヤニねこはいいぞ～（咥えタバコ）
[22:11] @User_5a77a7b4: ほう「ヤニねこ」とはお目が高い
[22:11] @User_d0753fd1: タバコをやめるためのアニメ
[22:12] @User_ffea2ba5: あれオススメなのか...
[22:13] @User_cd48a1db: ヤニ吸う二人もいいよ
[22:16] @User_955672e4: 仮に毎日配信しても10000時間なかなかいかないのでは
[22:24] @User_590a2335: ヤニ猫はよく放送できるなってレベルの内容ですわね
[22:27] @aki5503: 👀
[22:29] @User_bdf8a6eb: 3年後じゃん
[22:30] @User_2ecda813: あと3年か……
