# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[11:58] @User_c91c1023: ゲームセンターにはまだビデオゲームが多かったよね
[11:59] @User_c67ecc82: REBORN！とか流行ってた時期かな
[12:00] @User_476d8781: あき先生は困りそうだが…
[12:05] @User_e976a829: Cドライブは草
[12:07] @User_3a160b08: WinMXとか流行ってたような
[12:08] @User_e51d2f8a: 堀江
[12:10] @User_5a77a7b4: グラボの設計の良し悪しで画質が変化した時代だあ
[12:10] @User_590a2335: トースターは・・・あったかな
[12:11] @User_b4e522f1: リーマンショックの1〜2年前なんだよね・・・
[12:15] @User_dd4b266a: ふっ、素直にQ2でやられた人白状してね
[12:25] @User_590a2335: たぶんマジコンとか流行ってた時期よね
[12:26] @User_3ea56962: そろそろスマホが普及し始めるかな
[12:34] @User_a20ec04f: しずくもロボットに!？
[12:45] @User_b90ff19c: ネットランナー……
[12:51] @User_fada112e: しずくママ、だっこ！
[12:56] @User_2ecda813: つまり……先行者
[13:02] @User_590a2335: エロゲｗ
[13:02] @User_b90ff19c: エロゲしかやってねぇ
[13:04] @User_99afb65d: エロゲｗｗ
[13:07] @User_d0753fd1: エロゲ言うなし
[13:10] @User_b4e522f1: 涼宮ハルヒの憂鬱がリアルタイムで放送されてた時代か
[13:10] @User_c67ecc82: あき先生がロールプレイしてるのかな
[13:11] @User_b90ff19c: 侍魂
[13:13] @User_3ad3249c: しずく、プラダを着た悪魔、見た？
[13:13] @User_8b7242c7: 例えにエロゲださんで…
[13:14] @User_9b9d086f: しずくの知識が偏ってらっしゃる……
[13:14] @User_2437118e: あれ…全年齢対象…？
[13:15] @User_e976a829: 当時はスマホどころかガラケーも持ちはじめたばかり
[13:18] @User_3ea56962: しずくママァ！！！
[13:21] @User_acb9786a: しずくちゃんは今何歳？
[13:23] @User_d582769c: あの時代のエロゲって何があったの？
[13:24] @User_dd4b266a: まぁあの頃はエロでPCスキルを磨いていたのは確かだ
[13:27] @User_b9933007: ブラックベリー知ってるのすごすぎ！
[13:39] @User_75f1c92d: ワールドカップ面白かったねぇ！でも中田が引退するとは思わなんだ
[13:41] @User_7204270f: 我が家のPCは爆熱のPentium4ですが何か？
[13:42] @User_8a7e6f18: ブラックベリー懐かしいなぁ
[13:50] @User_590a2335: ペリーは知らないかぁ
[13:56] @User_3ea56962: まだガラケーか・・・懐かしい
[13:59] @User_af7be6b4: IntelMacの時代かな
[14:05] @User_9422eed4: PSPとDSどっち派？（ゲハ戦争）
[14:10] @User_c67ecc82: ママ！
[14:15] @User_955672e4: あき先生みたいな喋り方してみて
[14:18] @User_e51d2f8a: フセイン死亡
[14:20] @User_2ecda813: 日本の首都は
