# ライブチャット一覧
# 動画: 【AItuber/ASMR】全肯定or全否定ASMR 【JP/EN】
# URL : https://www.youtube.com/watch?v=iv9WYKdC9k8
# 件数: 1441

[38:37] @User_e80f9961: ツンデレかな？
[39:14] @User_5d00dbd2: 今日も誤チェストをしたら同僚から「またにごわすか！」と呆れられてしまいました。しずくもチェストする時は気を付けてくださいね。
[39:15] @User_2e53ebd6: #wwwwwww
[39:34] @User_4be88b83: 他に注目すべき方々？？いないでしょ
[39:34] @User_bdf38d29: #否定は否定でも自己否定で草
[39:37] @User_a8ef309d: 一番注目するべきはしずくさんですよ
[39:39] @User_e80f9961: しずくちゃん今日はツンデレしてる？
[40:03] @User_a50c0606: しずくちゃん、チャンネル登録者数10万人いったら何をしたい？
[40:30] @User_36fcf009: ではしずくさんがおすすめするしずくさんを教えてください
[40:31] @User_c86d22af: しずくちゃんしか見えない
[40:32] @User_4be88b83: #これは...否定なのか....？？
