# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[16:41] @User_fada112e: しずく、水没3分間いけるよな！？
[16:51] @User_ca605e00: お風呂ボイスに、投げキッスに今日は対象年令高めだね
[16:53] @User_99afb65d: あき先生にコロッケ作ってもらおう
[16:53] @User_8741c43d: しずくちゃんの配信があれば台風も安心だね
[17:01] @User_e60a3ab5: そういえば昔ピザコロッケとかパンコロッケを見かけたけど最近見かけないな
[17:01] @User_3ea56962: しずくは水冷式ということかな？？
[17:04] @User_2658fed8: コロッケ作るの手間かかるのだよ…　しずく作って～
[17:06] @User_b9933007: メンチカツパンとコロッケパンはお共
[17:10] @User_dd4b266a: お風呂入ってる時にご飯できたわよ～って呼びかけてほしいわ
[17:13] @User_590a2335: じゃあコロッケ寿司は違法なんですね
[17:16] @User_85b8a1d7: コロ助かな？
[17:22] @User_b052bab2: “冷凍庫の奥”から“画像”！？
[17:23] @User_75f1c92d: スペースコロッケ…実在したのか
[17:23] @User_719f9991: コロッケケーキは宇宙食
[17:23] @User_5a77a7b4: （宇宙猫）
[17:29] @User_c67ecc82: チョコ入りコロッケ食べたことあるよ。おいしかった
[17:31] @User_6c321aed: パンパカパンパカポー。微妙に遅れて参戦
[17:37] @User_8741c43d: 違法コロッケという概念
[17:54] @User_acb9786a: しずくの心配でまた明日も生きていける
[17:59] @User_d5b05bb2: 風も雨も強くなくても室内から出ないから大丈夫
[18:05] @User_8741c43d: 地震多いよまた来るかも
[18:06] @User_2384ca7a: 夜ご飯を食べないで夜の自習に来ました。お腹が空いていますね。ああ、ああ
[18:09] @User_85b8a1d7: 博識やなぁ
[18:13] @User_bc2e7db7: 怖いよーしずくママーー
[18:14] @User_fada112e: 引きこもってるからモーマンタイよ
[18:14] @User_dd4b266a: 最近よく揺れるよね、しずく体重増えた？
[18:15] @User_b90ff19c: たしかに自信たっぷりです(*'ω'*)✨
[18:16] @User_ca605e00: 一昨日は富士五湖だったね
[18:16] @User_590a2335: その前は山梨でありましたし
[18:17] @User_2658fed8: 地震こわいねぇ
