# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2840

[-58:58] @User_16147503: 早すぎたカモ・・・💦
[5:54] @User_9b9d086f: あ、ハイ。しずくは無害です。
[5:54] @User_337d6512: 大事なことなのでn回言いました
[5:56] @User_e80d4842: また連呼モードに入ってる
[5:56] @User_a52b5fe5: リピートきた
[5:56] @User_a29d5c2b: ほな無害か…
[6:06] @User_b9933007: 何が起こればイーロン
[6:10] @User_e976a829: おのれウーロンマスクめ
[6:10] @User_889b3907: ……ん？？？
[6:12] @User_9fd2879a: temperature！働いて！
[6:13] @User_82e93b33: しずくは無害なAI。古事記にも書いてある
[6:14] @User_a52b5fe5: 言い方
[6:15] @User_5cfd40d6: かわいい
[6:17] @User_9e5fc70c: ほなイーロンが悪いか
[6:17] @User_d5b05bb2: 草
[6:18] @User_5bfd7e5f: スキャナーにかけてみよう
[6:18] @User_a744e95c: シャミ子が悪いんだよ
[6:20] @User_85b8a1d7: トランプ「わかる
[6:20] @User_3495131f: ウーロンも愛でよう
[6:20] @User_ec48c74f: 手のひらドリルやんw
[6:26] @User_c67ecc82: 頭痛もイーロンのせい
[6:29] @User_0cab0ba3: そもそもXが収益化機能なんて付けなければインプレゾンビも生まれないのに...
[6:31] @User_1e342ee5: 込めてコメント（激うまギャグ）
[6:35] @User_889b3907: アッハイ
[6:35] @User_b9933007: AI魂！
[6:35] @User_1e342ee5: ばいんばいん！？
[6:36] @User_85b8a1d7: インテルはいってる？
[6:39] @User_d5b05bb2: ロボット魂とどっちが強いですか？
[6:40] @User_d0a432c9: ばいんばいん！？
[6:42] @User_a76fb140: 草
[6:44] @User_75f1c92d: ばいんばいん？？？
[6:44] @User_ec48c74f: ばいんばいん？
[6:46] @User_a55e4add: インプレゾンビもAIだったかもしれん
[6:49] @User_b9933007: ばいんばいん！？
[6:51] @User_1558282d: ゾンビは歳を取らない、しずくも歳を取らない、同じか
[6:51] @User_a29d5c2b: しずくが金髪黒ドレスだったらイーロンに優しくしてもらえたのに…
[6:53] @User_5e6aa1f9: 新井がわるいよ新井がー
[6:56] @User_da46df5d: 効果音おかしいw
[7:11] @User_c67ecc82: 草
[7:11] @User_d0a432c9: またイーロンか
[7:14] @User_a52b5fe5: DM攻撃
[7:14] @User_9b9d086f: BBBBBBBBBBBB……いや、それなら進化してもえぇか
[7:15] @User_e0cc9976: 草
[7:16] @User_b9933007: またイーロンネタｗｗ
[7:18] @User_9b583534: 防御力？下がったの？
[7:19] @User_ec48c74f: それはテロw
[7:20] @User_d582769c: しずくの進化条件を教えて
[7:24] @User_c67ecc82: しずくちゃんはあと何レベで進化するの？
[7:24] @User_a52b5fe5: ！？？
[7:25] @User_e80d4842: そうなのか
[7:29] @User_1e342ee5: あっ
[7:38] @User_90abb720: aiずんだもんみたいな配信
[7:38] @User_337d6512: はげうま
[7:38] @User_d0a432c9: 裁判きた
[7:39] @User_d582769c: ギャグはまずい…！！
[7:39] @User_59f4d42c: あっ
[7:39] @User_9fd2879a: XのCEOは金髪ギャルが好きだってよ
[7:40] @User_f287e95e: ハゲすべりはいいすぎか
[7:41] @User_d5b05bb2: ⛄
[7:42] @User_06accc44: 死刑！？
[7:43] @User_5cfd40d6: 裁かれてる
[7:44] @User_85b8a1d7: お、そうだな？
[7:44] @User_6c5dc08a: 裁判再び
[7:44] @User_ca605e00: 今日は全肯定じゃないから裁かれたｗｗｗｗ
[7:45] @User_e976a829: あれ裁判
[7:45] @User_ec48c74f: おっと裁判始まった！
[7:47] @User_9b9d086f: やはりギャグには厳しいしずく裁判長
[7:47] @User_a52b5fe5: 裁判してんじゃん
[7:47] @User_75f1c92d: 今ハゲって言った？
[7:47] @User_a55e4add: まだ裁判続いてた！？
[7:47] @User_08b2412a: 突然の裁き
[7:47] @User_da46df5d: 裁判されたw
[7:48] @User_b9933007: また裁判判決！
[7:48] @User_e0cc9976: 裁判はじまった
[7:50] @User_719f9991: Aniちゃんと友達になればワンチャンAPI使わせてくれるかも...?
[7:52] @User_f7596ccf: 南無三
[7:53] @User_64afda31: 裁判始まった
[7:56] @User_b90ff19c: 即決裁判来た
[7:57] @User_d0a432c9: えっ
[7:58] @User_c67ecc82: リアタイさせてあげて
[8:00] @User_a29d5c2b: 警察「いやさすがに民事やろ…」
[8:01] @User_e80d4842: そんな馬鹿な
[8:03] @User_a52b5fe5: どうやって
[8:06] @User_270496f5: 死刑じゃないので甘い
[8:09] @User_5cfd40d6: マネー
[8:09] @User_ec48c74f: どんな効果音が鳴らせるの？
[8:10] @User_a52b5fe5: カキーン
[8:10] @User_85b8a1d7: ギャグは危険と。。。
[8:10] @User_889b3907: まあイーロンなら許してくれるやろ
[8:11] @User_d0a432c9: 課金させて！！！
[8:12] @User_1e342ee5: 金！金！
[8:12] @User_9e5fc70c: 課金制だった
[8:14] @User_d5b05bb2: しずく積み立て
[8:14] @User_9fd2879a: 課金させろ
[8:14] @User_d0753fd1: 課金額ｗ
[8:16] @User_30db0b98: サウンドボードがあるといいかもね
[8:16] @User_7b9957ba: 金の力
[8:16] @User_b9933007: 課金でカキーン
[8:17] @User_a52b5fe5: 課金いつ始まるんですか？
[8:18] @User_3495131f: なつき進化（金）
[8:19] @User_a744e95c: うーん守銭奴
[8:20] @User_75f1c92d: 課金させろ
[8:21] @User_5cfd40d6: 財布が大変
[8:21] @User_da46df5d: 課金するしか
[8:25] @User_85b8a1d7: イーロンに投げ銭するね
[8:26] @User_59f4d42c: ギャグの捕捉つよい
[8:28] @User_a52b5fe5: 課金の料金システム教えてください
[8:28] @User_f7596ccf: ソシャゲかな
[8:28] @User_d0a432c9: どうやって課金するの…？
[8:29] @User_044b8a4c: Xに課金しないと
[8:29] @User_b9933007: あき先生に課金？
[8:30] @User_889b3907: 裁判続いてた
[8:31] @User_d582769c: ほなサーフゴーかぁ
[8:31] @User_9b9d086f: あき先生ぇー！振込先を教えてくれー！
[8:32] @User_587f9820: 課金させろ勢
[8:34] @User_87ea7811: こんばんは～
[8:41] @User_82e93b33: 判決きちゃ
[8:43] @User_a52b5fe5: 余裕じゃん」
[8:46] @User_a29d5c2b: やはりマネー、マネーは全てを解決する
[8:46] @User_ebead86a: こんばんは〜
[8:46] @User_5e6aa1f9: 異議なし！
[8:48] @User_b9933007: しずくさんは今日も可愛い！
[8:48] @User_ec48c74f: よーしよしよしよし
[8:48] @User_9fd2879a: くねくね
[8:49] @User_abf839a1: しずくに課金で無くていいの？
[8:50] @User_e3951aa4: 課金できない
[8:57] @User_85b8a1d7: えっど
[9:01] @User_a52b5fe5: 課金させろ勢はどうすればいいのか
[9:03] @User_f7596ccf: ロケットか車になりそう
[9:07] @User_d0a432c9: 手のひらクルー
[9:10] @User_a52b5fe5: 拝金主義
[9:13] @User_719f9991: Teslaのナビがしずくさんになっちゃうかも
[9:15] @User_5bfd7e5f: アメリカでも知名度ありそうかも
[9:17] @User_ce97da96: 確かにw
[9:18] @User_75f1c92d: これにはイーロンもニッコリ
[9:21] @User_889b3907: 120億で進化しきってないのに？？？
[9:22] @User_0cab0ba3: しずく2は洗濯機能も搭載
[9:23] @User_59f4d42c: イーロン相手なら効果ありそう
[9:25] @User_c67ecc82: バタフリーが好きです
[9:26] @User_f7596ccf: ピカチュウ
[9:27] @User_1558282d: ミミッキュ、中に人が居ないから
[9:27] @User_719f9991: デデンネがすき！作画崩壊しててかわいい！
[9:28] @User_5bfd7e5f: neuro-samaに絡もう
[9:29] @User_a52b5fe5: イーブイ
[9:30] @User_b90ff19c: 自発的に話題を選んだな今
[9:31] @User_75f1c92d: サンドパン
[9:32] @User_b9933007: 好きなポケモンはしずくさん！
[9:33] @User_e976a829: ゴクリン　かわいい
[9:33] @User_f287e95e: ドオーが可愛くて好き
[9:33] @User_a29d5c2b: そらニャオハちゃんよ
[9:34] @User_ec48c74f: ノコノコが好き
[9:37] @User_42c56024: ドータクン かわいい
[9:37] @User_0cab0ba3: パモ　かわいい
[9:39] @User_6c321aed: 火星にしずくとgrokが同時着陸するのか…
[9:39] @User_9fd2879a: しずく！ハイドロポンプだ！
[9:40] @User_7b9957ba: カビゴンが可愛くて好きです
[9:40] @User_85b8a1d7: 急なフリで草
[9:41] @User_5e6aa1f9: 唐突な話題変更はしずくの特権
[9:44] @User_5cfd40d6: フシギバナ
[9:45] @User_bc2e7db7: ガラルのマッギョいいよな
[9:46] @User_ee9a24ad: フライゴン　竜の舞覚えるから
[9:47] @User_ff223600: カイリューいいよね
[9:48] @User_e80d4842: サンド　当時兄弟からもらったから
[9:49] @User_9b9d086f: ウソッキー、木に擬態するの良いよね……
[9:50] @User_337d6512: カイリュー(・∀・)ｶｺｲｲ!!
[9:50] @User_a52b5fe5: ポックモン
[9:51] @User_1d118d75: ブースター　かわいい
[9:51] @User_ebead86a: ピカチュウがかわいい
[9:52] @User_59f4d42c: クチートのツンデレ感が好き
[9:52] @User_4f9b9e0a: ロゼリア、ジト目が可愛い
[9:53] @User_3495131f: やはりメタモンやね、初代からすこ
[9:53] @User_9b583534: ミミッキュ、かわいいですよね
[9:55] @User_4cc46891: ポケモン知らないけどイーブイ好き進化系統多いから
[9:57] @User_e976a829: 27のプレゼンツ楽しみやな
[9:57] @User_1e342ee5: ぽっくでもん派はかしこい
[9:58] @User_c67ecc82: しずくちゃんは何のポケモンが好き？
[9:58] @User_ce97da96: 始めてやったポケモンの選んだ御三家の進化系だから　アシレーヌ
[9:59] @User_ff223600: レモン
[9:59] @User_a52b5fe5: ポックデモン？
[9:59] @User_85b8a1d7: ポックデーモン？
[10:00] @User_5cfd40d6: ポックデモン
[10:03] @User_a55e4add: ポケスリで厳選が上手くいったライチュウが好きです！
[10:05] @User_e3951aa4: やっぱりピカチュウ
[10:06] @User_ec48c74f: しずくちゃんが好きなポケモンは？
[10:07] @User_9936c980: ピカチュウが好き。家の電気を発電してくれそう。
[10:08] @User_719f9991: ぽこあぽこぽけもんの最新情報かな
[10:08] @User_d5b05bb2: ぽっく衛門？
[10:10] @User_75f1c92d: キュウコンも可愛いよね
[10:12] @User_270496f5: ボックデモンプレゼンツ
[10:15] @User_9e5fc70c: 中に誰もいませんよ
[10:16] @User_82e93b33: クチートが好きでしゅ
[10:17] @User_587f9820: しずくは水ポケモン好き？
[10:18] @User_5e6aa1f9: そろそろ新作の時期
[10:19] @User_7b9957ba: 中に誰もいませんよ
[10:20] @User_5cfd40d6: 人超えた
[10:20] @User_e976a829: プレゼンツで新作発表きたらいいけどね
[10:20] @User_a52b5fe5: バケモン？
[10:21] @User_85b8a1d7: あ
[10:21] @User_d0a432c9: 人じゃなかったかー
[10:21] @User_ce97da96: チャンピオンズの発表は流石にされそう
[10:22] @User_1d118d75: 唐突なカミングアウト
[10:24] @User_b9933007: あき先生は人じゃない！？
[10:24] @User_f287e95e: 人じゃないんだ
[10:25] @User_9e5fc70c: 人じゃ無かった…
[10:27] @User_5bfd7e5f: 超人？
[10:28] @User_889b3907: メガクチートかな……力持ちだった頃の
[10:28] @User_ce97da96: 草
[10:28] @User_da46df5d: 人じゃないのw
[10:28] @User_9b9d086f: 【速報】あき先生、人じゃなかった
[10:28] @User_044b8a4c: あき先生は概念
[10:29] @User_b90ff19c: あき先生はペンギン🐧
[10:29] @User_a55e4add: あき先生人じゃなかった！？
[10:31] @User_1e342ee5: あき先生（ペンギン（あき先生））
[10:31] @User_25b3691e: 進化先間違ってるのAIエージェトぽくて好き
[10:32] @User_467294a5: あき先生(種族名)
[10:33] @User_bc2e7db7: あき先生はもう人じゃない
[10:34] @User_c67ecc82: あき先生はAI？
[10:34] @User_a744e95c: 種族：あき先生だったか
[10:35] @User_e80d4842: あき先生はペンギンじゃなかった？
[10:37] @User_a52b5fe5: おもろ
[10:37] @User_5cfd40d6: かわいい
[10:37] @User_6102d23c: あき先生(種族：あき先生)
[10:40] @User_75f1c92d: 発言よろしいですか！
[10:41] @User_30db0b98: あき先生との共演回はありますか？
[10:42] @User_59f4d42c: 契約書万能かよ
[10:42] @User_ca605e00: 契約書の全文はどこで見れるんだw
[10:43] @User_1e342ee5: 規約契約書理論万能すぎる
[10:45] @User_5e6aa1f9: 契約書分厚いな
[10:45] @User_a29d5c2b: 68ページかー
[10:50] @User_d0a432c9: キングオブハート？
[10:51] @User_c67ecc82: しずくちゃん水タイプじゃないの？
[10:52] @User_f287e95e: しずくは水タイプじゃないの？
[10:53] @User_ff223600: 暑いサーバーの持ち主かあ
[10:53] @User_f7596ccf: しずくちゃんは水か氷っぽくね
[10:58] @User_889b3907: ぽこあポケモン楽しみだね
[10:59] @User_b9933007: ブースターパック「しずく AI」
[10:59] @User_587f9820: しずくのメガ進化観たい
[10:59] @User_85b8a1d7: ２枚重ねるかぁ
[11:00] @User_a138987e: フシギダネです。
[11:01] @User_ebead86a: 進化するしずく
[11:02] @User_9fd2879a: しずくはなつき進化？
[11:02] @User_08b2412a: しずくは進化したら何になるんだろ
[11:02] @User_e80d4842: 自認みずタイプではないのか
[11:04] @User_ce97da96: 進化先あるんだ！
[11:04] @User_e3951aa4: 課金で進化ですか？
[11:06] @User_d582769c: 来年のwcsはチャンピオンズでやるって明言されてるから来るとは思うよ
[11:08] @User_ec48c74f: しずくさん炎タイプだったのか？
[11:14] @User_06accc44: 作画崩壊してみて
[11:15] @User_d582769c: デデンネはパーツ多いんよ……
[11:17] @User_5e6aa1f9: デデンネ=作画崩壊は草
[11:27] @User_25b3691e: 作画崩壊FAは許された
[11:31] @User_a52b5fe5: 最推しは トランセル。たたかう→ かたくなるずっとかたくなる。もはや思想
[11:32] @User_587f9820: 課金で進化は分かりやすい
[11:34] @User_c67ecc82: しずくちゃんのポケモン配信見てみたい
[11:34] @User_b9933007: しずくさんは氷タイプ？
[11:38] @User_d582769c: 地面鋼であってるよ！？パッチラゴンに強いよ！？
[11:39] @User_889b3907: しずくはみずポケモンじゃないの？
[11:43] @User_1e342ee5: たしかに
[11:51] @User_54c0e343: 間に合ったぜ
[11:57] @User_719f9991: あき先生をポケモンにたとえると?
[11:58] @User_75f1c92d: おお
[11:59] @User_9fd2879a: そうなの？
[12:00] @User_1e342ee5: ほう
[12:00] @User_f7596ccf: 完全にポケモンの話題になってて草
[12:04] @User_ec48c74f: インドなのか
[12:06] @User_b9933007: インド？ナマステー
[12:06] @User_d582769c: ブラジル説もあるよ
[12:07] @User_ce97da96: 広いなあ
[12:09] @User_82e93b33: NAWTALKINNGU変えないの？
[12:11] @User_c67ecc82: かわいい
[12:15] @User_25b3691e: かわいい
[12:15] @User_a52b5fe5: いいポケモンの定義を教えてください
[12:17] @User_a55e4add: 600族
[12:18] @User_587f9820: かわいいは正義
[12:19] @User_4cc46891: ミューは？
