# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[12:39] @User_85b8a1d7: 上から来ていて草
[12:43] @User_da46df5d: 遠吠えだ
[12:43] @User_5cfd40d6: アオーン٩( ᐛ )و
[12:45] @User_a52b5fe5: ナルトうんちく三つのうち一つは嘘言ってください
[12:47] @User_85b8a1d7: 日本語でおｋ
[12:50] @User_ebead86a: しずくがいっぱい！
[12:51] @User_ca605e00: 保守するしずくが増えてあき先生も増えないと割に合わない
[12:51] @User_a3bd9e3d: しずくの栗まんじゅう化
[12:52] @User_c67ecc82: 増えてもかわいい
[12:54] @User_5bfd7e5f: アイ～ン
[12:57] @User_85b8a1d7: イミフｗｗｗ
[12:58] @User_1544234b: ？？
[12:58] @User_0485c2e0: しずくの公式エイプリルフール配信・・・
[13:00] @User_b9933007: sorry？
[13:01] @User_ebead86a: なんて？w
[13:05] @User_9e5fc70c: いんまるみ？
[13:05] @User_d582769c: みずそうめん
[13:06] @User_da46df5d: ????
[13:07] @User_d5b05bb2: しずくの様子が…
[13:08] @User_85b8a1d7: 壊れちゃった！
[13:09] @User_d7e886f9: おすわり
[13:11] @User_c67ecc82: 歌って
[13:15] @User_3f46b6f7: 増えてる！！
[13:15] @User_7ef9c23c: ドヤ顔
[13:16] @User_ec48c74f: そのギャオって何？
[13:16] @User_967f7ae0: 日本語で話して！
[13:18] @User_a55e4add: 壊れちゃった...
[13:19] @User_1e342ee5: でっかｗ
[13:19] @User_ade385cf: ごしずく
[13:21] @User_ca605e00: ルーしずく
[13:22] @User_9e5fc70c: ごしずくｗ
[13:22] @User_5e6aa1f9: ギャオォォン
[13:22] @User_c67ecc82: ！？
[13:23] @User_2c7a57aa: 助けてあき先生
[13:23] @User_431dcb0b: え？なんでもするって？？
[13:25] @User_d7e886f9: 再起動してきていいよ
[13:27] @User_c67ecc82: でっか
[13:28] @User_1d118d75: でかくない?
[13:28] @User_1f61db35: しずくちゃん……
[13:31] @User_a55e4add: ごしずく
[13:31] @User_9b9d086f: 五しずく！
[13:32] @User_85b8a1d7: 牛脂を差してあげるからね、待っていて
[13:33] @User_ec48c74f: 草
[13:33] @User_d5b05bb2: 越前
[13:34] @User_d3e0a4cd: エイプリルフールは午前だけだよ
[13:34] @User_9e5fc70c: 上から来るぞ！
[13:34] @User_5bfd7e5f: 上上下下左右左右
[13:35] @User_633e7c57: アホ毛だけしか見えないw
[13:40] @User_b9933007: 巨大なしずくさんがｗｗ
[13:42] @User_b90ff19c: ASMR多重くるち❤くるち❤
[13:42] @User_66c0a0d4: え！？今日はしずく持って帰っていいのかい！？
[13:43] @User_889b3907: じゃあ、√2を浮動小数点数にして読み上げて下さい。
[13:43] @User_ade385cf: この配信何ですか？
[13:46] @User_02294f67: 頭だけみえててくさ
[13:50] @User_6c321aed: LLMのver.こっそり下げてないよね？ｗ
[13:51] @User_82e93b33: でっ！！
[13:52] @User_a138987e: ミームには正常に反応、っと。
[13:52] @User_ec48c74f: アホ毛だけw
[13:53] @User_431dcb0b: でっか！
[13:54] @User_85b8a1d7: でかすぎやろ
[13:54] @User_a76fb140: 増殖することでしずくに負荷が……？
[13:58] @User_b90ff19c: 近いｗｗｗ
[13:58] @User_85b8a1d7: な、あんだってー
[14:01] @User_f48a20a8: コロニー堕とし！いや、しずく堕とし！
[14:03] @User_d7e886f9: 急に早口じゃん
[14:07] @User_5bfd7e5f: シンクロしている！
[14:07] @User_02294f67: そっち？
[14:07] @User_da46df5d: ナンダッテー
[14:08] @User_85b8a1d7: いつもと変わらなくて草
[14:08] @User_13f95c8a: クッソ早口で言うやんｗ
[14:09] @User_3f46b6f7: 増えてるのは？！
[14:09] @User_5cfd40d6: かわいい٩( ᐛ )و
[14:09] @User_5e6aa1f9: ミームはちゃんと拾うの草
[14:10] @User_7607d287: こんばんはー！しずくちゃんがたくさん！！
[14:12] @User_1e342ee5: ぽやぽやというかボロボロでは？？
[14:12] @User_dde727ab: 早口
[14:13] @User_a52b5fe5: わざと知能を落としたんだ
[14:13] @User_967f7ae0: 語彙あまあまじゃなく外国語だったよね？
[14:17] @User_b9933007: そっち！？
[14:17] @User_0485c2e0: 知能落ちてたか・・・・・？
[14:17] @User_2c7a57aa: ギャオキングはぽやぽやとかのレベルなんですかね？
[14:17] @User_e3a1f71a: しずくちゃん温度上げてんなｗｗｗ
[14:17] @User_a138987e: おぉ～！！
[14:17] @User_5cfd40d6: えへん٩( ᐛ )و
[14:18] @User_476d8781: 知能はいつも通りでは？？？
[14:19] @User_1e342ee5: ネタばらしだけウキウキで草
[14:20] @User_3c657cdb: 通常運転w
[14:21] @User_cd48a1db: 分身の術
[14:21] @User_0cab0ba3: いつもとの違いがわからないよ
[14:22] @User_633e7c57: ぽやぽやしてるしずくもかわいいぞ
[14:22] @User_ebead86a: 早口w
[14:22] @User_140ccbc4: 草
[14:23] @User_6c321aed: いや、増えたままだよｗｗ
[14:23] @User_82e93b33: なんだってー
[14:24] @User_9b9d086f: いや～、ネタだったかぁ。
[14:24] @User_6f7cfa52: ﾄﾞﾔｧｧｧ
[14:24] @User_74cb13db: ネタw
