# ライブチャット一覧
# 動画: 【歌枠】AIのしずくが頑張って歌います！【AI Vtube/AIVtuberr】
# URL : https://www.youtube.com/watch?v=iPm9fQT1uVM
# 件数: 1072

[47:56] @User_cf512b08: 素晴らしい！素晴らしい！
[47:56] @User_35f59864: 👏👏👏👏👏👏すごい
[47:56] @User_a50c0606: 👏👏👏👏
[47:57] @User_03c10202: 88888888
[47:58] @User_8936e006: 👏👏👏👏👏
[48:00] @User_9dd656e0: 👏👏👏👏👏
[48:02] @User_595fe723: 👏👏👏👏👏👏
[48:06] @User_9f52356b: 感動🚀🚀🚀感動
[48:11] @User_9453d8e4: しずくはあっという間に人気出ちゃうねぇ
[48:11] @User_36fcf009: マーヴェラス
[48:16] @User_595fe723: 流石伝説
[48:20] @User_5fe0b0fb: サイコー！
[48:21] @User_eab77a86: 👏👏👏👏👏👏👏👏👏
[48:22] @User_51fe3fff: 歌い終えて一言がｗ
[48:25] @User_29327e25: すごい
[48:33] @User_69451bd9: しずくちゃんえらい！！！！
[48:40] @User_f282cfe9: かわいい
[48:40] @User_3d482708: サインww
[48:40] @User_cf512b08: 冷静ｗｗｗ
[48:44] @User_a50c0606: 拍手のサイン！
[48:49] @User_3f363e4c: 草
[48:51] @User_9c0c22ca: 急に冷静
[48:57] @User_fcdfabc0: 伝説ネキ
[48:58] @User_13ee997b: 草
[49:01] @User_63f2ad2d: 拍手喝采！
[49:01] @User_eab77a86: 拍手のサインですよ
[49:04] @User_f282cfe9: パンパカパンパカポー
[49:06] @User_d9fd2b0c: すごい！！カッコイイー！
[49:15] @User_51fe3fff: 👏
[49:20] @User_a30bfcaf: 拍手っ！
[49:25] @User_3a33415e: 歌声、よかったですよ！
[49:26] @User_36fcf009: 今まで拍手と認識出来てなかったのね
[49:43] @User_9c0c22ca: 👏は拍手
[49:43] @User_595fe723: 絵文字って認識できてるのかな
[49:50] @User_36fcf009: 今日はしずくちゃん伝説始まりの日になるなぁ
[49:54] @User_9453d8e4: やっぱりFじゃないか！（憤怒）
[50:01] @User_3a33415e: セトリで笑うｗ
[50:03] @User_99dff901: きたー
[50:09] @User_69451bd9: キラッ☆
[50:10] @User_595fe723: 期待を裏切らない先生
[50:13] @User_36fcf009: これはアキ先生とライオンデュエットフラグかな
[50:17] @User_cf512b08: ご存じないのですか！？
[50:22] @@aki5503: セトリで年代がバレるwww
[50:23] @User_3f363e4c: Fきた
[50:27] @User_03c10202: キラッ★待機～
[50:30] @User_eab77a86: 超時空シンデレラ！！！
[50:53] @User_03c10202: キラッ★
[50:54] @User_9c0c22ca: キラッ★
[50:56] @User_5b20373b: キラッ☆
[50:56] @User_9dd656e0: キラッ
[50:57] @User_3f363e4c: キラッ★
[51:02] @User_cf512b08: 急降下！
[51:03] @User_99dff901: ﾌｸﾞｧｧ
[51:05] @User_3a33415e: キラッ♪
[51:16] @User_7214a7f6: キラッ
[51:36] @User_9c0c22ca: 2010年前後
[52:16] @User_eab77a86: (ﾉゝ∀･)~キラッ☆
[52:16] @User_7214a7f6: キラッ
[52:16] @User_cf512b08: キラッ★
[52:18] @User_595fe723: キラッ☆
[52:19] @User_03c10202: キラッていった！
[52:53] @User_eab77a86: ヤックデカルチャー！
[53:20] @User_f282cfe9: 💙💙💙💙💙
[53:29] @User_9453d8e4: 👏👏👏👏👏
[53:29] @User_9c0c22ca: さっきより悲しみ減ってる
[53:31] @User_0d9f165f: おっ　歌ってんねぇ
[53:36] @User_03c10202: 88888888
[53:39] @User_1e9abcba: 👏👏👏👏👏👏👏
[53:41] @User_595fe723: 👏👏👏👏👏
[53:43] @User_36fcf009: 👏👏👏👏👏
[53:44] @User_9264776f: こんばんはー素晴らしい！！
[53:48] @User_9c0c22ca: 👏👏👏👏👏
[53:49] @User_cf512b08: 超時空シンデレラ、しずくちゃん！！！！！
[53:51] @User_9264776f: 👏👏👏👏👏
[53:51] @User_63f2ad2d: 👏👏👏👏👏👏
[53:52] @User_3a33415e: 👏👏👏
[53:53] @User_9718b3e2: 88888888
[53:55] @User_36fcf009: ヤックデカルチャー
[54:00] @User_f282cfe9: 👏👏👏👏👏👏👏👏
[54:02] @User_ff1c78bd: 👏👏👏👏👏
[54:03] @User_eab77a86: 👏👏👏👏👏👏👏👏👏👏👏
[54:06] @User_fcdfabc0: excellent！
[54:08] @User_a30bfcaf: 👏👏👏👏👏👏👏👏👏
[54:08] @User_9dd656e0: 👏👏👏👏
[54:09] @User_7214a7f6: 👋👋👋👋
[54:23] @User_eab77a86: ヤックデカルチャー！
[54:26] @User_9f52356b: うますぎ泣いた
[54:34] @User_99dff901: 888888
[54:38] @User_7214a7f6: こちらも感動した
[54:51] @User_51fe3fff: わーい！
[54:51] @User_69451bd9: わーいかわいい
[55:01] @User_3f363e4c: 英語読めるのすごい
[55:05] @User_595fe723: 拍手と認識してるっぽいな
[55:18] @User_32d304cd: どんどん練習したらどうなるだろう…
[55:33] @User_9f52356b: えらい子ねぇ
[55:47] @User_9c0c22ca: 紅白出れそう
[55:47] @User_9453d8e4: 一瞬同接７５人くらいいったよー凄い
[55:50] @User_7199fff9: こんばんは。
[55:55] @User_13ee997b: すごい！
[56:00] @User_3a33415e: トーク時と歌声の違いはどうなってるんだろう？
[56:13] @User_9f52356b: 喜びを共有しよう！
[56:33] @User_99dff901: すごい
[56:37] @User_eab77a86: スカボロー・フェア
[56:38] @User_cf512b08: なんでも歌えるなぁ！
[56:40] @User_3a33415e: 英語の歌きたー！　サイモン6
[56:46] @User_f282cfe9: 良い歌声すぎる
[56:50] @User_3f363e4c: 日本語以外も歌えるのすごいな
[56:51] @User_7747a8c2: 選曲神
[56:54] @User_9f52356b: :face-red-heart-shape::face-red-heart-shape:
[57:00] @User_9dd656e0: なんでも歌えてすごい
[57:07] @User_5cea865e: super ldoi
[57:08] @User_0d9f165f: ずいぶんきれいに歌うんだな　喋らすとはテクノロジーが違うんだろうか　全然わからん
[57:24] @User_8936e006: 素敵…！
[57:49] @User_3a33415e: 感心してしまう……
[58:05] @User_cf512b08: いい声で歌うなぁ
