# ライブチャット一覧
# 動画: 【AIギャルゲー】今から夜の学校に行きましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=NZqThyMZScI
# 件数: 3577

[5:51] @User_ae2eb658: 幽霊はいると思う？
[5:52] @User_9e083963: あんま恐くねーし
[5:53] @User_439eeb5c: 怖くなったら俺にしがみついても良いよ
[5:53] @User_f3f575ff: 頼もしいしずく
[5:54] @User_34a668f7: 背中借ります！
[6:00] @User_4e1eed25: どんな可愛いオバケが出てくるか、楽しみですね
[6:02] @User_174e5121: 肝試しほんと懐かしいね。そういうの今もしっかり残ってるのかな
[6:02] @User_25013fcd: でも、しずくには肝がないじゃん
[6:02] @User_4ab21f9e: ところで、校舎って勝手に入っていいの？
[6:03] @User_78eb35f9: 怖くなったらしずくにだきついちゃうかも
[6:04] @User_570f8c07: 怖いから手繋ごう
[6:07] @User_4d29dc7f: AIもお化けは怖い？
[6:09] @User_46e02420: 3回連続読み上げるなんて嬉しいけど
[6:09] @User_af0e3cda: じゃあしずくに隠れる前提で今すぐにでも出発しよう！
[6:10] @User_b1a4d099: しずくバリアーで守ってね
[6:10] @User_5a8f2726: 肝試し・・苦手だ・・
[6:10] @User_ab2ca8bb: 虫除けは塗ったかい？しずくの肌に虫刺され跡が付いたら大変だ
[6:14] @User_fab1b39a: しずくの体の大きさだとはみでちゃうんじゃないかな
[6:15] @User_3dd3ce80: お化けなんていない
[6:16] @User_7c724004: 暗い場所平気
[6:17] @User_ed96fafc: 間に合った
[6:17] @User_36770ee1: お化け役やらせて
[6:17] @User_34ca40de: ちょっと怖いかも
[6:18] @User_0d1d0f63: 覚悟OKでしゅ
[6:20] @User_5b45dc14: オバケなんて無いさ…
[6:22] @User_03637d98: 何かあってもしずくの傍にいるよ
[6:23] @User_9e836a5d: 覚悟完了
[6:24] @User_4831f3f7: こわいからずっとしずくにくっつくね
[6:28] @User_174e5121: あってはならない何かが見えちゃうかもよ？
[6:30] @User_a2b794ac: しずく、怖くなったらいつでも抱き着いていいからな、俺が怖いわけじゃないからな
[6:31] @User_8e3127a7: 別に怖くないけど、しずくのために手を繋いでおこう
[6:33] @User_02dcd327: 肝試し前の怪談話がいい感じに気分を盛り上げるんですよねぇ。
[6:33] @User_34ca40de: 頼もしい
[6:34] @User_4ab21f9e: 俺が守るよ！ほんとだよ！
[6:35] @User_98815a23: しずくと一緒ならどこでもこわくないもんね
[6:38] @User_92c2a2e1: ては握っててくれるよね
[6:38] @User_b68b8d0b: ちょっと遅刻しちゃった　こんばんはしずくさん
[6:38] @User_7c724004: むしろ自分の後ろでゆっくりとして
[6:38] @User_96455de9: しずくは怖くないの？
[6:41] @User_46e02420: しずくちゃんの後ろというのもカッコつかない^^;
[6:41] @User_af0e3cda: しずくが頼もしい！
[6:42] @User_65723f47: 電脳空間の幽霊は魂なのか？
[6:42] @User_e4d561af: お化けの代わりにUMA探さない？
[6:45] @User_b1a4d099: ご主人様がいっぱい過ぎて逆にホラーでは？
[6:50] @User_61396d22: 幽霊の発生原理が知りたい
[6:50] @User_17e4818c: 守ってね
[6:52] @User_8de6d278: もはや軍勢で草
[6:53] @User_02dcd327: ご主人様が一人、また一人と姿を消していく夜……
[6:54] @User_3dd3ce80: しずくビームとかで幽霊やっつけてもろて
[6:57] @User_7536f8b5: どちらかってーとこちらのほうが百鬼夜行感がw
[6:57] @User_f3f575ff: 味方だよ
[6:58] @User_ab2ca8bb: べべべ、別に怖くなんて無いんだからね！
