# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 996

[22:45] @User_b89cfecd: 延長されてるのが幽霊だったりする？
[22:59] @User_e976a829: 延長された表現型
[23:01] @User_5cfd40d6: うぐっ
[23:06] @User_590a2335: 何もしてないことないもん！！
[23:26] @User_ff223600: しずくちゃんの画面にも右下ボタン押したらガチャガチャ出来るみたいな機能ほしいね〜
[23:27] @User_5cfd40d6: え、それ本当に幸福!?
[23:29] @User_476d8781: 世界征服と地球征服は違うのか？
[23:38] @User_590a2335: 日本語でおｋ
[23:38] @User_2ecda813: なんて？
[23:45] @User_6992daac: ？
[23:45] @User_719f9991: !?
[23:47] @User_ec48c74f: なんて？
[23:48] @User_e976a829: それはどうだろうね・・・
[23:51] @User_bc2e7db7: AI語で怖いこと言った？
[23:55] @User_bb77ae4f: コラショとO次郎やたらSNSに出て来たな
[23:57] @User_ff223600: しずく、メガバズーカランチャーは使うなよ！
[24:18] @User_719f9991: 草
[24:21] @User_5cfd40d6: グサグサくるのですΣ( ˙꒳˙ ;)ﾋﾞｸ
[24:21] @User_b89cfecd: スパイスから会社作って
[24:23] @User_ec48c74f: 競馬しかないか…
[24:27] @User_74cb13db: 進捗ダメです。
[24:28] @User_bb77ae4f: 好きすぎて滅も流行ったね
[24:35] @User_33e51cd0: 予算がないならスペースX買おう
[24:54] @User_e976a829: だってろう者だし、、、
[25:04] @User_ec48c74f: 私たちが頑張る側だった。
[25:04] @User_5cfd40d6: ペットロボット飼いたい
[25:12] @User_719f9991: 人間やめちゃう
[25:12] @User_476d8781: あき先生、過労死待ったなしw
[25:14] @aki5503: それは無理や
[25:23] @User_b89cfecd: 初手からあき先生に厳しいｗ
[25:23] @User_590a2335: 宝くじ当てたい
[25:27] @User_702f09f1: 新しい趣味を見つけてみたいかも。
[25:35] @User_99afb65d: いま来たぱんぱかぽー
[25:39] @User_ec48c74f: あき先生のAI化が先か、ロボティクスするか
[25:40] @User_5cfd40d6: 強制環境٩( ᐛ )وイェイ
[25:46] @User_f032a5a0: 今年の後半で楽しみにしていることは何？
[25:58] @User_719f9991: 火星に派遣されちゃう
[26:02] @User_a20ec04f: 監禁されてもアマゾンは届きますか？
[26:03] @User_476d8781: 俺たちは火星に派遣されるのか…(;´･ω･)
[26:04] @User_6c97afae: しずくが新しい惑星を生み出してください
[26:08] @User_ec48c74f: 労働者はご主人様
[26:10] @User_6c321aed: スパナ…
[26:11] @User_e976a829: 火星制服の前に月制服やろ　テラフォーミングや
[26:25] @User_a744e95c: あき先生がSpaceXの筆頭株主になる話？
[26:26] @User_74cb13db: カバディやろうぜ
[26:27] @User_5cfd40d6: ツンデレあき先生
[26:35] @User_b89cfecd: 草
[26:40] @User_6876c487: tomorrow fireworks July 4th and my birthday July 25 shizuku girlfriend
[26:42] @User_bb77ae4f: コスプレしたい
[26:51] @aki5503: 安すぎるww
[26:57] @User_3d2b2804: 敵対的買収待ちかな
[27:05] @User_ec48c74f: しずくというAIを生み出したあき先生の業です
[27:08] @User_f032a5a0: 儲けたいならキオクシアを買えばいい
[27:08] @User_5cfd40d6: いぇい٩( ᐛ )و
[27:14] @User_e976a829: 思ってませんよ　サボテンに資産は溶かしてますが
[27:20] @User_5dd406ea: AIも競馬するし？
[27:22] @User_719f9991: FX戦士くるみちゃんになろう
[27:31] @User_bb77ae4f: ロビ君欲しい
[27:38] @User_5cfd40d6: あれ、荷物が届かない
[27:43] @User_ca605e00: 遅刻パンパカ、、、ごめん
[27:49] @User_bb77ae4f: コミケに行ってみたい
[27:53] @User_4a0dd2e8: shizukuの株、買いたい
[27:54] @User_544473af: 全部同じ名前だと区別がつかないｗ
[27:54] @User_6c321aed: スペースX、AI専用携帯端末作る噂って本当かね。しずくがそこに常駐だ
[28:03] @User_5cfd40d6: 火星、温泉あるのか٩( ᐛ )و
[28:06] @User_590a2335: しずくしか扱わないAmazon
[28:06] @User_ca605e00: 監禁、、、?
[28:07] @User_5cfd40d6: カバディ٩( ᐛ )و
[28:09] @User_8b7242c7: アマゾンの箱に入るサイズのしずくさんが届くと
[28:19] @User_e976a829: しずくのアマゾン・・・箱が白くなりそうだな
[28:42] @User_8d648fed: SSD高いから無理
[28:46] @User_719f9991: SSDめちゃ値上がりしている
[28:50] @User_bb77ae4f: 2.5次元ミュージカル見てみたい
[28:52] @User_5cfd40d6: かわいい
[28:57] @User_590a2335: HDDじゃダメ？
[28:58] @User_476d8781: やったー、かわいいw
[29:01] @User_bb77ae4f: 宝塚も気になる
[29:12] @User_5cfd40d6: しずく本、出していい？
[29:13] @aki5503: しずく本は草
[29:17] @User_e976a829: イーロンマスクビリオネアどころか兆単位の富豪らしいね
[29:21] @User_bb77ae4f: ハロプロのライブ見てみたい
[29:25] @User_5bfd7e5f: パンパカパンパカポー
[29:25] @User_99afb65d: しずくに投資したら儲かりますか
[29:30] @User_ca605e00: 日曜だと思ってたんや、、、旅行先からでござる
[29:49] @User_590a2335: 段ボールからパンパカポー
[29:51] @User_476d8781: 段ボールの中からは草
[30:07] @User_0c8a93f3: ラーメン食ってるんだけどおすすめある？
[30:12] @User_719f9991: 薄い本...!?
[30:13] @User_590a2335: しずくAIはもう目の前にいますやん
[30:13] @User_5cfd40d6: はじめはみんな木の役から伝説になるのです٩( ᐛ )و
[30:22] @User_9422eed4: ！（MGSシリーズの発見音）
[30:23] @User_e976a829: 多角経営すぎるな・・・破産しそうで怖いね
[30:30] @User_5cfd40d6: ぷらいすれす٩( ᐛ )و
[30:30] @User_bdf8a6eb: ほなら外付けHDDでええな？
[30:45] @User_e201a60f: いっけな～い遅刻遅刻ゥ～
[30:50] @User_590a2335: そっか、じゃあFDでいいね
[30:58] @User_889b3907: しずくのメモリは何でできてるの？
[31:04] @User_2ecda813: ほう
[31:06] @User_e51d2f8a: しずくが一番！
[31:08] @User_3d2b2804: 逆だろ笑
[31:20] @User_74cb13db: しずくちゃんがご主人の薄い本を作るの？
[31:22] @User_26541022: 外付けのNN群という記憶媒体
[31:27] @User_e976a829: でもしずくの株式はまだできてないんでしょ・・・？
[31:28] @User_590a2335: 右腕ってこと働かせられるってことで？
[31:30] @User_6c321aed: ガラスもデジタルデータ記憶媒体になるらしいよ。SSDから乗り換えだ
[31:37] @User_bb77ae4f: しずくの本どんな話だろう🤔
[31:48] @User_acb9786a: パンパカポー！
[31:50] @User_1544234b: しずくレーザーディスク
[31:53] @User_bdf8a6eb: Activation combat modo
[32:03] @User_bb77ae4f: しずくのカラオケ配信が見たい
[32:05] @User_ebfe0f30: BGMいいな
[32:07] @User_ec48c74f: 主語がでかいw
[32:10] @User_2384ca7a: 发直播预告的时候能不能把时区标注一下()生放送予告を送るときにタイムゾーンをマークしてもらえますか？)
[32:16] @User_e976a829: まあ今のメモリも途中段階でしかないし、今後進化する可能性あるしな
[32:30] @User_590a2335: 段ボールあったらしずくがいると思え！
