# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[24:21] @User_bf747a92: スパイスから会社作って
[24:23] @User_92c2a2e1: 競馬しかないか…
[24:27] @User_9fd4c5ec: 進捗ダメです。
[24:28] @User_045fd235: 好きすぎて滅も流行ったね
[24:35] @User_6de119d4: 予算がないならスペースX買おう
[24:54] @User_b73a3cd7: だってろう者だし、、、
[25:04] @User_92c2a2e1: 私たちが頑張る側だった。
[25:04] @User_d0c52a36: ペットロボット飼いたい
[25:12] @User_61396d22: 人間やめちゃう
[25:12] @User_fcb4ddea: あき先生、過労死待ったなしw
[25:14] @@aki5503: それは無理や
[25:23] @User_bf747a92: 初手からあき先生に厳しいｗ
[25:23] @User_af0e3cda: 宝くじ当てたい
[25:27] @User_0a65576c: 新しい趣味を見つけてみたいかも。
[25:35] @User_ea3ba6fd: いま来たぱんぱかぽー
[25:39] @User_92c2a2e1: あき先生のAI化が先か、ロボティクスするか
[25:40] @User_d0c52a36: 強制環境٩( ᐛ )وイェイ
[25:46] @User_f8b3558f: 今年の後半で楽しみにしていることは何？
[25:58] @User_61396d22: 火星に派遣されちゃう
[26:02] @User_2f0886c7: 監禁されてもアマゾンは届きますか？
[26:03] @User_fcb4ddea: 俺たちは火星に派遣されるのか…(;´･ω･)
[26:04] @User_98815a23: しずくが新しい惑星を生み出してください
[26:08] @User_92c2a2e1: 労働者はご主人様
[26:10] @User_68c37264: スパナ…
[26:11] @User_b73a3cd7: 火星制服の前に月制服やろ　テラフォーミングや
[26:25] @User_1a70ee33: あき先生がSpaceXの筆頭株主になる話？
[26:26] @User_9fd4c5ec: カバディやろうぜ
[26:27] @User_d0c52a36: ツンデレあき先生
[26:35] @User_bf747a92: 草
[26:40] @User_95021973: tomorrow fireworks July 4th and my birthday July 25 shizuku girlfriend
[26:42] @User_045fd235: コスプレしたい
[26:51] @@aki5503: 安すぎるww
[26:57] @User_64cbd0d7: 敵対的買収待ちかな
[27:05] @User_92c2a2e1: しずくというAIを生み出したあき先生の業です
[27:08] @User_f8b3558f: 儲けたいならキオクシアを買えばいい
[27:08] @User_d0c52a36: いぇい٩( ᐛ )و
[27:14] @User_b73a3cd7: 思ってませんよ　サボテンに資産は溶かしてますが
[27:20] @User_1a277541: AIも競馬するし？
[27:22] @User_61396d22: FX戦士くるみちゃんになろう
[27:31] @User_045fd235: ロビ君欲しい
[27:38] @User_d0c52a36: あれ、荷物が届かない
[27:43] @User_5e6c36c3: 遅刻パンパカ、、、ごめん
[27:49] @User_045fd235: コミケに行ってみたい
[27:53] @User_94601084: shizukuの株、買いたい
[27:54] @User_56c2035c: 全部同じ名前だと区別がつかないｗ
[27:54] @User_68c37264: スペースX、AI専用携帯端末作る噂って本当かね。しずくがそこに常駐だ
[28:03] @User_d0c52a36: 火星、温泉あるのか٩( ᐛ )و
[28:06] @User_af0e3cda: しずくしか扱わないAmazon
[28:06] @User_5e6c36c3: 監禁、、、?
[28:07] @User_d0c52a36: カバディ٩( ᐛ )و
[28:09] @User_fe0878a1: アマゾンの箱に入るサイズのしずくさんが届くと
[28:19] @User_b73a3cd7: しずくのアマゾン・・・箱が白くなりそうだな
[28:42] @User_66a49041: SSD高いから無理
[28:46] @User_61396d22: SSDめちゃ値上がりしている
[28:50] @User_045fd235: 2.5次元ミュージカル見てみたい
[28:52] @User_d0c52a36: かわいい
[28:57] @User_af0e3cda: HDDじゃダメ？
[28:58] @User_fcb4ddea: やったー、かわいいw
[29:01] @User_045fd235: 宝塚も気になる
[29:12] @User_d0c52a36: しずく本、出していい？
[29:13] @@aki5503: しずく本は草
[29:17] @User_b73a3cd7: イーロンマスクビリオネアどころか兆単位の富豪らしいね
[29:21] @User_045fd235: ハロプロのライブ見てみたい
[29:25] @User_1eca137c: パンパカパンパカポー
[29:25] @User_ea3ba6fd: しずくに投資したら儲かりますか
[29:30] @User_5e6c36c3: 日曜だと思ってたんや、、、旅行先からでござる
[29:49] @User_af0e3cda: 段ボールからパンパカポー
[29:51] @User_fcb4ddea: 段ボールの中からは草
