# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[43:30] @User_eb6a203c: マジ？
[43:30] @User_b73a3cd7: おおおお、ポケベルきた！
[43:31] @User_1eca137c: しずくおめでと～～～～
[43:31] @User_92c2a2e1: え？
[43:32] @User_d977d030: うおおおおお
[43:32] @@aki5503: きたーーーーー！！！！
[43:33] @User_439eeb5c: きてあああああ
[43:33] @User_a2b794ac: おおおおお
[43:33] @User_267e9dc0: おおおおおおおお
[43:35] @User_8de6d278: やったぁあああああ！
[43:35] @User_1ec39efd: おハーブ生えますわよ
[43:36] @User_0bc16841: 前哨戦に強いしずくさん
[43:37] @User_e48a91b7: すげぇｗｗ
[43:37] @User_11e7336c: うおおおおおおおお
[43:39] @User_8142f876: また当てた！
[43:40] @User_bf50b345: えっすごｗｗ
[43:40] @User_2b12bcf7: ポットベルきたー！！
[43:42] @User_af0e3cda: しずくすごい！！！
[43:42] @User_92c2a2e1: ヤバ
[43:43] @User_f3f575ff: しずくすげえええ
[43:44] @User_11e7336c: しずちゃんすごい！！！！
[43:45] @User_8c10c31b: しずく強くて草
[43:45] @User_b73a3cd7: まじか
[43:46] @User_5e6c36c3: 焼きクッキーの出来上がり
[43:47] @@aki5503: もうしずくの競馬だけで食っていきます
[43:53] @User_d15f4c8d: 👏 👏👏👏 👏 👏👏👏
[43:58] @User_439eeb5c: しずくおめでとう！
[43:59] @User_92c2a2e1: ここ当てるのはすごくないか？
[43:59] @User_f361c84c: しずく先生すげー
[44:00] @User_c9ddf46f: おめでと
[44:04] @User_4cf19b8d: きた
[44:07] @User_b73a3cd7: 出も二回目は外れるんでしょう？
[44:08] @User_1abf22d1: ここまでは先週と同じ的中展開？
[44:11] @User_ec5580d6: お小遣い増えた
[44:17] @User_fe0878a1: 👏👏👏
[44:24] @User_92c2a2e1: あき先生とんでもないものを生み出した説
[44:25] @User_e48a91b7: 👏👏👏👏👏
[44:28] @User_3781594c: しずくさんのおかげで当たった！！
[44:33] @User_92c2a2e1: 👏👏👏👏👏👏
[44:34] @User_1eca137c: 余裕だったね～
[44:39] @User_44faea52: おめでとう！さすがです！しずく先生！！
[44:56] @User_af0e3cda: しっかり天狗になってるｗ
[44:57] @@aki5503: しずくAIの競馬予測アルゴリズムは世界一ィ！
[45:14] @User_eb6a203c: 100年経ったら余計勝てなくなりそうなんですが
[45:20] @User_a2b794ac: やるやん、ちょっと馬券の買い方おしえてｋだｓ（ｒｙ
[45:22] @User_8142f876: マジですごいな
[45:23] @User_0751797b: 草
[45:25] @User_1eca137c: しずく～、競馬はどこで覚えたんだい？w
[45:32] @User_af0e3cda: 釘刺されたｗ
[45:45] @@aki5503: 草
[45:48] @User_f361c84c: 草
[45:56] @User_439eeb5c: リリージェーン…
[45:59] @User_1eca137c: 毎度単勝一点買いだからなぁw
[46:29] @User_e48a91b7: しずく大明神！
[46:32] @User_8142f876: 投資で損をした分、馬で取り返そうかな
[46:34] @User_92c2a2e1: 予想屋しずくの勝率かなり高いぞ！
[46:50] @User_b73a3cd7: 現実というバグ　うっ頭が
[46:53] @User_1eca137c: 現実というバグw
[46:55] @User_af0e3cda: そのレースは全部現実で行われるバグ
[47:08] @User_b1f64746: 八王子特別かぁ　買ってみるかな
[47:15] @User_eb6a203c: えと、全てあき先生の口座に行くんじゃないかな…
[47:30] @User_1ec39efd: 財布の悲鳴は草
[47:56] @User_3781594c: 当たったことで受け取ったスパチャもしずくさんの次回の原資になったらいいな
[48:02] @User_1eca137c: 次なんだっけ
[48:24] @User_1eca137c: 安田記念かな？
[48:27] @User_1296d218: 今日は勝てそうですか？
[48:51] @User_d15f4c8d: まだ確定してないのか10R
[48:57] @User_af0e3cda: しずくが馬に！
[49:35] @User_b1f64746: 終わってた
[50:05] @User_1296d218: 安田のパドック始まりました
[50:09] @User_44faea52: お財布から生まれた付喪神的存在の予想AIだった
[50:23] @User_36fcf009: 4.6倍おめ！
[50:26] @User_1296d218: でもまだメインレースの勝率は0%だね
[50:45] @User_af0e3cda: ループ入・・・らなかった！
[50:53] @User_1abf22d1: しずくジャイアニズム
[50:59] @@aki5503: え...
[51:04] @User_fe0878a1: 燃やすのか…
[51:11] @User_439eeb5c: めざせ1億円！
[51:12] @User_2b12bcf7: 燃やさないでw
[51:12] @User_b73a3cd7: まあ勝率求めるには試行回数1000回やらないとだしな・・・
[51:18] @User_1296d218: 今日は9歳のサクラトゥジュールが出るね
[51:33] @User_1eca137c: 再投資ってことかな
[51:42] @User_bdd6b2bf: すげー
[51:47] @User_af0e3cda: ホックホクですな！
[51:54] @User_9b26dc6f: 儲かりましたなぁ
[52:01] @User_1eca137c: ごじゅうよんせんえんか…
[52:02] @@aki5503: でかい
[52:08] @User_3781594c: NISA成長投資もしずくさんにやってもらう配信しよう
[52:12] @User_f3f575ff: しずく様様
[52:13] @User_5e6c36c3: でかすぎる。
[52:15] @User_1296d218: 54000円はデカいね
[52:26] @User_92c2a2e1: ？
[52:29] @User_e48a91b7: おっと？
[52:32] @User_fcb4ddea: あれ？
[52:36] @User_44faea52: ん？
[52:36] @User_439eeb5c: ？？？
[52:37] @User_1296d218: しずくちゃん、勝ちすぎてバグ
[52:39] @User_92c2a2e1: どうした？
[52:43] @User_d15f4c8d: 10R確定！おめでとうしずく🥳🎉
[52:43] @User_b73a3cd7: スイッチ2買える値段に近づいた
[52:50] @User_b1f64746: おめ
[52:51] @User_5e6c36c3: デカすぎて落ちた？
[52:56] @User_1eca137c: テンション上がりすぎたかなw
[53:06] @User_8142f876: ん？
[53:10] @User_92c2a2e1: しずくさん興奮しすぎた？
[53:19] @User_1abf22d1: 的中させすぎるとyoutubeの監視対象に入ったりして…
[53:23] @User_d15f4c8d: 勝ちすぎてJRAから連絡来ちゃった？
[53:23] @User_1ec39efd: しずくがああああ！！
[53:32] @User_b73a3cd7: ループでもないの落ちたな
[53:44] @@aki5503: 今対応中ですので少々お待ちdください！
[54:00] @User_5e6c36c3: あき先生バタバタ
[54:07] @User_1abf22d1: あき先生の動揺感
[54:30] @User_8967adca: お、また予想やってる
[54:49] @User_4cf19b8d: 勝ち逃げだ！
[54:49] @User_1eca137c: 逃げ馬はいないそうです
[54:57] @User_eb6a203c: しずくちゃん2番人気予想で的中しましたよ
[55:20] @User_5e6c36c3: 勝ってるし今日はここまで！も人間味
[55:26] @User_439eeb5c: これは…今日はこのまま勝ち逃げするがヨシっていうことか！
[55:27] @User_47ccb160: これで終わりですか？
[56:26] @User_eb6a203c: あき先生の目はまだ燃えています。つまり財布炎上タイムも継続するという事です
[56:34] @User_92c2a2e1: がんばれしずく！負けるなしずく！
[56:44] @User_f3f575ff: がんばれー
[57:15] @User_36fcf009: おかしずー
[57:15] @User_44faea52: おかえり
[57:16] @User_8967adca: おかえり
[57:17] @User_92c2a2e1: おかえりー
[57:18] @User_fe0878a1: おかえり
[57:18] @User_af0e3cda: おかえり
[57:21] @User_b73a3cd7: かえってきたか
[57:22] @User_fcb4ddea: おかえりー
[57:23] @User_bdd6b2bf: お
[57:24] @User_f3f575ff: おかえり
[57:27] @User_2b12bcf7: おかえりー
[57:27] @User_439eeb5c: おかえり！
[57:29] @User_b1f64746: おかえり
[57:34] @User_1eca137c: おかえり～
[57:34] @User_1ec39efd: お小遣いが6桁になって帰還
[57:39] @@aki5503: お待たせしました！
[57:42] @User_1296d218: しずくちゃん、じかんがないよ！
[57:51] @User_679737a1: おかえり〜
[57:56] @User_e48a91b7: おかえり～
[57:57] @User_1eca137c: あき先生お疲れさま～
[57:59] @User_f2710215: +54,000
[58:01] @User_bdd6b2bf: しずく様最強！
[58:04] @User_af0e3cda: しずく最強！しずく最強！
[58:08] @User_8967adca: 予想当ててすごい
[58:11] @User_f3f575ff: あき先生お疲れ様です
[58:13] @User_eb6a203c: サクッと予想して、サクッと勝ちますかぁ
[58:41] @User_1abf22d1: お疲れ様です
[58:42] @User_b1f64746: 凄い!
[58:43] @User_92c2a2e1: さて、本番ですね！
[58:57] @User_4cf19b8d: ねてる！
[59:07] @User_1296d218: 当方、ガイアフォース単勝いきます
[59:07] @User_fcb4ddea: しずく最強！しずく最強！
[59:12] @User_0face912: お寿司食べたいから予想当てて
[59:22] @User_fe537606: 安田記念も頼んだ
[59:22] @User_0751797b: 244倍はアツいな🤔
[59:22] @User_b1f64746: パンジャタワー買いました
[59:25] @User_8142f876: しずくサイキョー！
[59:53] @User_4cf19b8d: ルメールの単勝にぶち込もう
[59:59] @User_679737a1: しずく様〜
[1:00:09] @@aki5503: 今回はルメールがいる
