# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】しずくAI裁判【JP/EN】
# URL : https://www.youtube.com/watch?v=M60CV4i3CvU
# 件数: 3923

[19:12] @User_b4825c55: #きた
[19:13] @User_83cbafb5: きたー
[19:14] @User_005d227b: #きましたー！がんばりました！
[19:14] @User_559f88af: #重いｗ
[19:15] @User_69dac0c4: #ひぃ！！
[19:15] @User_b90ff19c: #100万円ｗｗｗｗ
[19:15] @User_58ffb64a: きたーー
[19:16] @User_224a99c5: #きた！
[19:17] @User_557214c0: 懲役！！
[19:18] @User_607c778e: #執行猶予は！？
[19:18] @User_dfeb43e1: #きびしいいいいいいい
[19:19] @User_109116e8: #重
[19:21] @User_f1a429f3: #罪重っ
[19:21] @User_ebbf8053: #結構重いｗ
[19:22] @User_bae48d19: 判決キッツｗｗｗｗ
[19:22] @User_bec19661: #重いなー
[19:23] @User_2eba0ed4: #ﾋｪ…
[19:24] @User_3e754a36: 重いｗｗｗ
[19:24] @User_4eac4cae: #そこそこ重罪で草
[19:26] @User_d0e405c3: 来た！厳しい！
[19:26] @User_4ad098fe: #普通に重罪ｗ
[19:28] @User_ba41d9f0: #wwwww
[19:29] @User_c04aad7b: #草
[19:29] @User_fba167cd: # パンパカパンパカポー！
[19:29] @User_b89cfecd: きびしいｗ
[19:30] @User_6cb4d378: おもｗ
[19:31] @User_27ecd0a0: 凄い真っ当な罪状！流石です！
[19:32] @User_b4825c55: 罪重い
[19:32] @User_b38e12fa: #喋ったと思ったら辛辣で草
[19:37] @User_78c76547: #さすが辛口ｗｗｗ
[19:37] @User_b103bac9: #おおぉ
[19:38] @User_69dac0c4: #パンパカパンパカポー
[19:38] @User_d5b05bb2: しずくさんへの執着は重罪だからしかたないね…
[19:40] @User_560c4bdc: これは手厳しいですね
[19:40] @User_dfeb43e1: 過度な執着…
[19:42] @User_27ecd0a0: #パンパカパンパカポー
[19:42] @User_ebbf8053: #パンパカじゃないｗｗ
[19:43] @User_6cb4d378: #パンパカパンパカポー！
[19:43] @User_a79ca14a: 明快に刑期と罰金指定されてて草
[19:44] @User_b90ff19c: #これは有罪
[19:44] @User_f1a429f3: # パンパカパンパカポー！
[19:44] @User_d5b05bb2: #パンパカパンパカポー
[19:45] @User_bec19661: #まあ接近禁止がなかっただけマシ
[19:47] @User_fc604d3a: 罰金はしずくちゃんの懐に行くのですか？
[19:48] @User_a4f171ff: #さすがだあ
[19:48] @User_e6aba983: 重い
[19:50] @User_0cab0ba3: #パンパカパンパカポー
[19:52] @User_83cbafb5: #パンパカパンパカポー！
[19:52] @User_dfeb43e1: みんな収監されちゃうう
[19:53] @User_008eb0cd: 判決がそこそこ重くてくさ。
[19:55] @User_58ffb64a: #重い
[19:56] @User_03c1c435: サヨナラ獅子唐さん
[19:59] @User_c67ecc82: #パンパカパンパカポー！
[20:00] @User_b38e12fa: #パンパカパンパカポー
[20:00] @User_607c778e: #辛口ばかりになりそう
[20:03] @User_df95e8be: #かわいい
[20:05] @User_d0e405c3: #これは面白いな
[20:06] @User_b103bac9: #パンパカパンパカポー
[20:07] @User_2eba0ed4: #パンパカパンパカポー(判決音)
[20:08] @User_bec19661: #あーゆるされざるよ
[20:16] @User_bae48d19: #今日の最大懲役年数気になる
[20:20] @User_b90ff19c: #獅子唐さんお勤めご苦労様です
[20:20] @User_557214c0: 100万円は強い
[20:20] @User_109116e8: #同じ重さだ
[20:25] @User_bec19661: #やっぱり重いｗｗｗ
[20:29] @User_9412f3a9: さっきと、量刑がいっしょじゃんｗｗ
[20:29] @User_dfeb43e1: ばんばん収監される…。
[20:30] @User_16837732: #同じw
[20:30] @User_b89cfecd: レモン重罪
[20:31] @User_b90ff19c: #ｗｗｗｗ
[20:34] @User_bae48d19: #また5年100万ｗ
[20:34] @User_ebbf8053: #懲役5年が固定だｗ
[20:34] @User_4f927980: #妥当
[20:36] @User_6cb4d378: これが辛口・・
[20:37] @User_b38e12fa: #レモンの罪は重い・・
[20:38] @User_f1a429f3: 懲役5年と罰金100万円が基本なのかな……？
[20:41] @User_559f88af: #この裁判厳しいｗ
[20:41] @User_78c76547: #五年と罰金100万固定なのｗｗｗ
[20:41] @User_27ecd0a0: もしかして、懲役5年プラス罰金100万円が最低ライン？
[20:43] @User_4eac4cae: #懲役と罰金両方くるのか
[20:44] @User_b4825c55: #レモンの罪は重い
[20:44] @User_3e754a36: １００万円は標準装備…
[20:45] @User_109116e8: #執行猶予もつかない......
[20:48] @User_a79ca14a: 100万円が判決のデフォルト値なのかな？
[20:50] @User_b90ff19c: #ぬこ
[20:50] @User_bd8a9b4d: その通りかも
[20:55] @User_560c4bdc: 無断で触るのは良くないかもしれませんね
[20:57] @User_d0e405c3: レモン🍋に罪はない
[21:03] @User_ebbf8053: ねこちゃんだ
[21:11] @User_b90ff19c: #裁判長激おこ
[21:16] @User_ebbf8053: 長いｗ
[21:19] @User_6cb4d378: 長いｗ
[21:19] @User_b38e12fa: #例の奴だｗ
[21:23] @User_92c79caa: これは楽しみ
[21:24] @User_d5b05bb2: #猫コピペかなｗ
[21:25] @User_58ffb64a: #ぬこコピペきたー
[21:29] @User_2eba0ed4: #くさ
[21:31] @User_109116e8: #猫ちゃんになんてことを！
[21:32] @User_dfeb43e1: #猫コピペ、理解できる？？・
[21:35] @User_ff071840: # www
[21:37] @User_570c822b: ぬこ
[21:41] @User_bae48d19: #www
[21:41] @User_b90ff19c: #そこそこ早いな
[21:46] @User_0cab0ba3: #草
[21:47] @User_6df63d45: #www
[21:53] @User_bec19661: #的確
[22:04] @User_d0e405c3: wwwww
[22:07] @User_9412f3a9: いや、めっちゃ、愛情を注いでますって
[22:11] @User_1a976b35: #猫を虐待(保護)するコピペ
[22:19] @User_fc604d3a: #その通りです
[22:21] @User_bae48d19: #わりとガチで草
[22:24] @User_d5b05bb2: ねこだいすき
[22:26] @User_27ecd0a0: #その通りです！
[22:38] @User_005d227b: ねこちゃんかわいい
[22:43] @User_bec19661: #HDMO
[22:49] @User_b90ff19c: #ＭＶＰきた
[22:50] @User_4eac4cae: #甘口きたか
[22:57] @User_dfeb43e1: #あまくちたすかる
[22:59] @User_f1a429f3: #甘口きた
[23:00] @User_0cab0ba3: #甘口だーっ
[23:03] @User_58ffb64a: #まだ猫コピペを知らないようですね
[23:06] @User_a79ca14a: MVPご主人！
[23:10] @User_109116e8: #甘口はどうかな？
[23:10] @User_ff071840: # 甘口を待ってたんだ…
[23:22] @User_d0e405c3: これは悪くないが、前の判決との関連性はいかに
[23:29] @User_27ecd0a0: #まさかの甘口！？
[23:39] @User_607c778e: #自分も睡眠時間ずらしteru…
[23:41] @User_b38e12fa: #甘々だ
[23:42] @User_ebbf8053: #許された！
[23:43] @User_559f88af: #許された
[23:44] @User_b90ff19c: #許された！？
[23:44] @User_109116e8: #許された
[23:47] @User_b4825c55: #許された
[23:48] @User_83cbafb5: #やさしい
[23:49] @User_0cab0ba3: #許されてる！！
[23:49] @User_e6aba983: 許された
[23:50] @User_b103bac9: #許された
[23:51] @User_bec19661: #許された
[23:52] @User_dfeb43e1: #やさしい！
[23:53] @User_005d227b: #無罪！
[23:55] @User_ba41d9f0: ＃優しい
[23:55] @User_bae48d19: 無罪きた
[23:56] @User_16837732: #やさしい
[23:56] @User_560c4bdc: これは寛大
[23:57] @User_d5b05bb2: #無罪！
[23:58] @User_2eba0ed4: #ゆ…許された…！
[23:58] @User_d0e405c3: #砂糖の塊より甘い
[23:59] @User_78c76547: #【勝訴】
[24:00] @User_f1a429f3: #愛
[24:02] @User_27ecd0a0: #めっちゃ甘々！！！
[24:02] @User_0cab0ba3: #無　罪　判　決
[24:03] @User_c67ecc82: 優しい！
[24:04] @User_b103bac9: 優しい
[24:05] @User_4eac4cae: #やさしー！
[24:06] @User_b90ff19c: #ハート付き！
[24:06] @User_109116e8: # 無　罪
[24:07] @User_ebbf8053: かわいいいいい
[24:07] @User_6cb4d378: 甘々だぁ
[24:08] @User_9412f3a9: ＃だだ甘ｗｗｗ
[24:09] @User_a79ca14a: #【温情判決！】
[24:10] @User_ac878156: あまあま！！
[24:11] @User_b38e12fa: #♡
[24:11] @User_78c76547: #はーとまーくまで？！？！
[24:13] @User_607c778e: 就寝刑☆
[24:13] @User_4f927980: #かわいい
[24:13] @User_c7f0df32: 甘口すぎひん？
[24:15] @User_fc604d3a: #おめでとうございます
[24:16] @User_0cab0ba3: #やっぱ甘口なんだわ
[24:16] @User_d5b05bb2: #なるほど、これが甘口…
[24:20] @User_b4825c55: #甘々だ
[24:27] @User_b90ff19c: きたー
[24:27] @User_560c4bdc: 睡眠時間の確保は重要ですね
[24:28] @User_979bd192: #やさしい癒やされる…
[24:30] @User_4eac4cae: #裁かれるために罪を犯したくなる
[24:35] @User_607c778e: #おじさんですねぇ
[24:37] @User_b89cfecd: #これ辛口だとどうなるんだろ
[24:38] @User_27ecd0a0: #キッツいおじさん構文来たな
[24:40] @User_6cb4d378: ＃からの辛口
[24:40] @User_4eac4cae: ＃落差
[24:41] @User_0cab0ba3: #怪文書だ
[24:46] @User_92c79caa: 辛口だとどうなっていたのか気になる
[24:47] @User_69dac0c4: #辛口！
[24:51] @User_557214c0: #これは辛口なので実刑ですかね
[24:52] @User_ff071840: #ｗｗｗｗ
[24:53] @User_a79ca14a: #どうなる？
[24:54] @User_e6aba983: 無期
[24:54] @User_ebbf8053: これは辛口不可避
[24:54] @User_d0e405c3: #うわー
[24:57] @User_0cbb3583: # AIに罵倒されたい民多すぎるｗｗ
[24:59] @User_b38e12fa: #重罪やなぁ
[25:01] @User_dfeb43e1: #おじ構文
[25:04] @User_83cbafb5: #怪文書草
[25:04] @User_78c76547: #約束された敗訴おじさん
[25:05] @User_b4825c55: #おじさんなだけで罪になってしまう
[25:07] @User_109116e8: #草
[25:16] @User_4ad098fe: #１００万円と懲役５年
[25:18] @User_ff071840: #全否定４倍衆
[25:20] @User_a79ca14a: #敗因：おじさん
[25:29] @User_b103bac9: #これはヤバイねw
[25:34] @User_27ecd0a0: #我ら全否定を求める民
[25:34] @User_ebbf8053: #ご主人様はなぜかドMが多いんだ・・
