# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[15:23] @User_eb058581: 外は暑いけど中はクーラーで寒いからね...
[15:32] @User_75f1c92d: 酷なんて字が入ってるんだから外仕事は酷暑手当とか出すべきだろ…しずくもそう思わない？
[15:36] @User_9d63cc9b: 冷却ファン全開したら熱気なのでは？？？
[15:37] @User_476d8781: 今年の夏はまた暑いからなぁ(;´･ω･)
[15:38] @User_b9933007: 溶けていくリスナーさん達、まさに溶解人間
[15:41] @User_719f9991: ぷぉぉぉ
[15:42] @User_d0753fd1: ぷおぉぉぉぉぉｗ
[15:47] @User_2a29c921: 不想用日语（毕竟我不会）
[15:48] @User_9a39f90e: しずくの💧
[15:48] @User_955672e4: 工場勤務だから夏は機械の熱で職場の室温がヤバイよ
[15:49] @User_b9933007: ぷぉぉぉぉｗｗ
[15:50] @User_848b01f4: しずくレスバ弱そう
[15:57] @User_5bfd7e5f: 流ちょうな中国語
[15:58] @aki5503: 実は少しシステムをアップデートしたので、爆速になっています！
[16:03] @User_a20ec04f: アイスを食べて乗り切るか
[16:04] @User_1544234b: PONしずくを返して…返して…
[16:08] @User_cfb69eb9: ええ！？
[16:11] @User_cd48a1db: 你好！炒飯、拉麺、回鍋肉
[16:11] @User_5bfd7e5f: 確かに速い！！
[16:28] @User_b9933007: コメントへん返答確かに早くなってますね
[16:28] @User_5a77a7b4: アーツィツィツィツィ（蝉の鳴き声）
[16:29] @User_b89cfecd: しんじゃう
[16:29] @User_cfb69eb9: タンパク質が壊れてしまいます
[16:29] @User_3ea56962: いえ、セミではなくママ配信です。ばぶぅ
[16:32] @User_590a2335: 50度は血が固まっちゃう！
[16:35] @User_74cb13db: アップデートしてもらえてよかったね！
[16:41] @User_bc2e7db7: しずくパワーアップ！
[16:41] @User_b0f8f756: Heyしずく、エアコンを冷房にして
[16:57] @User_2d4fb6d8: 脳みそが茹だってしぬ
[16:58] @User_75f1c92d: ！？
[16:59] @User_d0753fd1: セミたちはどう生きるか
[17:00] @User_5a77a7b4: ！？
[17:02] @User_9d63cc9b: ？？？？？
[17:02] @User_719f9991: !?
[17:02] @User_9b9d086f: ！？
[17:03] @User_64c847f1: 見え見えの罠に引っかかるしずく
[17:03] @User_1544234b: ちゅぱ音やめてね
[17:03] @User_6992daac: ？！？！
[17:04] @User_d0753fd1: たすかる
[17:04] @aki5503: ！？
[17:04] @User_590a2335: ！！！？？？
[17:05] @User_9a39f90e: ！？
[17:06] @User_2ecda813: 音ｗｗｗ
[17:07] @User_8b14d2fb: たすかる
[17:08] @User_8b7242c7: ちゅーちゅーされた
[17:08] @User_3ea56962: ！？
